ID,Date,Region,Country,Port / Location,Port-Side or Near-Port,Incident Category,Incident Sub-Type,Conflict-Related,Vessel / Asset,Operator / Authority,Event Summary,Fatalities,Injuries,Containers Lost / Damaged,Pollution / Environmental Impact,Port / Operational Impact,Damage / Loss Estimate,Cause / Attribution,Investigation / Status,Severity,Confidence,Primary Source,Secondary Source,Notes / Intelligence Relevance
11,2026-08-30,Asia-Pacific,India,Mumbai Port / Indira Dock,Port-side,Cargo Handling Accident,Crane overturn / fire,No,M/V Vienna; shore mobile cranes,Mumbai Port Authority,"During a heavy-lift operation, a mobile crane overturned toward the vessel and a fire broke out.",0,2,,No major pollution reported,Berth area secured; investigation and crane recovery required,,Load shift / lifting imbalance reported; formal cause under investigation,Safety investigation opened,High,High,https://indianexpress.com/article/cities/mumbai/mumbai-port-orders-safety-probe-after-crane-overturns-at-indira-dock-10860975/,https://www.dolphin-maritime.com/casualty-news/vienna/,"Useful port-safety case for heavy-lift procedures, crane stability and berth exclusion zones."
12,2026-07-10,North America,United States,"Charleston / Cooper River, Pier G",Port-side,Infrastructure Accident,Crane collapse into channel,No,Port crane,US Coast Guard / port stakeholders,"A crane fell into the Cooper River near Pier G, creating a submerged navigation hazard.",0,,,Potential fuel pollution controlled with boom,100-yard safety zone; shipping later resumed around hazard,,Cause not stated publicly in Coast Guard release,Salvage completed 30 Jul; safety zone rescinded,Medium-High,High,https://www.news.uscg.mil/Press-Releases/Article/4540800/coast-guard-responds-to-crane-collapse-in-cooper-river/,https://www.news.uscg.mil/Press-Releases/Article/4563504/coast-guard-announces-completion-of-crane-salvage-operations-in-cooper-river/,Demonstrates how shoreside equipment failure can become a channel/navigation incident.
13,2026-07-12,Africa,Cameroon,Port of Douala-Bonabéri channel,Port-side,Collision / Grounding,Vessel collision and controlled grounding,No,SEA HONOR; BLACK RHINO,Port Authority of Douala,Outbound SEA HONOR collided with inbound BLACK RHINO near buoy 20; BLACK RHINO was intentionally grounded after damage.,0,0,,No major pollution reported,Navigation channel temporarily obstructed then reopened,,Preliminary indication of steering-control loss aboard BLACK RHINO,Technical investigation ongoing,High,High,https://www.mintransports.cm/espace-presse/actualit%C3%A9s-du-mint/collision-entre-les-navires-mv-sea-honor-et-le-mv-black-rhino-le-mint-en-visite-de-travail-%C3%A0-douala.html,https://www.dolphin-maritime.com/casualty-news/sea-honor-black-rhino/,Direct example of channel blockage risk and emergency grounding to restore access.
14,2026-05-20,Africa,Nigeria,Bonny Channel / approach to Onne,Near-port / access channel,Collision / Grounding,Ship contact / dual grounding,No,MAERSK VALPARAISO; LADY MARTINA,Nigerian maritime authorities,Containership MAERSK VALPARAISO contacted tanker LADY MARTINA during manoeuvring; both vessels subsequently grounded.,0,5,,Associated oil spill response reported,Channel/berthing disruption and emergency response,,Under investigation,Reported casualty / authorities responded,High,Medium-High,https://www.dolphin-maritime.com/casualty-news/maersk-valparaiso-lady-martina/,,"Combines container-port access, collision, injury, grounding and pollution exposure."
15,2026-08-12,Asia-Pacific,India,Hooghly River approach to Kolkata,Near-port / access channel,Grounding,Loss of control / riverbank allision,No,NAWATA BHUM,Syama Prasad Mookerjee Port / vessel interests,"Container vessel lost control while navigating the Hooghly, struck the riverbank and grounded.",0,0,,No major pollution reported,Temporary vessel immobilization; refloated at high tide with tug assistance,,Possible steering gear problem plus strong tidal conditions,Cause not yet officially determined,Medium-High,Medium-High,https://www.dolphin-maritime.com/casualty-news/nawata-bhum/,,"Good access-channel case for pilotage, steering reliability and tidal constraints."
16,2026-06-28,North America,United States,"Woods Hole, Massachusetts",Near-port / entrance channel,Grounding,Research vessel grounding,No,ATLANTIS,USCG / NTSB / Woods Hole Oceanographic Institution,Research vessel Atlantis grounded in Great Harbor Channel at the entrance to Woods Hole and freed itself after about 12 minutes.,0,0,,No pollution,Short-lived channel casualty; vessel moored after refloating,3500000,Cause under investigation,USCG lead; NTSB major marine casualty investigation ongoing,Medium,High,https://www.ntsb.gov/investigations/Pages/DCA26FM018.aspx,,Includes quantified damage estimate and formal U.S. major marine casualty status.
17,2026-06-05,Asia-Pacific,Indonesia,Off Batam / Singapore approaches,Near-port / regional approaches,Sinking / Container Hazard,Container vessel sank,No,GOLDEN STAR 1,Indonesian authorities / MPA Singapore / Samudera Shipping,Container vessel took on water and sank about 6 km off Batam; all nine crew were rescued.,0,0,,No oil pollution reported; potential drifting-container hazard,Straits traffic unaffected; navigational warnings issued,,Water ingress; detailed cause not public,Monitoring / cargo recovery,High,High,https://www.mpa.gov.sg/media-centre/details/container-vessel-sinks-off-batam,https://links.sgx.com/FileOpen/SSL%20-%20SGX%20Announcement%20_Golden%20Star%201%207%20June%202026.ashx?App=Announcement&FileID=891611,Relevant to Singapore/Batam approaches and secondary hazards from floating containers.
18,2026-03-03,North America,United States,South of Aleutian Islands / Long Beach-bound,"Offshore, port-bound",Container Loss,Containers overboard,No,OOCL SUNFLOWER,USCG / NOAA / vessel interests,OOCL Sunflower lost dozens of containers overboard while en route to Long Beach; USCG prepared for vessel arrival and cargo assessment.,0,0,32,Potential floating-container hazard; no discharge observed,Long Beach authorities prepared for arrival inspection; no port closure,,Heavy-weather/cargo-loss circumstances under review,NOAA/USCG response,Medium,High,https://incidentnews.noaa.gov/incident/11131,,"Although offshore, this is directly relevant to container-loss tracking and destination-port response."
19,2026-08-22,Asia-Pacific,India,Eastern India / Paradip-Dalian route,Offshore / port-linked voyage,Sinking,Cargo ship sinking,No,OCEAN WINNER,Indian Coast Guard,Panama-flagged cargo ship Ocean Winner sank off eastern India while carrying iron ore; search and rescue operations followed.,,,,,No direct port closure reported; casualty affected regional voyage,,Cause unknown at initial reporting,Search and rescue / investigation,High,High,https://www.reuters.com/world/americas/panamaflagged-cargo-ship-sinks-off-eastern-india-coast-guard-says-2026-08-22/,,Port-linked bulk-shipping casualty; useful for route-level risk even though not inside harbour limits.
20,2026-08-23,Asia-Pacific,Malaysia,Strait of Malacca / off Penang,Near-port / strategic approach,Fire,Cargo hold fire / salvage,No,CMA CGM PETRA,CMA CGM / salvors,CMA CGM PETRA suffered a cargo-hold fire in the Strait of Malacca; salvors were engaged and the ship remained off Penang.,0,0,,No pollution reported,Missed scheduled port call; salvage operations ongoing,,Cause not public,Fire contained; salvage continuing,Medium-High,Medium-High,https://www.dolphin-maritime.com/casualty-news/cma-cgm-petra/,,Relevant to Malacca/port-call disruption and salvage capacity.
21,2026-01-07,Europe,United Kingdom,"Holyhead Port, Wales",Port-side,Allision / Flooding,Ferry contact with jetty,No,STENA ESTRID,Stena Line / Holyhead Port,"Ro-ro passenger ferry contacted a jetty at Holyhead, puncturing the hull and causing engine-room flooding.",,,,,Port-side vessel casualty; detailed disruption assessed by MAIB,,Under MAIB assessment,Completed preliminary assessment,Medium-High,High,https://www.gov.uk/maib-reports,,Early-2026 port allision; useful benchmark for berth-contact and flooding risk.
22,2026-07-29,Asia-Pacific,Australia,"Port of Mackay, Queensland",Port-side,Industrial / Occupational,Fatal cargo-handling incident,No,M/V BRUCE,AMSA / North Queensland Bulk Ports,A worker aboard M/V Bruce died after being struck by a large metal beam while the vessel was in Mackay Harbour.,1,0,,No pollution reported,Localized investigation; no broad port shutdown reported,,Industrial accident under investigation,AMSA / coroner process,High,High,https://www.abc.net.au/news/2026-07-30/man-dies-in-ship-incident-mackay-harbour/106974776,,Captures occupational safety as a distinct port-incident category.
23,2026-03-01,Middle East,UAE,Mina Saqr approaches,Near-port / approaches,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 17NM northwest of Mina Saqr, United Arab Emirates. The Company Security Officer reported that the vessel been struck by an unknown projectile causing a fire. The fire has been extinguished and the vessel intends to continue on its voyage. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 006-26 (uploaded PDF: 20260301-UKMTO_WARNING_006-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
24,2026-03-02,Middle East,Bahrain,Port of Bahrain,Port-side,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,UKMTO received a report of an incident in the Port of Bahrain. The Company Security Officer reported that the vessel had been struck by two unknown projectiles causing a fire. The fire has been extinguished and the vessel remains in port. All members of the ships crew are safe and have evacuated the vessel. Authorities are investigating. Vessels are to remain cautious and report any suspicious activity to UKMTO.,,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 008-26 (uploaded PDF: 20260302-UKMTO_WARNING_008-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
25,2026-03-03,Middle East,UAE,Fujairah approaches / anchorage,Near-port / approaches,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 7NM east of Fujairah, United Arab Emirates. The Master reported the vessel being struck by an unknown projectile causing damage to the steel plating. There has been no fire or water intake. All crew reported safe. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 010-26 (uploaded PDF: 20260304-UKMTO_WARNING_010-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
26,2026-03-04,Middle East,UAE,Fujairah approaches / anchorage,Near-port / approaches,War / Conflict,Projectile strike,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 10NM east of Fujairah, UAE. The tanker experienced a loud blast and debris from an unknown projectile was found on the deck. The funnel of the tanker sustained minor damage but no major damage has been observed with no environmental implications. All crew are safe and accounted for. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 011-26 (uploaded PDF: 20260304-UKMTO_WARNING_011-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
27,2026-03-04,Middle East,UAE,Dubai approaches,Near-port / approaches,War / Conflict,Projectile splash / near miss,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,UKMTO has received a report of an incident 20NM west of Dubai. A container ship has reported witnessing a splash from an unknown projectile in close proximity to the vessel. No damage to the vessel has been reported. Authorities are investigating.,,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 013-26 (uploaded PDF: 20260304-UKMTO_WARNING_013-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
28,2026-03-04,Middle East,Kuwait / Iraq TTW,SE of Mubarak Al Kabeer / Iraqi TTW,Anchorage / port approaches,Maritime Security / Other,Explosion / small craft observed,No,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 30NM southeast of MUBARAK AL KABEER, KUWAIT. The Master of a tanker at anchor, reports witnessing and hearing a large explosion on the port side then seeing a small craft leave the vicinity. There is oil in the water coming from a cargo tank which could have some environmental impact, the vessel has taken on water, there are no fires reported and the crew are safe and well. Update 001 05 Mar 26 – UKMTO has received an update that the discharge from the tanker is ballast water. The tanker remains 30NM southeast of MUBARAK AL KABEER, KUWAIT, in IRAQI TTW’s. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Piracy / armed robbery / suspicious approach,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 014-26 (uploaded PDF: 20260304-UKMTO_WARNING_014-26-UPDATE 001.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
29,2026-03-07,Middle East,Saudi Arabia,Jubail approaches,Near-port / approaches,Maritime Security / Other,Security incident,No,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a third-party report of an incident 10NM north of Jubail, Saudi Arabia in TTW. The report is being investigated.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Suspicious / security incident,UKMTO warning; latest update incorporated where supplied,Medium,High,UKMTO Warning 016-26 (uploaded PDF: 20260307-UKMTO_WARNING_016-26-UK-OS.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
30,2026-03-11,Middle East,UAE,Ras Al Khaimah approaches,Near-port / approaches,War / Conflict,Projectile strike,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 25NM northwest of Ra’s al Khaymah, UAE. The Master of a container vessel has reported that the vessel has sustained damage from a suspected but unknown projectile. Extent of the damage is currently unknown but under investigation by the crew. The Master additionally reports that all crew members are safe and accounted for. Update 001: UKMTO has been informed that there is no environmental impact as a result of the incident.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 018-26 (uploaded PDF: 20260311-UKMTO_WARNING-UPDATE_001-018-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
31,2026-03-11,Middle East,Iraq,Al Basrah approaches / Iraqi TTW,Near-port / approaches,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 5NM south of Al Basrah, in Iraq TTW. A third party reported that two tankers have been struck by an unknown projectile. The CSO of one affected vessel confirmed the attack had caused a fire onboard. The CSO reported that the crew have been evacuated and safe. Investigations to identify the second vessel affected continue. 120140UTCMAR26: The CSO of the second tanker involved has confirmed the vessel was struck and the attack has caused a fire onboard. All members of the crew have been evacuated. No environmental impact has been reported at this time.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 021-26 (uploaded PDF: 20260311-UKMTO_WARNING_021-26-UPDATE 001.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
32,2026-03-16,Middle East,UAE,Fujairah approaches / anchorage,Anchorage / port approaches,War / Conflict,Projectile strike,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 23NM east of Fujairah, UAE. A Tanker has reported being struck by an unknown projectile whilst at anchor. Minor structural damage reported. No injuries to crew. No environmental impact reported. Update- 001: The CSO has reported that investigations indicate that the vessel was subjected to falling debris from interceptions in the vicinity of the vessel. The vessel received minor structural damage however all crew are confirmed as safe. UKMTO have re-classified this incident as Suspicious Activity.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 023-26 (uploaded PDF: 20260317-UKMTO_WARNING_023-26_UPDATE-001.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
33,2026-03-18,Middle East,UAE,Khor Fakkan,Near-port / approaches,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 11NM east of Khawr Fakkan, UAE. It has been reported to UKMTO that a vessel has been hit by an unknown projectile which has resulted in a fire onboard.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 024-26 (uploaded PDF: 20260318-UKMTO_WARNING_024-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
34,2026-03-19,Middle East,Qatar,Ras Laffan approaches,Near-port / approaches,War / Conflict,Projectile strike,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 4NM east of Ras Laffan, Qatar. It has been reported to UKMTO that a vessel has been hit by an unknown projectile. All crew are reported safe and well.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 025-26 (uploaded PDF: 20260319-UKMTO_WARNING_025-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
35,2026-03-21,Middle East,UAE,Sharjah approaches,Near-port / approaches,War / Conflict,Projectile strike,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 15NM north of Sharjah, United Arab Emirates. The Master of a Bulk Carrier reported an explosion from an unknown projectile in close proximity to the vessel. All crew are reported safe. Update 001: UKMTO ATTACK Warning 026-26 has been reclassified after review determined the intended target could not be conclusively identified. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 026-26 (uploaded PDF: 20260322-UKMTO_WARNING_026-26-UPDATE 001.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
36,2026-03-30,Middle East,Saudi Arabia,Ras Tanura approaches,Near-port / approaches,War / Conflict,Projectile splash / near miss,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 22NM northeast of RAS TANURA Saudi Arabia. The CSO of the Container Vessel reported 2 unknown projectiles splashing in close proximity, each occurring within 1 hour of each other. The crew are reported as safe. Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 028-26 (uploaded PDF: 20260330_UKMTO_WARNING_028_26-SUSPICIOUS ACTIVITY.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
37,2026-03-31,Middle East,Qatar,Ras Laffan approaches,Near-port / approaches,War / Conflict,Projectile strike / fire,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 17NM north of Ras Laffan, Qatar. The Company Security Officer reported the tanker has been hit by unknown projectile on the port side causing damage to the hull above water line. The crew are reported as safe. There is no environmental impact. Authorities are investigating. UPDATE 001: UKMTO can confirm the vessel was struck by two projectiles. One caused a fire which has since been extinguished. The other remains unexploded within the vessels engine room and is being investigated by the relevant authorities. UKMTO are unable to confirm the source of the projectiles and",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 030-26 (uploaded PDF: 20260331_UKMTO_WARNING_030_26-UPDATE_001.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
38,2026-04-05,Middle East,UAE,Khor Fakkan,Port-side,War / Conflict,Projectile splash / near miss,Yes,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident in Khor Fakkan Port, United Arab Emirates. The Master reports witnessing multiple splashes from unknown projectiles, in close proximity of his container ship, whilst alongside conducting loading operations.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Conflict / maritime security attack,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 031-26 (uploaded PDF: 20260405_UKMTO_WARNING_031_26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
39,2026-05-04,Middle East,UAE,Mina Saqr approaches,Near-port / approaches,Maritime Security / Other,Security incident,No,UKMTO-reported merchant vessel,UKMTO / local maritime authorities,"UKMTO has received a report of an incident 14NM west of Mina Saqr, United Arab Emirates. UKMTO received information from a third party that a vessel was on fire and requesting vessels in the vicinity to keep a safe distance from them. The cause of the fire has not been verified at this time No environmental impact reported Authorities are investigating.",,,,See UKMTO warning; no environmental impact recorded where explicitly stated,Port/approach risk; vessel-level operational effect varies by warning,,Marine casualty / fire,UKMTO warning; latest update incorporated where supplied,High,High,UKMTO Warning 054-26 (uploaded PDF: 20260504-UKMTO_WARNING_054-26.pdf),,Added from user-supplied UKMTO warning archive; port-side/anchorage/near-port classification applied analytically.
