asset_id,legacy_asset_ids,asset_name,parent_port,country,city,region,asset_type,portfolio_entity,operator,ownership_or_structure,status,concession_term,container_capacity_teu_pa,area_sqm,quay_length_m,max_depth_m,berths,rail_connected,reefer_plugs,source_url,source_date,confidence,notes
APM-MEDPORT-TANGIER,ASSET028,MedPort Tangier,Tanger Med,Morocco,MedPort Tangier,Strait of Gibraltar / North Africa,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals / Tanger Med partnership,Operating,,5200000,600000,2000,18,3,,,https://www2.apmterminals.com/en/medport-tangier/about/our-terminal,2026-09-08,High,"20 dual-trolley STS, 70 ARMG and 65 shuttle carriers."
APM-TANGIER,ASSET029,Tangier,Tanger Med,Morocco,Tangier,Strait of Gibraltar / North Africa,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Tangier partnership,Operating,,2400000,,,16,,,,https://akamai.apmterminals.com/en/tangier/about/our-terminal,2026-09-08,High,EUR 140m investment; deep-water transshipment gateway.
APM-APAPA,ASSET030,Apapa,Lagos Port Complex / Apapa,Nigeria,Apapa,Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals concession,Operating,,1000000,550000,1005,13.5,,Yes,900,https://www2.apmterminals.com/en/apapa/about/our-terminal,2026-09-08,High,"27 RTG, 13 mobile harbour cranes, 7 reach stackers, 6 empty handlers, 65 terminal trucks; 2 rail tracks."
APM-ONNE,ASSET031,Onne,Onne Port,Nigeria,Onne,Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,West Africa Container Terminal / APM Terminals,Operating,,361000,250000,570,11.3,,,600,https://www2.apmterminals.com/en/onne/about/our-terminal,2026-09-08,High,"20 RTGs, 5 mobile harbour cranes, 7 reach stackers, 6 empty handlers, 37 terminal trucks."
APM-SALALAH,ASSET032,Salalah,Port of Salalah,Oman,Salalah,Arabian Sea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals / Port of Salalah partnership,Operating,,5000000,,2400,18,7,,,https://www2.apmterminals.com/en/salalah/about/our-terminal,2026-09-08,High,Major Arabian Sea transshipment hub.
APM-GUANGZHOU,ASSET033,Guangzhou,Port of Guangzhou,China,Guangzhou,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-QINGDAO,ASSET034,Qingdao,Port of Qingdao,China,Qingdao,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-SHANGHAI,ASSET035,Shanghai,Port of Shanghai,China,Shanghai,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals 49% / SIPG joint venture,Operating,,4000000,1550000,1437,14.2,,,,https://www2.apmterminals.com/en/shanghai/about/our-terminal,2026-09-08,High,"Deep-sea quay 1,250m plus 187m barge quay; 15 super-Panamax STS plus 2 additional cranes."
APM-TIANJIN,ASSET036,Tianjin,Port of Tianjin,China,Tianjin,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals 20% interest,Operating,,1700000,632000,1100,15.5,4,,,https://www2.apmterminals.com/en/tianjin/about/our-terminal,2026-09-08,High,Four-berth Tianjin container terminal investment.
APM-XIAMEN,ASSET037,Xiamen,Port of Xiamen,China,Xiamen,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-MUMBAI,ASSET038,Mumbai,Jawaharlal Nehru Port,India,Mumbai,Indian Subcontinent,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals / CONCOR joint venture,Operating / transformation,,2200000,,712,16.5,,Yes,980,https://www2.apmterminals.com/en/mumbai/about/our-terminal,2026-09-08,High,"11 quay cranes, 40 RTGs, 3 RMGs; 3 x 830m on-dock rail; ambition 2.4m TEU by 2028."
APM-PIPAVAV,ASSET039,Pipavav,Port Pipavav,India,Pipavav,Indian Subcontinent,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals-controlled Gujarat Pipavav Port,Operating,,1350000,6320000,735,14.5,,Yes,500,https://www2.apmterminals.com/en/pipavav/about/our-terminal,2026-09-08,High,"8 post-Panamax cranes, 20 RTG, 4 RMG; 11 rail sidings."
APM-YOKOHAMA,ASSET040,Yokohama,Port of Yokohama,Japan,Yokohama,East Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-TANJUNG-PELEPAS,ASSET041,Tanjung Pelepas,Port of Tanjung Pelepas,Malaysia,Tanjung Pelepas,Southeast Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals / MMC partnership,Operating,,,1800000,5040,19,14,,4445,https://akamai.apmterminals.com/en/tanjung-pelepas/about/our-terminal,2026-09-08,High,66 Super Post-Panamax cranes and 172 RTGs; berth draft range 15-19m.
APM-COLOMBO,ASSET042,Colombo,Port of Colombo,Sri Lanka,Colombo,Indian Ocean,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-LAEM-CHABANG,ASSET043,Laem Chabang,Port of Laem Chabang,Thailand,Laem Chabang,Southeast Asia,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-CAI-MEP,ASSET044,Cai Mep,Cai Mep-Thi Vai Port,Vietnam,Cai Mep,Southeast Asia,Container terminal,APM Terminals,APM Terminals / partner operator,Cai Mep International Terminal JV / APM Terminals investment,Operating,,2100000,300000,600,16.5,,,840,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal,2026-09-08,High,"6 Super Post-Panamax cranes, 15 RTGs, 3 reach stackers, 2 empty handlers."
APM-RIJEKA-GATEWAY,ASSET045,Rijeka Gateway,Port of Rijeka,Croatia,Rijeka Gateway,Adriatic,Container terminal,APM Terminals,APM Terminals / partner operator,51% APM Terminals / 49% ENNA Group,Operating / Phase 2 planned,,650000,,400,20,,Yes,,https://www2.apmterminals.com/en/rijeka/about/our-terminal,2026-09-08,High,Phase 1 completed Sep 2025; Phase 2 targets 680m quay and 1.055m TEU by 2035.
APM-AARHUS,ASSET046,Aarhus,Port of Aarhus,Denmark,Aarhus,Northern Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals operation,Operating,,1000000,,1300,15,,Yes,,https://www2.apmterminals.com/en/aarhus/about/our-terminal,2026-09-08,High,Deep-water Danish gateway.
APM-KALUNDBORG,ASSET047,Kalundborg,Port of Kalundborg,Denmark,Kalundborg,Northern Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-MARSEILLE-FOS,ASSET048,Marseille Fos,Port of Marseille Fos,France,Marseille Fos,Western Mediterranean / Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-POTI,ASSET049,Poti,Port of Poti,Georgia,Poti,Black Sea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-BREMERHAVEN,ASSET050,Bremerhaven,Port of Bremerhaven,Germany,Bremerhaven,Northern Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-VADO-LIGURE,ASSET051,Vado Ligure,Port of Vado Ligure,Italy,Vado Ligure,Western Mediterranean,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Vado port system,Operating,,250000,,470,14.1,3,Yes,500,https://akamai.apmterminals.com/en/vado-ligure/about/our-terminal,2026-09-08,High,Reefer Terminal figures shown here; complex also includes semi-automated Vado Gateway and Ro-Ro berth.
APM-ROTTERDAM-MAASVLAKTE-II,ASSET052,Rotterdam Maasvlakte II,Port of Rotterdam,Netherlands,Rotterdam Maasvlakte II,Northern Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals operator; Hapag-Lloyd 25% stake agreement pending approval,Operating / major expansion,,5400000,,2000,,,Yes,,https://www2.apmterminals.com/en/news/news-releases/2026/260819-APMTerminals-and-Hapag-Lloyd-partner-at-Maasvlakte-II,2026-09-08,High,"Current expansion adds 1,000m deep-sea berth, four rail tracks and more automation; capacity target 5.4m TEU."
APM-ALGECIRAS,ASSET053,Algeciras,Port of Algeciras,Spain,Algeciras,Western Mediterranean / Atlantic Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-BARCELONA,ASSET054,Barcelona,Port of Barcelona,Spain,Barcelona,Western Mediterranean / Atlantic Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-GIJÓN,ASSET055,Gijón,Port of Gijón,Spain,Gijón,Western Mediterranean / Atlantic Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-VALENCIA,ASSET056,Valencia,Port of Valencia,Spain,Valencia,Western Mediterranean / Atlantic Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals concession extended to 2049,Operating / electrification upgrade,,,,,16.5,,,,https://www2.apmterminals.com/en/news/news-releases/2026/260422-APM-Terminals-invests-in-upgrade-and-extends-partnership,2026-09-08,High,2026 investment adapts Levante Quay for E/EEE class vessels and drafts up to 16.5m.
APM-GOTHENBURG,ASSET057,Gothenburg,Port of Gothenburg,Sweden,Gothenburg,Northern Europe,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals operation,Operating,,,800000,1800,14.2,,Yes,,https://www2.apmterminals.com/en/gothenburg/about/our-terminal,2026-09-08,High,"Six rail tracks totaling about 2,250m; Super Post-Panamax STS capability."
APM-IZMIR,ASSET058,Izmir,Port of Aliağa / İzmir,Turkey,Izmir,Eastern Mediterranean,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals long-term management; no current equity after 2018 divestment,Operating / managed,,1500000,420000,700,18,,,,https://www2.apmterminals.com/en/izmir/about/our-terminal,2026-09-08,High,SOCAR Terminal; 42ha terminal plus external area.
APM-BUENOS-AIRES,ASSET059,Buenos Aires,Port of Buenos Aires,Argentina,Buenos Aires,South America Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,Terminal 4 / APM Terminals,Operating,,850000,160000,495,10.3,2,,600,https://akamai.apmterminals.com/en/buenos-aires/about/our-terminal,2026-09-08,High,5 mobile cranes and 6 RTGs; two berths.
APM-ITAPOÁ,ASSET060,Itapoá,Port of Itapoá,Brazil,Itapoá,South America Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-PECÉM,ASSET061,Pecém,Port of Pecém,Brazil,Pecém,South America Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals operation/management,Operating,,556793,380000,760,15.3,2,Yes,1388,https://www2.apmterminals.com/en/pecem/about/our-terminal,2026-09-08,High,"3 STS cranes, 14 reach stackers, 700m on-dock rail."
APM-SANTOS,ASSET062,Santos,Port of Santos,Brazil,Santos,South America Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-BUENAVENTURA,ASSET064,Buenaventura,Port of Buenaventura,Colombia,Buenaventura,South America Pacific,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-MOÍN,ASSET065,Moín,Port of Moín,Costa Rica,Moín,Caribbean,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals concession,Operating,,1200000,400000,650,14.5,,,3933,https://www2.apmterminals.com/en/moin/about/our-terminal,2026-09-08,High,6 Super Post-Panamax cranes and 29 eRTGs; channel depth 18m.
APM-PUERTO-QUETZAL,ASSET066,Puerto Quetzal,Puerto Quetzal,Guatemala,Puerto Quetzal,Central America Pacific,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals operation,Operating,,340000,,350,14.5,,,610,https://www2.apmterminals.com/en/puerto-quetzal/about/our-terminal,2026-09-08,High,3 Super Post-Panamax STS cranes.
APM-PROGRESO,ASSET068,Progreso,Port of Progreso,Mexico,Progreso,North America Pacific / Gulf,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-CALLAO,ASSET069,Callao,Port of Callao,Peru,Callao,South America Pacific,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Callao concession,Operating,,1200000,640000,1835,16,,Yes,920,https://www2.apmterminals.com/en/callao/about/our-terminal,2026-09-08,High,4 Super Post-Panamax + 2 Panamax STS + 4 MHC; 12 eRTG + 2 diesel RTG.
APM-LOS-ANGELES-CA,ASSET070,"Los Angeles, CA",Port of Los Angeles,United States,"Los Angeles, CA",North America,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Pier 400,Operating,,4400000,2051756,2200,,5,Yes,2200,https://www2.apmterminals.com/en/los-angeles/about/our-terminal,2026-09-08,High,Pier 400: 19 STS cranes; 65 acres of on-dock rail with 18 tracks; 57 gate lanes.
APM-MIAMI-FL,ASSET071,"Miami, FL",PortMiami,United States,"Miami, FL",North America,Container terminal,APM Terminals,APM Terminals / partner operator,51% Terminal Link Miami / 49% APM Terminals,Operating,,,287000,,15,,,480,https://www2.apmterminals.com/en/miami/about/our-terminal,2026-09-08,High,South Florida Container Terminal; 18 eRTGs. Physical terminal shared with CMA/Terminal Link dataset.
APM-MOBILE-AL,ASSET072,"Mobile, AL",Port of Mobile,United States,"Mobile, AL",North America,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Mobile,Operating / expansion,,650000,465388,732,15.24,,Yes,325,https://www2.apmterminals.com/en/mobile/about/our-terminal,2026-09-08,High,6 Super Post-Panamax STS; public page also describes expansion path toward 1.3m TEU.
APM-ELIZABETH-NJ,ASSET073,"Elizabeth, NJ",Port of New York & New Jersey,United States,"Elizabeth, NJ",North America,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Port Elizabeth,Operating,,2300000,1416400,1829,15.2,,Yes,1300,https://www2.apmterminals.com/en/port-elizabeth/about/our-terminal,2026-09-08,High,14 STS cranes and on-dock rail.
APM-BD-LALDIA,,APM Terminals Laldia,Port of Chattogram,Bangladesh,Chattogram,Bay of Bengal,Container terminal,APM Terminals,APM Terminals / CPA / QNS partnership,PPP with Chittagong Port Authority and QNS Container Services,Under construction,,800000,,,,,,,https://www2.apmterminals.com/en/news/news-releases/2026/260831-APMTerminals-breaks-ground-in-Laldia,2026-08-31,High,"US$550m project; adds >800k TEU; designed for vessels up to ~6,000 TEU; operational target around 2030."
APM-VN-DANANG,,Lien Chieu Container Port / APM Terminals Da Nang,Lien Chieu Port,Vietnam,Da Nang,Southeast Asia,Container terminal development,APM Terminals,APM Terminals / Hateco Group,Partnership with Hateco and Da Nang City,Under development,,5700000,,,,8,Yes,,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang,2026-04-25,High,">$1.7bn project; Phase 1 berths 1-2, expansion through berths 3-8; designed for vessels up to 18,000 TEU."
APM-PA-BALBOA,,Balboa Container Terminal – temporary APM operation,Port of Balboa,Panama,Balboa,Panama Canal / Pacific,Container terminal,APM Terminals,APM Terminals Panama,Temporary operating mandate,Temporary operation,Up to 18 months from Feb 2026,,,,,,Yes,,https://www2.apmterminals.com/en/news/news-releases/2026/260224-APM-Terminals-begins-temporary-operations-Port-of-Balboa,2026-02-24,High,"Temporary stabilization/operation; Navis N4 deployment, workforce transition and asset diagnostics."
APM-SA-JEDDAH-SCT,,South Container Terminal – APM minority investment,Jeddah Islamic Port,Saudi Arabia,Jeddah,Red Sea,Container terminal,APM Terminals / DP World,DP World,APM Terminals to acquire 37.5%; DP World retains 62.5% and operations,Agreement announced / transaction completion to verify,30-year BOT concession held by DP World,4000000,947555,2550,18,5,,1260,https://www2.apmterminals.com/en/news/news-releases/2026/260218-APM-Terminals-DPWorld-strategic-partnership-Jeddah-Islamic-Port,2026-02-18,High,"Physical terminal already belongs in DP World canonical layer; APM relationship should be represented as ownership/investment, not duplicate terminal."
APM-VN-HHIT,,Hateco Haiphong International Container Terminal (HHIT),Lach Huyen / Haiphong Port,Vietnam,Hai Phong,Southeast Asia,Container terminal,APM Terminals / Hateco,HHIT,APM Terminals / Hateco partnership,Operating,,,,,,,,,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang,2026-04-25,High,Existing APM-Hateco terminal went live in 2025; retained as strategic Vietnam gateway.
