asset_id,berth_or_interface,berths,quay_length_m,max_depth_m,cargo_use,status,source_url
APM-PECÉM,Pecém marine interface,2,760,15.3,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/pecem/about/our-terminal
APM-MOÍN,Moín marine interface,,650,14.5,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/moin/about/our-terminal
APM-PUERTO-QUETZAL,Puerto Quetzal marine interface,,350,14.5,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/puerto-quetzal/about/our-terminal
APM-CALLAO,Callao marine interface,,1835,16,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-LOS-ANGELES-CA,"Los Angeles, CA marine interface",5,2200,,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/los-angeles/about/our-terminal
APM-MIAMI-FL,"Miami, FL marine interface",,,15,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/miami/about/our-terminal
APM-MOBILE-AL,"Mobile, AL marine interface",,732,15.24,Containers / terminal cargo,Operating / expansion,https://www2.apmterminals.com/en/mobile/about/our-terminal
APM-ELIZABETH-NJ,"Elizabeth, NJ marine interface",,1829,15.2,Containers / terminal cargo,Operating,https://www2.apmterminals.com/en/port-elizabeth/about/our-terminal
APM-VN-DANANG,Lien Chieu Container Port / APM Terminals Da Nang marine interface,8,,,Containers / terminal cargo,Under development,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang
APM-SA-JEDDAH-SCT,South Container Terminal – APM minority investment marine interface,5,2550,18,Containers / terminal cargo,Agreement announced / transaction completion to verify,https://www2.apmterminals.com/en/news/news-releases/2026/260218-APM-Terminals-DPWorld-strategic-partnership-Jeddah-Islamic-Port
