asset_id,equipment_type,quantity,specification,status,source_url
APM-MUMBAI,STS crane,11,Twin-lift; 6 new + 5 legacy,Operating,https://www2.apmterminals.com/en/mumbai/about/our-terminal
APM-MUMBAI,RTG,40,GPS-assisted,Operating,https://www2.apmterminals.com/en/mumbai/about/our-terminal
APM-MUMBAI,RMG,3,Rail mounted gantry,Operating,https://www2.apmterminals.com/en/mumbai/about/our-terminal
APM-PIPAVAV,Post-Panamax crane,8,,Operating,https://www2.apmterminals.com/en/pipavav/about/our-terminal
APM-PIPAVAV,RTG,20,,Operating,https://www2.apmterminals.com/en/pipavav/about/our-terminal
APM-PIPAVAV,RMG,4,,Operating,https://www2.apmterminals.com/en/pipavav/about/our-terminal
APM-TANJUNG-PELEPAS,Super Post-Panamax STS,66,24 with 24-box outreach,Operating,https://akamai.apmterminals.com/en/tanjung-pelepas/about/our-terminal
APM-TANJUNG-PELEPAS,RTG,172,Electrified/automated steering support,Operating,https://akamai.apmterminals.com/en/tanjung-pelepas/about/our-terminal
APM-CAI-MEP,Super Post-Panamax STS,6,,Operating,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal
APM-CAI-MEP,RTG,15,,Operating,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal
APM-CAI-MEP,Reach stacker,3,,Operating,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal
APM-CAI-MEP,Empty handler,2,,Operating,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal
APM-PECÉM,STS crane,3,22-container outreach,Operating,https://www2.apmterminals.com/en/pecem/about/our-terminal
APM-PECÉM,Reach stacker,14,,Operating,https://www2.apmterminals.com/en/pecem/about/our-terminal
APM-MOÍN,Super Post-Panamax STS,6,,Operating,https://www2.apmterminals.com/en/moin/about/our-terminal
APM-MOÍN,eRTG,29,,Operating,https://www2.apmterminals.com/en/moin/about/our-terminal
APM-PUERTO-QUETZAL,Super Post-Panamax STS,3,,Operating,https://www2.apmterminals.com/en/puerto-quetzal/about/our-terminal
APM-CALLAO,Super Post-Panamax STS,4,,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-CALLAO,Panamax STS,2,,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-CALLAO,Mobile harbour crane,4,,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-CALLAO,eRTG,12,,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-CALLAO,RTG,2,Diesel,Operating,https://www2.apmterminals.com/en/callao/about/our-terminal
APM-LOS-ANGELES-CA,STS crane,19,Tallest cranes in Port of Los Angeles,Operating,https://www2.apmterminals.com/en/los-angeles/about/our-terminal
APM-MIAMI-FL,eRTG,18,,Operating,https://www2.apmterminals.com/en/miami/about/our-terminal
APM-MOBILE-AL,Super Post-Panamax STS,6,23-container reach,Operating,https://www2.apmterminals.com/en/mobile/about/our-terminal
APM-ELIZABETH-NJ,STS crane,14,,Operating,https://www2.apmterminals.com/en/port-elizabeth/about/our-terminal
