Infrastructure & Logistics Capital Universe,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Scope includes direct port infrastructure investors, infrastructure fund managers, logistics real-estate owners/managers, sovereign and pension capital, and investment platforms whose assets influence ports, free zones, dry ports, inland hubs, warehousing or trade corridors.",,,,,,,,,,,,,,
Total Investors,Canonical,Research Universe,Deals Seeded,Holdings Seeded,Economic Zones,Dry / Inland Hubs,Verified As Of,,,,,,,
INVESTOR_0009,COMP_PROLOGIS,Prologis,Logistics real estate owner/developer,,United States,Logistics real estate; development; strategic capital,Seaport/intermodal-adjacent distribution assets,Core business,Intermodal / gateway markets,~1.3bn sq ft in 20 countries,Canonical,High,SRC_0266,2026-09-07
INVESTOR_0010,COMP_GIC,GIC,Sovereign institutional investor,,Singapore,Real estate; infrastructure; private equity,Research,Prologis JV / global logistics,Research,$1.6bn U.S. build-to-suit logistics JV in 2026,Canonical,High,SRC_0267,2026-09-07
INVESTOR_0011,COMP_LA_CAISSE,La Caisse (CDPQ),Institutional investor,,Canada,Infrastructure; real estate; private equity,Research,PLIVE / logistics real estate,Transport / logistics,70% interest in PLIVE,Canonical,High,SRC_0268,2026-09-07
INVESTOR_0012,COMP_ESR,ESR,Real asset owner/manager,,Hong Kong SAR,Logistics / industrial; data centres; funds,Research APAC port-linked assets,Core APAC logistics / industrial,Industrial / logistics parks,US$77.3bn total AUM at end-2025,Canonical,High,SRC_0269,2026-09-07
INVESTOR_0013,COMP_CIC,China Investment Corporation,Sovereign wealth fund,,China,Global investment,Research,Majority owner of Logicor,Research,Logicor majority ownership,Canonical,Medium,SRC_0270,2026-09-07
INVESTOR_0014,COMP_CARESUPER,CareSuper,Pension / superannuation fund,,Australia,Infrastructure; real assets,30% GeelongPort,Research,Research,Port co-investor,Canonical,Medium,SRC_0257,2026-09-07
INVESTOR_0015,,I Squared Capital,Infrastructure investment manager,,United States,Transport; energy; utilities; digital,Research,Research,Research,Priority infrastructure-capital universe,Research universe,High,,2026-09-07
INVESTOR_0016,,CPP Investments,Pension investment manager,,Canada,Infrastructure; real estate; private equity,Research,Research,Research,Priority global institutional capital,Research universe,Medium,,2026-09-07
INVESTOR_0017,,PSP Investments,Pension investment manager,,Canada,Infrastructure; real estate; private markets,Research,Research,Research,Priority global institutional capital,Research universe,Medium,,2026-09-07
INVESTOR_0018,,OMERS Infrastructure,Pension infrastructure investor,,Canada,Infrastructure,Research,Research,Research,Priority global infrastructure capital,Research universe,Medium,,2026-09-07
INVESTOR_0019,,Ontario Teachers' Pension Plan,Pension investment manager,,Canada,Infrastructure; real estate; private capital,Research,Research,Research,Priority global institutional capital,Research universe,Medium,,2026-09-07
INVESTOR_0020,,ADIA,Sovereign wealth fund,,United Arab Emirates,Infrastructure; real estate; private equity,Research,Research,Research,Priority Gulf institutional capital,Research universe,High,,2026-09-07
INVESTOR_0021,,Mubadala,Sovereign investment company,,United Arab Emirates,Infrastructure; industrial; real estate; technology,Research,Research,Research,Priority Gulf strategic capital,Research universe,High,,2026-09-07
INVESTOR_0022,,Qatar Investment Authority,Sovereign wealth fund,,Qatar,Infrastructure; real estate; private markets,Research,Research,Research,Priority Gulf institutional capital,Research universe,High,,2026-09-07
INVESTOR_0023,,APG,Pension asset manager,,Netherlands,Infrastructure; real estate,Research,Research,Research,Priority European institutional capital,Research universe,Medium,,2026-09-07
INVESTOR_0024,,AustralianSuper,Superannuation fund,,Australia,Infrastructure; real estate; private markets,Research,Research,Research,Priority Australian institutional capital,Research universe,Medium,,2026-09-07
INVESTOR_0025,,GLP,Logistics real estate / investment manager,,Singapore,Logistics; data centres; infrastructure,Research,Core business,Industrial/logistics parks,Priority global logistics-real-estate platform,Research universe,High,,2026-09-07
INVESTOR_0026,,Goodman Group,Industrial property owner/developer,,Australia,Logistics; industrial; data centres,Research,Core business,Industrial/logistics parks,Priority global logistics-real-estate platform,Research universe,High,,2026-09-07
INVESTOR_0027,,SEGRO,Industrial / logistics REIT,,United Kingdom,Warehouses; urban logistics; big-box,Research,Core business,Logistics parks,Priority European logistics-real-estate platform,Research universe,High,,2026-09-07
INVESTOR_0028,,Temasek,Sovereign investment company,,Singapore,Infrastructure; logistics; industrial; technology,Research,Research,Research,Priority strategic capital; also active with GIP in regional infrastructure partnerships,Research universe,Medium,,2026-09-07
