Relationship ID,Source Entity,Relationship,Target Entity,As Of,Confidence,Source ID
REL_00025,COMP_QATARENERGY,LONG_TERM_CHARTER_PROGRAM_WITH,COMP_NAKILAT,2026-09-07,High,SRC_0088
REL_00026,COMP_BYD,CHARTERS_VEHICLE_CARRIERS_FROM,COMP_ZODIAC,2026-09-07,High,SRC_0091
REL_00027,COMP_BP,OWNS,COMP_BP_SHIPPING,2026-09-07,High,SRC_0103
REL_00028,COMP_CHEVRON,OWNS,COMP_CHEVRON_SHIPPING,2026-09-07,High,SRC_0105
REL_00029,COMP_EXXON,OWNS,COMP_SEARIVER,2026-09-07,High,SRC_0107
REL_00030,COMP_EXXON,GROUP_ENTITY,COMP_IMT,2026-09-07,High,SRC_0107
REL_00031,COMP_BAHRI,EQUITY_INTEREST_IN,YARD_0010,2026-09-07,High,SRC_0074
REL_00032,COMP_SEARIVER,TIME_CHARTERS_FROM,COMP_PERFORMANCE_SHIPPING,2026-09-07,High,SRC_0109
REL_00033,COMP_EXXON,BOOKS_CARGO_CAPACITY_VIA,COMP_VITOL,2026-09-07,Moderate,SRC_0110
REL_00034,COMP_DPW,OWNS / GROUP COMPANY,COMP_PO_FERRIES,2026-09-07,High,SRC_0125
REL_00035,COMP_CSL_GROUP,HAS_DIVISION,COMP_CSL_CANADA,2026-09-07,High,SRC_0152
REL_00036,COMP_CSL_GROUP,HAS_DIVISION,COMP_CSL_AUSTRALIA,2026-09-07,High,SRC_0152
REL_00037,COMP_CSL_GROUP,HAS_DIVISION,COMP_CSL_AMERICAS,2026-09-07,High,SRC_0152
REL_00038,COMP_CN,OWNS / OPERATES,COMP_GREAT_LAKES_FLEET,2026-09-07,High,SRC_0158
REL_00039,COMP_MAINSTAY,OWNS / GROUP COMPANY,COMP_ASC,2026-09-07,High,SRC_0161
REL_00040,COMP_MAINSTAY,OWNS / GROUP COMPANY,COMP_GRN,2026-09-07,High,SRC_0162
REL_00041,COMP_MAINSTAY,OWNS / GROUP COMPANY,COMP_ANDRIE,2026-09-07,High,SRC_0161
REL_00042,COMP_CSL_GROUP,JOINT VENTURE PARTNER,COMP_EUREKA_SHIPPING,2026-09-07,High,SRC_0168
REL_00043,COMP_SMT_SHIPPING,JOINT VENTURE PARTNER,COMP_EUREKA_SHIPPING,2026-09-07,High,SRC_0168
REL_00044,COMP_ALGOMA,OPERATES THROUGH,COMP_ALGOMA_TANKERS,2026-09-07,High,SRC_0155
REL_00045,COMP_CN,INTEGRATED SUPPLY CHAIN INCLUDES,COMP_GREAT_LAKES_FLEET,2026-09-07,High,SRC_0178
REL_00046,COMP_ADPORTS,OWNS_70_PERCENT,COMP_TRANSMAR,2026-09-07,High,SRC_0187
REL_00047,COMP_ADPORTS,CONTAINER_FEEDER_BUSINESS_INCLUDES,COMP_SAFEEN_FEEDERS,2026-09-07,High,SRC_0058
REL_00048,COMP_ADPORTS,CONTAINER_FEEDER_BUSINESS_INCLUDES,COMP_TRANSMAR,2026-09-07,High,SRC_0058
REL_00049,COMP_CHINA_MERCHANTS_GROUP,OWNS / CONTROLS,COMP_CMES,Parent-subsidiary / state-controlled group relationship,High,SRC_0219
REL_00050,COMP_COSCO_GROUP,OWNS / CONTROLS,COMP_COSCO_ENERGY,Parent-subsidiary / state-controlled group relationship,High,SRC_0219
REL_00051,COMP_ANGELICOUSSIS_GROUP,OWNS / CONTROLS,COMP_MARAN_TANKERS,Parent-group relationship,High,SRC_0222
REL_00052,COMP_ASYAD_GROUP,OWNS / CONTROLS,COMP_ASYAD_SHIPPING,Parent-group relationship,High,SRC_0217
REL_00053,COMP_BROOKFIELD_AM,SPONSORS / MANAGES,COMP_BROOKFIELD_INFRA,2026-09-07,High,SRC_0255
REL_00054,COMP_BROOKFIELD_INFRA,HOLDS_25_PERCENT,COMP_PDPORTS,2026-09-07,High,SRC_0255
REL_00055,COMP_BLACKROCK,OWNS / PARENT_OF,COMP_GIP,2026-09-07,High,SRC_0258
REL_00056,COMP_KKR,REAL_ESTATE_PLATFORM,COMP_MIRASTAR,2026-09-07,High,SRC_0263
REL_00057,COMP_BLACKSTONE,REAL_ESTATE_PLATFORM,COMP_PROXITY,2026-09-07,High,SRC_0264
REL_00058,COMP_STONEPEAK,OWNS_25_PERCENT,COMP_UNITED_PORTS,2026-09-07,High,SRC_0256
REL_00059,COMP_CMA_CGM,OWNS_75_PERCENT_AND_CONTROLS,COMP_UNITED_PORTS,2026-09-07,High,SRC_0256
REL_00060,COMP_STONEPEAK,OWNS_70_PERCENT,COMP_GEELONGPORT,2026-09-07,High,SRC_0257
REL_00061,COMP_CARESUPER,OWNS_30_PERCENT,COMP_GEELONGPORT,2026-09-07,High,SRC_0257
REL_00062,COMP_MACQUARIE_AM,PORTFOLIO_COMPANY,COMP_ITS,2026-09-07,High,SRC_0260
REL_00063,COMP_LA_CAISSE,OWNS_70_PERCENT,COMP_PLIVE,2026-09-07,High,SRC_0268
REL_00064,COMP_PROLOGIS,OWNS_30_PERCENT_AND_OPERATES,COMP_PLIVE,2026-09-07,High,SRC_0268
REL_00065,COMP_CIC,MAJORITY_OWNS,COMP_LOGICOR,2026-09-07,High,SRC_0270
REL_00066,COMP_ADPORTS,OWNS_60_PERCENT,COMP_TBILISI_DRY_PORT,2026-09-07,High,SRC_0277
REL_00067,COMP_WILHELMSEN_PORT_SERVICES,JV_PARTNER_IN,COMP_TBILISI_DRY_PORT,2026-09-07,High,SRC_0282
REL_00068,COMP_INVECO,JV_PARTNER_IN,COMP_TBILISI_DRY_PORT,2026-09-07,High,SRC_0282
REL_00069,COMP_ADPORTS,OWNS / GROUP COMPANY,COMP_KEZAD,2026-09-07,High,SRC_0275
REL_00070,COMP_DPW,OWNS / GROUP COMPANY,COMP_JAFZA,2026-09-07,High,SRC_0273
REL_00071,COMP_DHL_AG,OWNS / GROUP COMPANY,COMP_DHL_EXPRESS,2026-09-07,High,SRC_0288
REL_00072,COMP_DHL_AG,OWNS / GROUP COMPANY,COMP_DHL_GLOBAL_FORWARDING,2026-09-07,High,SRC_0288
REL_00073,COMP_DHL_AG,OWNS / GROUP COMPANY,COMP_DHL_SUPPLY_CHAIN,2026-09-07,High,SRC_0288
REL_00074,COMP_DHL_AG,OWNS / GROUP COMPANY,COMP_DHL_ECOMMERCE,2026-09-07,High,SRC_0288
REL_00075,COMP_DHL_AG,OWNS / GROUP COMPANY,COMP_DEUTSCHE_POST,2026-09-07,High,SRC_0288
REL_00076,COMP_DHL_AG,OPERATES NETWORK PLATFORM,COMP_DHL_AVIATION,2026-09-07,High,SRC_0290
REL_00077,COMP_FEDEX_CORP,OWNS / GROUP COMPANY,COMP_FEDERAL_EXPRESS,2026-09-07,High,SRC_0297
REL_00078,COMP_FEDEX_CORP,OWNS / GROUP COMPANY,COMP_FEDEX_SUPPLY_CHAIN,2026-09-07,High,SRC_0301
REL_00079,COMP_FEDEX_CORP,RETAINS 19.9% EQUITY IN,COMP_FEDEX_FREIGHT,2026-09-07,High,SRC_0298
REL_00080,COMP_CMA_CGM,AGREEMENT TO ACQUIRE,COMP_FEDEX_SUPPLY_CHAIN,2026-09-07,High,SRC_0301
REL_00081,COMP_CEVA,PLANNED INTEGRATION OF,COMP_FEDEX_SUPPLY_CHAIN,2026-09-07,High,SRC_0301
REL_00082,COMP_AMAZON,OPERATES BUSINESS PLATFORM,COMP_AMAZON_SUPPLY_CHAIN,2026-09-07,High,SRC_0302
REL_00083,COMP_AMAZON,OPERATES BUSINESS PLATFORM,COMP_AMAZON_GLOBAL_LOGISTICS,2026-09-07,High,SRC_0304
REL_00084,COMP_AMAZON,OPERATES BUSINESS PLATFORM,COMP_AMAZON_FREIGHT,2026-09-07,High,SRC_0302
REL_00085,COMP_AMAZON,OPERATES BUSINESS PLATFORM,COMP_AMAZON_AIR,2026-09-07,High,SRC_0302
REL_00086,COMP_ALLEGIANT,OWNS / GROUP COMPANY,COMP_SUN_COUNTRY,2026-09-07,High,SRC_0307
REL_00087,COMP_AMAZON,CONTRACTS CARGO OPERATIONS FROM,COMP_SUN_COUNTRY,2026-09-07,High,SRC_0307
REL_00088,COMP_ADQ,OWNS / CONTROLS 63.16% AGGREGATE,COMP_ARAMEX,2026-09-07,High,SRC_0308
REL_00089,COMP_ADQ,OWNS / GROUP COMPANY,COMP_Q_LOGISTICS,2026-09-07,High,SRC_0308
REL_00090,COMP_Q_LOGISTICS,ACQUISITION VEHICLE FOR,COMP_ARAMEX,2026-09-07,High,SRC_0308
REL_00091,COMP_ADQ,MAJORITY OWNS,COMP_ADPORTS,2026-09-07,High,SRC_0308
REL_00092,COMP_ADPORTS,HOLDS STAKE INCLUDED IN ADQ AGGREGATE,COMP_ARAMEX,2026-09-07,High,SRC_0308
REL_00093,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_ATI,2026-09-08,High,SRC_0325
REL_00094,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_ABX_AIR,2026-09-08,High,SRC_0325
REL_00095,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_21_AIR,2026-09-08,High,SRC_0325
REL_00096,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_SUN_COUNTRY,2026-09-08,High,SRC_0325
REL_00097,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_HAWAIIAN,2026-09-08,High,SRC_0325
REL_00098,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_CARGOJET,2026-09-08,High,SRC_0325
REL_00099,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_ASL_IRELAND,2026-09-08,High,SRC_0325
REL_00100,COMP_AMAZON_AIR,CONTRACTS_DIRECT_AIR_CARRIER,COMP_QUIKJET,2026-09-08,High,SRC_0325
REL_00101,COMP_MSC,OPERATES_BUSINESS_PLATFORM,COMP_MSC_AIR_CARGO,2026-09-08,High,SRC_0333
REL_00102,COMP_MSC_AIR_CARGO,ACMI / OPERATING_PARTNER,COMP_ATLAS_AIR,2026-09-08,High,SRC_0333
REL_00103,COMP_MSC,OWNS / CONTROLS,COMP_ALISCARGO,2026-09-08,High,SRC_0333
REL_00104,COMP_CARGOLUX,GROUP_AIRLINE,COMP_CARGOLUX_ITALIA,2026-09-08,High,SRC_0327
REL_00105,COMP_UPS,OWNS / OPERATING_DIVISION,COMP_UPS_AIRLINES,2026-09-08,High,SRC_0336
REL_00106,COMP_CMA_CGM,OWNS / GROUP COMPANY,COMP_AIR_BELGIUM,2026-09-08,High,SRC_0332
REL_00107,COMP_CMA_AIR,OPERATES_WITH_BRAND,COMP_AIR_BELGIUM,2026-09-08,High,SRC_0330
REL_00108,COMP_STENA_LINE,GROUP / OPERATING RELATIONSHIP,COMP_STENA_LINE_PORTS,2026-09-08,High,SRC_0340
REL_00109,COMP_ICTSI,PROPOSED_ACQUISITION,COMP_TLG,2026-09-08,High,SRC_0354
REL_00110,COMP_AIIM,OWNS_PRE_TRANSACTION,COMP_TLG,2026-09-08,High,SRC_0354
REL_00111,COMP_MOKOBELA,OWNS_PRE_TRANSACTION,COMP_TLG,2026-09-08,High,SRC_0354
REL_00112,COMP_ROSNEFT,DEVELOPS / CONTROLS,COMP_VOSTOK_OIL,2026-09-08,High,SRC_0343
REL_00113,COMP_AUSTAL,OWNS,COMP_AUSTAL_USA,2026-09-08,High,SRC_0348
REL_00114,COMP_HANWHA_GROUP,POTENTIAL_ACQUIRER,COMP_AUSTAL_USA,2026-09-08,High,SRC_0348
REL_00115,COMP_WILDCAT_INFRA,POTENTIAL_ACQUIRER,COMP_AUSTAL_USA,2026-09-08,Medium,SRC_0348
REL_00116,COMP_PHIL_SPAN_ASIA,OPERATES,VESSEL_00421,2026-09-08,High,SRC_0353
REL_00117,COMP_CHCL,OPERATES,TERM0247,2026-09-08,High,SRC_0344
REL_00118,COMP_ROSNEFT,OPERATES / DEVELOPS,TERM0248,2026-09-08,High,SRC_0343
REL_00119,COMP_ETIHAD_RAIL,JV_PARTNER_IN,COMP_HAFEET_RAIL,2026-09-08,High,SRC_0383
REL_00120,COMP_OMAN_RAIL,JV_PARTNER_IN,COMP_HAFEET_RAIL,2026-09-08,High,SRC_0383
REL_00121,COMP_MUBADALA,JV_PARTNER_IN,COMP_HAFEET_RAIL,2026-09-08,High,SRC_0383
REL_00122,COMP_HHLA,OWNS_100_PERCENT,COMP_METRANS,2026-09-08,High,SRC_0401
REL_00123,COMP_INDIAN_RAILWAYS,SYSTEM / POLICY PARENT,COMP_DFCCIL,2026-09-08,High,SRC_0406
