Staging ID,Company ID,Vessel Name,Canonical Vessel ID,IMO,MMSI,National / Official Number,Operating Region,Vessel Type,DWT / Capacity,Year Built,Status,Data Status,Priority,Source URL,Notes
GSTAGE_00001,COMP_CSL_AUSTRALIA,Adelie,,,,,Australia and Asia,Self-unloader,45155.2,1999,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00021,COMP_MCKEIL,Ecosse,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00022,COMP_MCKEIL,Evans Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00023,COMP_MCKEIL,Glovertown Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00024,COMP_MCKEIL,Harvest Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00025,COMP_MCKEIL,Hinch Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00026,COMP_MCKEIL,Huron Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00027,COMP_MCKEIL,Manitoulin,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00028,COMP_MCKEIL,Ontario Venture,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00029,COMP_MCKEIL,Kathy McKeil,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00030,COMP_MCKEIL,Northern Venture,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00031,COMP_MCKEIL,Wilf Seymour,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00032,COMP_MCKEIL,McKeil Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00033,COMP_MCKEIL,Niagara Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
