ID,Region,Country,Port / Location,Project / Asset,Primary Company / Authority,Other Parties,Opportunity Type,Commercial Opportunity,Project / Tender Stage,2026 Development / Status,Reported Amount,Local Currency,Value Type,USD per Local Unit,Converted Value (USD),Secondary Reported Value / Notes,Concession / Contract Term,Deadline / Timing,Next Procurement / Entry Point,Cargo / Infrastructure,Strategic Theme,Confidence,Source Date,Source URL
11,Europe,Belgium,Port of Antwerp,Temperature-controlled logistics hub,DP World,Montea; Maatschappij Linkerscheldeoever,Cold chain / port logistics,Warehouse construction / refrigeration / energy / specialist logistics,Planned / development,Initial EUR 48m investment announced; total long-term investment approx. EUR 100m,48000000,EUR,Initial project investment,1.1614,55747200,Long-term investment approximately EUR 100m,Not stated,Announced 5 Aug 2026,"Cold-chain systems, construction, refrigeration, energy and automation",Cold chain / logistics,Pharma / perishables / port-adjacent logistics,High,2026-08-05,https://www.dpworld.com/en/news/dp-world-expands-cold-chain-capabilities-with-new-48m-antwerp-hub
12,Europe,Netherlands,Rotterdam,Deep-sea container shore power,Port of Rotterdam Authority / Eneco,ABB; APM Terminals; Hutchison Ports,Shore power / energy infrastructure,Electrical systems / grid / cabling / maintenance,Awarded / construction financing,ABB selected; EIB financing announced for 8km quay and 35 connection points,90000000,EUR,Financing amount,1.1614,104526000,EIB loan to Rotterdam Shore Power; ABB tender award value not disclosed,Multiple project contracts,2026 onward,"Electrical EPC, maintenance, grid, cabling and excavation",Shore power,Port decarbonisation / electrification,High,2026-03-23,https://www.portofrotterdam.com/en/news-and-press-releases/port-rotterdam-continues-greening-efforts-eu-financing
13,Middle East,UAE,Khalifa Port,EGA dedicated berth enhancement,AD Ports Group,Emirates Global Aluminium,Berth enhancement,Marine civil works / berth engineering / bulk handling,Agreement / development,Multi-phase berth enhancement agreement signed to accommodate Newcastlemax vessels,84000000,AED,Project CAPEX,0.27229407760381213,22872702.51872022,Joint investment by AD Ports Group and EGA,Not stated,Announced 29 Jun 2026,"Berth works, fendering, marine engineering and bulk-handling upgrades",Dry bulk / berth infrastructure,UAE industrial port capacity,High,2026-06-29,https://www.adportsgroup.com/en/news-and-media/2026/06/29/ad-ports-group-and-emirates-global-aluminium-expand-long-term-partnership
14,Latin America,Brazil,Santos & Itaqui,CLI acquisition,AD Ports Group,CLI management / shareholders,M&A / port platform acquisition,M&A / integration / follow-on expansion,Pending close,AD Ports announced acquisition of Brazil's leading independent agri-bulk port terminal operator,3100000000,AED,Enterprise value / acquisition,0.27229407760381213,844111640.5718176,Company source also stated USD 835m transaction value,N/A,Expected close end-Q3 2026,"Post-close capex, route development, equipment and logistics integration",Agri-bulk terminals,UAE-Brazil food and trade corridor,High,2026-06-02,https://www.adportsgroup.com/en/news-and-media/2026/06/02/ad-ports-group-acquires-cli
15,Middle East,Jordan,Aqaba,Aqaba Multipurpose Port concession,AD Ports Group,Aqaba Development Corporation,Concession / JV,Operations / modernization / equipment / digital,Awarded concession,30-year management and operating concession signed; AD Ports holds 70% JV stake,141000000,AED,AD Ports investment,0.27229407760381213,38393464.94213751,ADC holds 30%,30 years,Signed 5 Feb 2026,"Terminal modernization, systems, equipment and logistics services",General / multipurpose cargo,Jordan gateway / Red Sea logistics,High,2026-02-05,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2026/02/05/ad-ports-group-signs-30-year-agreement-with-aqaba-development-corporation/
16,Africa,Cameroon,Douala,New dry bulk terminal,AD Ports Group,Africa Ports Development; two other UAE investors; Port Authority of Douala,Concession / greenfield terminal,Marine works / bulk equipment / storage / EPC,Concession / construction planning,AD Ports joined 30-year concession; phase 1 construction expected 2026-2028,320000000,AED,AD Ports share of investment,0.27229407760381213,87134104.83321989,AD Ports effective economic interest 51%; phase 1: 2 berths / ~450m quay,30 years,Construction expected 2026-2028,"Marine EPC, conveyors, storage, bulk handling, utilities",Dry bulk,Central Africa gateway / UAE port investment,High,2026-02-12,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2026/02/12/ad-ports-group-enters-into-30-year-concession-agreement-with-africa-ports-development/
17,Africa,Republic of the Congo,Pointe-Noire,Noatum Ports Pointe-Noire Terminal,AD Ports Group,CMA CGM / CMA Terminals; Government of Republic of Congo,EPC / equipment contract awards,Marine EPC / landside EPC / crane procurement,Contracts awarded,"Three major design, construction and crane contracts awarded in May 2026",735000000,AED,Awarded contracts total,0.27229407760381213,200136147.0388019,"Terminal under 30-year concession, extendable 20 years",30 + 20 years,Contracts awarded 18 May 2026,"Subcontracting, supply chain, cranes, civil works, commissioning",Container terminal,Central Africa / Atlantic gateway,High,2026-05-18,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2026/05/18/ad-ports-group-awards-three-contracts-for-noatum-ports-pointe-noire-terminal/
18,Africa,Egypt,Safaga,Noatum Ports Safaga Terminal,AD Ports Group,IFC; NBK-Egypt; Egyptian stakeholders,Greenfield / project finance,Terminal completion / equipment / systems / financing,Construction / trial operations,USD 115m financing secured; committed project CAPEX reported at USD 200m,200000000,USD,Committed project CAPEX,1,200000000,Separate 15-year project finance facility: USD 115m,Not stated,Commercial opening targeted 2026,"Completion packages, equipment, technology, maintenance, logistics",Multipurpose terminal,Red Sea / Upper Egypt gateway,High,2026-02-03,https://www.adportsgroup.com/en/news-and-media/2026/02/03/ad-ports-group-secures-usd-115-million-financing-to-advance-safaga-terminal-in-egypt
19,Latin America,Brazil,Port of Santos,Tecon Santos 10,ANTAQ / Ministry of Ports and Airports,Santos Port Authority; prospective global operators,Concession auction,Operator concession / terminal development / project finance,Pre-auction / regulatory,Largest container terminal concession project in Brazil advancing through 2026 approvals,6454903000,BRL,Required CAPEX,0.195076,1259196657.628,Global contract value BRL 43.646514bn; minimum grant BRL 500m,25 years,Auction timing subject to final regulatory process,"Bid consortium formation, financing, terminal design, equipment, EPC",Container terminal,Latin America mega-concession / competition policy,High,2026-05-05,https://www.gov.br/antaq/pt-br/assuntos/projetos-de-concessao/arrendamentos/TeconSantos10
20,Latin America,Brazil,Fortaleza / Mucuripe,MUC04 container terminal,ANTAQ,Federal port authorities; prospective operators,Concession auction,Operator concession / brownfield redevelopment,Pre-auction / TCU-cleared,Project modeling advanced; auction date to be set by ANTAQ,450763000,BRL,Required CAPEX,0.195076,87933042.988,Global contract value BRL 7.046464bn,25 years,Auction forthcoming,"Bid preparation, reefer infrastructure, terminal equipment and redevelopment",Container terminal,Northeast Brazil / agrifood exports,High,2026-05-05,https://www.gov.br/antaq/pt-br/assuntos/projetos-de-concessao/arrendamentos/MUC04
21,Latin America,Brazil,Port of Santos,Santos access channel concession,Ministry of Ports and Airports / ANTAQ,Santos Port Authority; prospective concessionaires,Access channel concession,Dredging / VTMIS / navigation aids / environmental management,Public consultation / concession preparation,25-year access-channel concession under consultation in 2026,688000000,BRL,Estimated CAPEX,0.195076,134212288,"Includes deepening to 16m then 17m, maintenance dredging, VTMIS and navigation aids",25 years,Consultation held in 2026,"Dredging, hydrographic, VTMIS, navigation aids, environmental services",Channel / dredging,Port access infrastructure / private concession,High,2026-03-24,https://www.gov.br/portos-e-aeroportos/pt-br/assuntos/noticias/2026/03/aberta-consulta-publica-sobre-concessao-do-canal-de-acesso-ao-porto-de-santos
22,Middle East,Jordan,Aqaba,Bulk Terminal rehabilitation (Cement Terminal & Mut'ah jetty),Aqaba Development Corporation,Prospective international/local investors,DFBOT concession tender,Investor / operator / EPC / ship-loader / utilities,Tender / investment opportunity,"International/local firms invited for rehabilitation, modernization, financing, operation and transfer",,,Undisclosed,,,Value not disclosed in public tender notice,20 years + possible 5-year extension,EOI requests accepted until 28 Jun 2026; site visit 8-9 Jul 2026,Investor/operator participation; rehabilitation; ship-loading systems; utilities,Bulk cargo / silica,Jordan industrial exports / port modernization,High,2026-06-09,https://adc.jo/BidDetails.aspx?id=5327
23,Europe,Germany,Hamburg / UNIKAI,UNIKAI shore power cable trays,Hamburg Port Authority,Prospective electrical / civil contractors,Works tender,Cable infrastructure / shore power construction,Published / near deadline,Tender for cable trays supporting RoRo/ConRo shore-power installation at two berths,,,Tender value undisclosed,,,Estimated contract value not available in notice,N/A,Deadline 8 Sep 2026,"Electrical/civil works, cable trays, installation subcontracting",Shore power / electrical,EU port electrification,High,2026-08-10,https://op.europa.eu/en/web/public-procurement/procurement-details/-/procurement/a3296d47-78b9-493b-acde-af2c89ef23e0
24,North America,United States,"Corpus Christi, Texas",Proposed container terminal,DP World,Port of Corpus Christi,Long-term lease / greenfield development,Terminal developer / operator / EPC / equipment,Exclusive negotiations,DP World entered exclusive negotiations for long-term lease to develop and operate a container terminal,,,Undisclosed,,,Major investment indicated but value not disclosed,Long-term lease under negotiation,Negotiations announced 16 Jun 2026,"Development agreement, terminal design, environmental, EPC, equipment",Container terminal,US Gulf gateway diversification,Medium-High,2026-06-16,https://www.dpworld.com/en/news/usa/container-terminal-at-port-of-corpus-christi-texas
25,Middle East,UAE,Fujairah,Al Rugaylat & Dibba terminals,DP World,Fujairah Ports Authority,50-year concession / greenfield,Terminal development / EPC / equipment / logistics,Agreement in principle,Agreement in principle for two new east-coast terminals; Al Rugaylat designed for 2.5m TEU plus general cargo,,,Undisclosed,,,Investment value not publicly disclosed,50 years,Announced 22 Jul 2026,"Concession close, marine works, terminal equipment, road/logistics integration",Container + multipurpose / general cargo,UAE east-coast gateway / Hormuz bypass resilience,High,2026-07-22,https://www.dpworld.com/en/news/dp-world-to-expand-uae-gateway-network-with-new-fujairah-terminals
26,Europe,Romania,Constanța,Port development opportunities,AD Ports Group,National Company Maritime Ports Administration SA,Framework / investment exploration,Greenfield/brownfield development / digital / sustainability,Framework agreement / opportunity development,Framework signed to explore strategic investment and development opportunities,,,Undisclosed,,,"Areas include port development, digital solutions, renewables, waste and emissions",Not stated,Framework signed 14 Apr 2026,"Project origination, JV/concession structures, digital and sustainability solutions",Port development,Black Sea / Middle Corridor,Medium-High,2026-04-14,https://www.adportsgroup.com/en/news-and-media/2026/04/14/ad-ports-group-signs-agreement-to-explore-investment-opportunities-in-the-port-of-constanta
27,Africa,DR Congo,Matadi,Proposed multipurpose terminal,AD Ports Group,DRC Ministry of Transport; ONATRA SA,Heads of Terms / development opportunity,Terminal developer / operator / financing / EPC,Early-stage development,Heads of Terms signed for development and operation of a multipurpose terminal,,,Undisclosed,,,Commercial terms and value not disclosed,Not stated,HoT announced 3 Feb 2026,"Feasibility, concession structuring, finance, marine/landside design",Multipurpose terminal,Congo River / Central Africa gateway,Medium-High,2026-02-03,https://www.adportsgroup.com/en/news-and-media/2026/02/02/ad-ports-group-signs-heads-of-terms-with-drcs-ministry-of-transport
28,Asia-Pacific,Thailand,Laem Chabang,B5 container berth,DP World / LCIT,Port Authority of Thailand,Concession extension,Terminal operations / equipment / maintenance,Awarded extension,Five-year concession extension secured through Apr 2031,,,Undisclosed,,,Extension value not disclosed,5-year extension,May 2026-Apr 2031,"Operations, equipment renewal, terminal optimization",Container terminal,Intra-Asia trade hub,High,2026-05-07,https://www.dpworld.com/en/news/dp-world-secures-laem-chabang-concession-extension-amid-rising-intra-asia-trade
