Company ID,Company,Entity Type,HQ City,HQ Country,Ownership,Business Segments,Senior Leader,Title,Scale / Network Notes,Status,Source ID,As Of
COMP_COSCO_PORTS,COSCO SHIPPING Ports,Company,Hong Kong,China,COSCO SHIPPING subsidiary,Port and terminal investment / operations,,,Global terminal platform of COSCO SHIPPING.,Active,SRC_0055,2026-09-07
COMP_EVERGREEN,Evergreen Marine,Company,Taoyuan,Taiwan,Publicly listed,Container shipping; terminal operations,,,Evergreen Line serves 315+ locations globally; current full-fleet research queued.,Active,SRC_0056,2026-09-07
COMP_NOATUM,Noatum,Company,Madrid / Barcelona,Spain,AD Ports Group company,Maritime; logistics; ports; automotive; cruise services,,,Noatum states it is fully integrated into AD Ports Group's businesses.,Active,SRC_0059,2026-09-07
COMP_NOATUM_MARITIME,Noatum Maritime,Business unit,,Spain,Noatum / AD Ports Group,Maritime agency; liner; chartering; cruise services,,,Noatum maritime business unit.,Active,SRC_0065,2026-09-07
COMP_NOATUM_LOGISTICS,Noatum Logistics,Business unit,,Spain,Noatum / AD Ports Group,International freight; project cargo; logistics; customs,,,Noatum logistics business unit.,Active,SRC_0065,2026-09-07
COMP_GFS,Global Feeder Shipping,Company,Dubai,United Arab Emirates,81% owned by AD Ports Group as of Jun 2026,Container feeder shipping,,,AD Ports Group describes GFS as the world's fourth-largest feeder line by capacity.,Active,SRC_0058,2026-09-07
COMP_UGR,United Global Ro-Ro,Company,,United Arab Emirates,JV involving Noatum Maritime and Erkport,Ro-Ro / PCTC shipping,,,UGR publishes a named Ro-Ro fleet including 2025-built UGR Al Samha and UGR Zakher.,Active,SRC_0060,2026-09-07
COMP_ADNOC,ADNOC,Company,Abu Dhabi,United Arab Emirates,Abu Dhabi state-owned energy group,Energy; upstream; downstream; trading; gas; logistics,H.E. Dr. Sultan Ahmed Al Jaber,Managing Director & Group CEO,Parent energy group for ADNOC L&S and other ADNOC operating companies.,Active,SRC_0067,2026-09-07
COMP_ADNOC_LS,ADNOC Logistics & Services,Company,Abu Dhabi,United Arab Emirates,ADNOC Group / publicly listed subsidiary,Integrated logistics; energy shipping; marine services,Captain Abdulkareem Al Masabi,Chief Executive Officer,"Fleet sheet states 900+ owned, chartered and operated vessels; shipping-fleet layer listed separately.",Active,SRC_0066,2026-09-07
COMP_NAVIG8,Navig8,Company,,,80% owned by ADNOC L&S,Ship ownership; commercial pools; bunkering; ship management,,,ADNOC L&S identifies Navig8 as a key subsidiary and global ship owner / commercial pools operator.,Active,SRC_0069,2026-09-07
COMP_ZMI,Zakher Marine International Holdings,Company,Abu Dhabi,United Arab Emirates,100% owned by ADNOC L&S,Offshore support vessels; marine logistics,,,ADNOC L&S identifies ZMI as a key wholly owned offshore-support-vessel subsidiary.,Active,SRC_0069,2026-09-07
COMP_AW_SHIPPING,AW Shipping,Joint venture,,United Arab Emirates / China,Joint venture between ADNOC L&S and Wanhua Chemical,VLGC; VLEC; VLAC shipping,Captain Abdulkareem Al Masabi,Chairman,Energy / petrochemical shipping JV serving ADNOC and Wanhua-linked flows.,Active,SRC_0071,2026-09-07
COMP_WANHUA,Wanhua Chemical Group,Company,,China,Public company,Chemicals; petrochemicals; international trading,,,JV partner in AW Shipping and major cargo principal for LPG/ethane flows.,Active,SRC_0071,2026-09-07
COMP_ADNOC_GAS,ADNOC Gas,Company,Abu Dhabi,United Arab Emirates,ADNOC Group,Gas processing; LNG; gas marketing,,,Long-term charter counterparty for part of ADNOC L&S LNG fleet.,Active,SRC_0068,2026-09-07
COMP_BAHRI,Bahri,Company,Riyadh,Saudi Arabia,Publicly listed; strategic Saudi maritime company,Crude oil; chemicals; dry bulk; RoCon; logistics; marine services,Eng. Ahmed Ali Alsubaey,CEO & Board Member,"Q2 2026: 107 owned vessels, 109 operated vessels, plus three floating desalination barges.",Active,SRC_0074,2026-09-07
COMP_NAKILAT,Nakilat,Company,Doha,Qatar,Publicly listed,LNG shipping; LPG/ammonia shipping; shipyard; towage; maritime services,Eng. Abdullah Al-Sulaiti,Chief Executive Officer,H1 2026: 40-vessel newbuild orderbook across South Korea and China.,Active,SRC_0079,2026-09-07
COMP_MILAHA,Milaha / Qatar Navigation Q.P.S.C.,Company,Doha,Qatar,Publicly listed,Maritime & logistics; marine technical; offshore; gas & petrochem; capital,Fahad Saad Al-Qahtani,Group Chief Executive Officer,Maritime/logistics group; also the largest shareholder in Nakilat according to its 2025 annual-report structure.,Active,SRC_0082,2026-09-07
COMP_QATARENERGY,QatarEnergy,Company,Doha,Qatar,State-owned,Energy; LNG; marketing; trading; fleet chartering,Saad Sherida Al-Kaabi,President & CEO,Existing 69-vessel LNG transport fleet plus a 128-vessel fleet expansion program sponsored through shipowner charter structures.,Active,SRC_0086,2026-09-07
COMP_BYD,BYD Company / BYD Auto,Company,Shenzhen,China,Publicly listed,Automotive; batteries; electronics; vehicle-export logistics,Wang Chuanfu,Chairman,Dedicated eight-vessel car-carrier network by August 2026; ownership includes both BYD-owned and chartered ships.,Active,SRC_0090,2026-09-07
COMP_ZODIAC,Zodiac Maritime,Company,London,United Kingdom,Private,Ship ownership; management; chartering,,,Owner of BYD Explorer No.1 and BYD Changzhou in the first-pass vehicle-carrier relationship model.,Active,SRC_0091,2026-09-07
COMP_ZIM,ZIM Integrated Shipping Services,Company,Haifa,Israel,Publicly listed,Container shipping; vehicle-carrier chartering; logistics,Eli Glickman,President & CEO (departing / notice period),Q2 2026: 115 containerships / 707k TEU plus 13 car carriers; 40 future charter agreements.,Active,SRC_0096,2026-09-07
COMP_SINOKOR,SINOKOR Merchant Marine,Company,Seoul,South Korea,Private,Container shipping; bulk; terminals; land logistics; warehousing; forwarding,Tae-Soon Chung / Chang-Won Kum,Representative Directors,"English site reports 66 operating vessels, 69 liner routes and 97 offices.",Active,SRC_0099,2026-09-07
COMP_BP,bp p.l.c.,Company,London,United Kingdom,Publicly listed,Energy; trading; shipping; LNG,Murray Auchincloss,Chief Executive Officer,Integrated energy company with trading and shipping activities.,Active,SRC_0104,2026-09-07
COMP_BP_SHIPPING,bp Shipping Limited,Company,London,United Kingdom,bp group company,Oil shipping; LNG shipping; marine assurance; supply vessels,,,"2024 filing baseline references 48 international oil, LNG and supply vessels; current 2026 fleet needs refresh.",Active,SRC_0103,2026-09-07
COMP_CHEVRON,Chevron Corporation,Company,Houston,United States,Publicly listed,Energy; LNG; crude; refined products; shipping,Mike Wirth,Chairman & CEO,"Chevron Shipping transports crude, LNG and refined products through owned and bareboat-chartered fleet capacity.",Active,SRC_0105,2026-09-07
COMP_CHEVRON_SHIPPING,Chevron Shipping Company,Business unit,San Ramon / Houston,United States,Chevron Corporation,Marine transportation; LNG; crude oil; refined products,,,Shipping arm with owned and bareboat-chartered vessel capacity.,Active,SRC_0105,2026-09-07
COMP_EXXON,Exxon Mobil Corporation,Company,"Spring, Texas",United States,Publicly listed,Energy; trading; marine transportation; refined products,Darren Woods,Chairman & CEO,"Marine exposure includes SeaRiver Maritime, International Marine Transportation entities, and cargo chartering.",Active,SRC_0108,2026-09-07
COMP_SEARIVER,"SeaRiver Maritime, Inc.",Company,,United States,Wholly owned ExxonMobil subsidiary,Marine transportation; tanker chartering,,,ExxonMobil marine entity; current charter exposure modeled separately from ownership.,Active,SRC_0107,2026-09-07
COMP_IMT,International Marine Transportation Limited,Company,,United Kingdom,ExxonMobil group company,Marine transportation / shipping services,,,ExxonMobil-listed marine transportation entity.,Active,SRC_0107,2026-09-07
COMP_PERFORMANCE_SHIPPING,Performance Shipping Inc.,Company,Athens,Greece,Publicly listed,Tanker ownership and operation,,,"Owner of M/T P. Long Beach, time-chartered to SeaRiver Maritime.",Active,SRC_0109,2026-09-07
COMP_VITOL,Vitol,Company,Geneva / Rotterdam,,Private,Energy trading; shipping; logistics,,,Trading counterparty in ExxonMobil U.S.-Australia fuel movement; modeled as intermediary / charter-chain entity.,Active,SRC_0110,2026-09-07
COMP_HAPAG_LLOYD,Hapag-Lloyd AG,Company,Hamburg,Germany,Publicly listed,Container shipping; logistics,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_ONE,Ocean Network Express Pte. Ltd.,Company,Singapore,Singapore,"Joint venture of NYK, MOL and K Line",Container shipping,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_YANG_MING,Yang Ming Marine Transport Corporation,Company,Keelung,Taiwan,Publicly listed,Container shipping; logistics,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_HMM,"HMM Co., Ltd.",Company,Seoul,South Korea,Publicly listed,Container shipping; logistics,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_PIL,Pacific International Lines (Pte) Ltd,Company,Singapore,Singapore,Private / institutional ownership,Container shipping; logistics,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_WAN_HAI,Wan Hai Lines Ltd.,Company,Taipei,Taiwan,Publicly listed,Container shipping,,,Tier-1 global liner; vessel-level fleet build queued.,Active,,
COMP_SEALEAD,SeaLead Shipping,Company,Singapore,Singapore,Private,Container shipping,,,Emerging global liner; vessel-level fleet build queued.,Active,,
COMP_XPRESS,X-Press Feeders,Company,Singapore,Singapore,Private,Container feeder shipping,,,Major global feeder operator; vessel-level fleet build queued.,Active,,
COMP_UNIFEEDER,Unifeeder A/S,Company,Aarhus,Denmark,DP World group,Container feeder shipping; short-sea logistics,,,Major feeder / short-sea operator; vessel-level fleet build queued.,Active,,
COMP_ESL,Emirates Shipping Line,Company,Dubai,United Arab Emirates,Private,Container shipping,,,Regional/global liner relevant to Gulf network exposure.,Active,,
COMP_SAFEEN_FEEDERS,SAFEEN Feeders,Business line,Abu Dhabi,United Arab Emirates,AD Ports Group / Noatum Maritime ecosystem,Container feeder shipping,,,Identified by AD Ports Group alongside GFS and Transmar as a core feeder-shipping business.,Active,,
COMP_TRANSMAR,Transmar International Shipping,Company,Cairo,Egypt,70% owned by AD Ports Group,Container shipping; regional feeder services,,,AD Ports Group's first international maritime acquisition platform in Egypt.,Active,,
COMP_GFS_SHIP_MGMT,GFS Ship Management FZE,Company,Dubai,United Arab Emirates,Private; legal relationship to Global Feeder Shipping LLC to be reconciled,Technical ship management; crew management; commercial management; owner representation,,,"Official site states 30+ in-house vessels and >120,000 TEU under management.",Active,,
COMP_CHINA_MERCHANTS_GROUP,China Merchants Group,Company,Shenzhen,China,Chinese state-owned enterprise,Ports; shipping; logistics; finance; infrastructure,,,Parent group of China Merchants Energy Shipping and other transport/infrastructure businesses,Active,,
COMP_CMES,"China Merchants Energy Shipping Co., Ltd.",Company,Shanghai,China,Public / state-controlled via China Merchants Group,Crude tankers; LNG; dry bulk; RoRo; shipping,,,Major Chinese energy shipping company; key VLCC operator,Active,,
COMP_COSCO_ENERGY,"COSCO SHIPPING Energy Transportation Co., Ltd.",Company,Shanghai,China,Public / state-controlled via COSCO SHIPPING,Crude tankers; product tankers; LNG shipping,,,Energy-shipping arm of COSCO SHIPPING,Active,,
COMP_FRONTLINE,Frontline plc,Company,Limassol,Cyprus,Public,VLCC; Suezmax; LR2/Aframax crude and product tankers,,,Large listed tanker owner/operator with active fleet-renewal program,Active,,
COMP_ANGELICOUSSIS_GROUP,Angelicoussis Group,Company,Athens,Greece,Private,Tankers; LNG carriers; dry bulk shipping,,,Parent shipping group for Maran Tankers and related fleets,Active,,
COMP_MARAN_TANKERS,Maran Tankers Management Inc.,Company,Athens,Greece,Private / Angelicoussis Group,Crude-oil tankers; VLCC management and operations,,,Large Greek tanker-management platform,Active,,
COMP_MOL,"Mitsui O.S.K. Lines, Ltd.",Company,Tokyo,Japan,Public,Tankers; LNG/LPG; dry bulk; car carriers; ferries; logistics,,,Diversified Japanese shipping group and ONE shareholder,Active,,
COMP_DHT,"DHT Holdings, Inc.",Company,Hamilton,Bermuda,Public,VLCC crude-oil tankers,,,Pure-play listed VLCC company,Active,,
COMP_NYK,Nippon Yusen Kabushiki Kaisha (NYK Line),Company,Tokyo,Japan,Public,Tankers; LNG/LPG; car carriers; dry bulk; logistics; cruise,,,Diversified Japanese shipping group and ONE shareholder,Active,,
COMP_ASYAD_GROUP,Asyad Group,Company,Muscat,Oman,Omani state-linked group,Ports; logistics; shipping; free zones; transport,,,Oman integrated logistics and maritime group,Active,,
COMP_ASYAD_SHIPPING,Asyad Shipping Company,Company,Muscat,Oman,Asyad Group-linked shipping company,Crude tankers; product tankers; LNG; dry bulk; liner shipping,,,Oman-based diversified shipping fleet with VLCC exposure,Active,,
COMP_NITC,National Iranian Tanker Company,Company,Tehran,Iran,Iranian state-linked / sanctioned exposure,Crude-oil tankers; VLCCs; petroleum transport,,,Major Iranian tanker fleet; sanctions status must be modeled separately from fleet size,Active,,
COMP_BC_FERRIES,BC Ferries,Company / ferry system,Victoria,Canada,Provincial ferry operator structure,Passenger ferry; vehicle ferry; freight mobility,,,Coastal British Columbia ferry network; public site lists 39 ferries and more than 30 destinations.,Active,SRC_0111,2026-09-07
COMP_WSF,Washington State Ferries,Government ferry system,Seattle / Olympia,United States,Washington State Department of Transportation division,Passenger ferry; vehicle ferry; marine highway,,,Largest ferry system in the United States; 21-ferry fleet across Puget Sound / Salish Sea.,Active,SRC_0114,2026-09-07
COMP_AMHS,Alaska Marine Highway System,Government ferry system,Ketchikan / Juneau,United States,Alaska Department of Transportation & Public Facilities,Passenger ferry; vehicle ferry; freight; marine highway,,,"3,500-mile route network serving more than 30 coastal communities.",Active,SRC_0119,2026-09-07
COMP_MARINE_ATLANTIC,Marine Atlantic,Crown corporation / ferry operator,North Sydney,Canada,Canadian federal Crown corporation,Passenger ferry; vehicle ferry; commercial freight,,,Newfoundland-Nova Scotia ferry service with passenger and dedicated commercial capacity.,Active,SRC_0122,2026-09-07
COMP_PO_FERRIES,P&O Ferries,Company,Dover,United Kingdom,DP World company,Passenger ferry; Ro-Pax; freight ferry,,,"UK-Europe / Irish Sea ferry network including Dover-Calais, Hull-Rotterdam and Cairnryan-Larne.",Active,SRC_0125,2026-09-07
COMP_DFDS,DFDS,Company,Copenhagen,Denmark,Publicly listed,Passenger ferry; Ro-Pax; freight ferry; logistics,,,"European ferry and freight network spanning Channel, North Sea, Baltic and Mediterranean corridors.",Active,SRC_0126,2026-09-07
COMP_MOL_SUNFLOWER,MOL Sunflower,Company / ferry operator,Tokyo / Osaka,Japan,Mitsui O.S.K. Lines group,Passenger ferry; Ro-Pax; overnight freight/passenger services,,,Japanese overnight ferry network linking Kansai-Kyushu and other domestic corridors.,Active,SRC_0127,2026-09-07
COMP_2GO,2GO Group / 2GO Travel,Company,Manila,Philippines,Integrated transport and logistics group,Passenger ferry; inter-island freight; logistics,,,Philippine inter-island ferry and logistics operator with published sailing schedules and service advisories.,Active,SRC_0129,2026-09-07
COMP_ASDP,PT ASDP Indonesia Ferry,Company / state ferry operator,Jakarta,Indonesia,Indonesian state-owned ferry operator,Passenger ferry; vehicle ferry; Ro-Ro; archipelagic connectivity,,,Large Indonesian ferry network with public vessel register and vehicle tariff classes.,Active,SRC_0132,2026-09-07
COMP_STAR_FERRY,The Star Ferry Company,Company,Hong Kong,"Hong Kong, China",Private / franchise ferry operator,Urban passenger ferry; harbour tours,,,Victoria Harbour commuter and tourist ferry operator; electric-ferry procurement underway in 2026.,Active,SRC_0133,2026-09-07
COMP_AB_MARITIME,Arab Bridge Maritime,Company / government joint venture,Aqaba,Jordan,Jordan-Egypt-Iraq government joint venture,Passenger ferry; vehicle ferry; freight; tourist craft,,,Aqaba-Nuweiba / Aqaba-Taba operator linking Asian and African Red Sea gateways.,Active,SRC_0135,2026-09-07
COMP_SEALINK_KI,SeaLink Kangaroo Island,Company / ferry operator,Adelaide / Cape Jervis,Australia,SeaLink / Kelsian group operation,Passenger ferry; vehicle ferry; island connectivity,,,Cape Jervis-Penneshaw car/passenger ferry system; new-ferry transition underway in 2026.,Active,SRC_0139,2026-09-07
COMP_FULLERS360,Fullers360,Company / ferry operator,Auckland,New Zealand,Private ferry operator,Urban/island passenger ferry; tourism,,,Auckland / Hauraki Gulf passenger-ferry network including Waiheke and Rangitoto services.,Active,SRC_0142,2026-09-07
COMP_CALMAC,CalMac Ferries / Caledonian MacBrayne,Company / public-service ferry operator,Gourock,United Kingdom,Scottish public-service ferry network,Passenger ferry; vehicle ferry; island connectivity,,,Scottish west-coast ferry network with monthly route reliability and punctuality reporting.,Active,SRC_0144,2026-09-07
COMP_CSL_GROUP,The CSL Group,Company,Montreal,Canada,Private,Dry bulk shipping; self-unloaders; transhipment; cement; MPP; offshore marine logistics,Louis Martel,President & CEO,"Global group with regional divisions in Canada, Americas, Australia/Asia, Europe and Africa; current site states 99-vessel global fleet.",Active,SRC_0152,2026-09-07
COMP_CSL_CANADA,Canada Steamship Lines,Business division,Montreal,Canada,The CSL Group,Great Lakes/St. Lawrence self-unloaders; bulk carriers,Jeremy Whitworth,"VP Commercial, Canada",Canadian-flag Great Lakes/St. Lawrence division of CSL.,Active,SRC_0152,2026-09-07
COMP_CSL_AUSTRALIA,CSL Australia,Business division,Sydney,Australia,The CSL Group,Coastal dry bulk; self-unloaders; cement carriers; transhippers,Daniel Wilson,"VP Commercial, CSL Australia",Largest owner/operator of dry-bulk coastal vessels in Australian waters per CSL; also operates across Australia/Asia.,Active,SRC_0152,2026-09-07
COMP_CSL_AMERICAS,CSL Americas,Business division,Boston,United States,The CSL Group,Self-unloading and transhipment across Americas/Caribbean/Africa,Henrik Friis,"VP Commercial, CSL Americas and Pool","Commercial footprint across North, South and Central America, Caribbean and Africa.",Active,SRC_0152,2026-09-07
COMP_ALGOMA,Algoma Central Corporation,Company,St. Catharines,Canada,Publicly listed,Great Lakes/St. Lawrence dry bulk; tankers; international self-unloaders; joint ventures,,,Canadian-flag Great Lakes/St. Lawrence fleet plus international ocean self-unloaders; 50% interest in NovaAlgoma and international joint ventures.,Active,SRC_0155,2026-09-07
COMP_INTERLAKE,The Interlake Steamship Company,Company,"Middleburg Heights, Ohio",United States,Family-owned,Great Lakes self-unloading bulk shipping,,,2026 season source states full fleet of 11 commercial vessels and 20m+ tons of annual cargo.,Active,SRC_0157,2026-09-07
COMP_CN,Canadian National Railway / CN,Company,Montreal,Canada,Publicly listed,Rail; intermodal; marine / Great Lakes Fleet,,,Parent transport network connected to Great Lakes Fleet and multiple Great Lakes ports.,Active,SRC_0158,2026-09-07
COMP_GREAT_LAKES_FLEET,Great Lakes Fleet,Business unit / fleet,Duluth / Great Lakes,United States,CN,Great Lakes self-unloading bulk shipping,,,"CN marine fleet carrying iron ore, limestone, coal and specialty bulk commodities with direct rail connectivity.",Active,SRC_0158,2026-09-07
COMP_FEDNAV,Fednav,Company,Montreal,Canada,Private,Dry bulk shipping; ice-class vessels; Great Lakes/Seaway and global,,,Operates 130+ dry-bulk carriers and 900+ voyages per year across the Seaway and global waters.,Active,SRC_0159,2026-09-07
COMP_MCKEIL,McKeil Marine,Company,Burlington,Canada,Private,Bulk carriers; tankers; tugs; barges; workboats; project marine,,,"Great Lakes/St. Lawrence, East Coast and Canadian Arctic operator.",Active,SRC_0160,2026-09-07
COMP_MAINSTAY,Mainstay Maritime,Company,"Williamsville, New York",United States,Private / investment-owned,Great Lakes bulk freight; liquid bulk; ship repair; logistics,Greg Binion,Chief Executive Officer,"Current Great Lakes marine group with American Steamship Company, Grand River Navigation, Andrie and ship-repair/logistics assets.",Active,SRC_0161,2026-09-07
COMP_ASC,American Steamship Company,Company,"Williamsville, New York",United States,Mainstay Maritime subsidiary,Great Lakes self-unloading bulk shipping,,,Great Lakes operator founded in 1907; current Mainstay subsidiary.,Active,SRC_0161,2026-09-07
COMP_GRN,Grand River Navigation,Company,"Traverse City, Michigan",United States,Mainstay Maritime operating company,Great Lakes bulk shipping,,,U.S. Jones Act Great Lakes operator within Mainstay Maritime.,Active,SRC_0162,2026-09-07
COMP_ANDRIE,Andrie,Company,"Muskegon, Michigan",United States,Mainstay Maritime operating company,Great Lakes liquid bulk / tank barge operations,,,"Mainstay acquired Andrie in 2024, adding liquid-bulk transport to its Great Lakes portfolio.",Active,SRC_0161,2026-09-07
COMP_VICTORY_CRUISE,Victory Cruise Lines,Cruise company,,United States,Private cruise operator,Great Lakes / St. Lawrence small-ship cruise,,,Victory I and Victory II operate Great Lakes itineraries in 2026.,Active,SRC_0164,2026-09-07
COMP_PEARL_SEAS,Pearl Seas Cruises,Cruise company,"Guilford, Connecticut",United States,Private cruise operator,Great Lakes / St. Lawrence small-ship cruise,Carter Robertson,President,Pearl Mist operates the company's 2026 Great Lakes season.,Active,SRC_0165,2026-09-07
COMP_VIKING,Viking,Cruise company,,,Private cruise operator,Expedition and ocean cruising; Great Lakes,,,Operates Great Lakes expedition itineraries traversing the Soo Locks and multiple U.S./Canadian ports.,Active,SRC_0166,2026-09-07
COMP_PONANT,Ponant,Cruise company,,France,Cruise operator,Expedition cruise,,,One of seven cruise lines scheduled for the Great Lakes in 2026.,Active,SRC_0163,2026-09-07
COMP_HAPAG_LLOYD_CRUISES,Hapag-Lloyd Cruises,Cruise company,,Germany,Cruise operator,Expedition cruise,,,Hanseatic Inspiration scheduled in the Great Lakes/St. Lawrence in 2026.,Active,SRC_0163,2026-09-07
COMP_AMERICAN_CRUISE,American Cruise Lines,Cruise company,,United States,Cruise operator,U.S. small-ship cruise,,,Entered Great Lakes market in 2026 with American Patriot.,Active,SRC_0163,2026-09-07
COMP_ST_LAWRENCE_CRUISE,St. Lawrence Cruise Lines,Cruise company,,Canada,Cruise operator,St. Lawrence / Great Lakes small-ship cruise,,,Canadian Empress scheduled in the 2026 Great Lakes/St. Lawrence market.,Active,SRC_0163,2026-09-07
COMP_EUREKA_SHIPPING,Eureka Shipping,Joint venture / vessel owner,,,CSL + SMT Shipping joint venture,Cement carriers,,,Owns Tamarack; CSL manages the vessel through its Canadian division.,Active,SRC_0168,2026-09-07
COMP_SMT_SHIPPING,SMT Shipping,Company,,,Private,Dry bulk; cement shipping,,,Joint-venture partner with CSL in Eureka Shipping.,Active,SRC_0168,2026-09-07
