Vessel ID,Vessel Name,IMO,MMSI,USCG Official Number,Canadian Official Number,National Registry Number,Call Sign,Radio / Other Identifier,Flag,Identifier Status,Verified As Of,Source ID,Notes
VESSEL_00022,Al Shelila,9965423,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00023,Ish (FSU),9035864,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00024,Mraweh,9074638,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00025,Mubaraz,9074626,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00026,Shahamah,9035852,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00027,Umm Al Ashtan,9074652,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00028,Ruwais LNG H2711,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00029,Ruwais LNG H2712,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00030,Ruwais LNG H2713,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00031,Ruwais LNG H2714,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00032,Ruwais LNG H2598,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00033,Ruwais LNG H2599,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00034,Ruwais LNG H2600,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00035,Ruwais LNG H2601,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00036,Al Maryah,9393682,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00037,AWS-Delma,9719408,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00038,AWS-Al Ain,9916812,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00039,AWS-Zakher,9916824,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00040,AWS-Rabdan,9916836,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00041,AWS-Al Salam,9923085,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00042,AWS-Baynounah,9923097,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00043,Meera,1066908,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00044,Dana,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00045,Al Ghadeer,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00046,Rimah,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00047,Umm Al Lulu I,9494204,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00048,Al Samha,9380324,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00049,Bani Yas,9487249,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00050,Diyyinah I,9487251,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00051,Mezaira'a,9487275,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00052,Yamilah-III,9487263,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00053,Navig8 Honor,9556181,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00054,Navig8 Martinez,9482847,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00055,Navig8 Messi,9482859,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00056,Navig8 Montiel,9482861,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00057,Abu Dhabi-III,9489027,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00058,Liwa V,9489039,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00059,Al Bateen,9828376,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00060,Al Falah,9828388,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00061,Al Ruwais,9828405,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00062,Al Khtam,9823534,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00063,Yong Jiang (Gas Yongjiang),1013834,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00064,Min Jiang,1013846,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00065,Al Bayraq,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00066,Alhosn,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00067,Al Aryam,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00068,Al Saad,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00069,Al Muzn,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00070,Al Taair,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00071,Al Sila,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00072,Janana,9034236,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00073,ADNOC L&S molten sulphur newbuild,,,,,,,,IMO pending,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00074,Jarnain,9823546,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00075,Tarif,9828390,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00076,Navig8 Precision,9831294,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00077,Navig8 Prestige,9831309,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00078,Navig8 Perseverance,9853266,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00079,Navig8 Passion,9853278,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00080,Navig8 Promise,9791298,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00081,Navig8 Prosperity,9855496,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00082,Navig8 Pride LHJ,9947366,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00083,Navig8 Wolf,9935301,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00084,Navig8 Providence,9947378,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00085,Leicester,9792266,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00086,Hili,9851830,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00087,Zakum,9851842,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00088,Barakah,9902615,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00089,Hafeet,9928009,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00090,Habshan,9928011,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00091,Arzanah,9928023,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00092,Al Bahyah,9937799,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00093,Navig8 Universe,9489106,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00094,Navig8 Constellation,9489118,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00095,Navig8 Grace,9833656,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00096,Navig8 Gallantry,9833668,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00097,Navig8 Guard,9833670,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00098,Navig8 Guide,9833682,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00099,Navig8 Goal,9853216,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00100,Navig8 Gauntlet,9853228,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00101,Navig8 Gladiator,9853230,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00102,Navig8 Gratitude,9853242,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00103,Navig8 Excel,9973901,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00104,Navig8 Exceed,9973913,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00105,Navig8 Express,9976874,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00106,Navig8 Excellence,9976886,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00107,Navig8 Estelle,9973925,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00108,Navig8 Executive,9973937,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00109,BYD Explorer No.1,9955181,,,,,,,IMO populated,2026-09-07,SRC_0091,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00110,BYD Changzhou,9955076,,,,,,,IMO populated,2026-09-07,SRC_0091,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00111,BYD Hefei,9999565,,,,,,,IMO populated,2026-09-07,SRC_0091,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00112,BYD Zhengzhou,9999577,,,,,,,IMO populated,2026-09-07,SRC_0091,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00113,BYD Shenzhen,9993963,,,,,,,IMO populated,2026-09-07,SRC_0092,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00114,BYD Xi'an,9993975,,,,,,,IMO populated,2026-09-07,SRC_0095,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00115,BYD Changsha,9993949,,,,,,,IMO populated,2026-09-07,SRC_0093,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00116,BYD Jinan,9993951,,,,,,,IMO populated,2026-09-07,SRC_0094,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00117,SINOKOR NIIGATA,9209908,,,,,,Korea,Korea,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00118,MEREDITH VICTORY,9455959,,,,,,Korea,Korea,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00119,KOOKYANG SINGAPORE,9354234,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00120,GENEVA QUEEN,9638642,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00121,Hakata Voyager,9329588,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00122,Vostochny Voyager,9329590,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00123,HongKong Voyager,9402500,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00124,Osaka Voyager,9329576,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00125,NAGOYA TRADER,9517628,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00126,SAWASDEE PACIFIC,9879363,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00127,SAWASDEE ATLANTIC,9879375,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00128,SAWASDEE BALTIC,9886067,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00129,SAWASDEE SUNRISE,9886079,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00130,HOCHIMINH VOYAGER,9532276,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00131,JAKARTA VOYAGER,9532288,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00132,SHANGHAI VOYAGER,9536973,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00133,NINGBO TRADER,9347968,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00134,YOKOHAMA TRADER,9915961,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00135,SURABAYA VOYAGER,9137703,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00136,KOBE TRADER,9915973,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00137,CHENNAI VOYAGER,9153410,,,,,,Panama,Panama,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00138,SENDAI TRADER,9397107,,,,,,Korea,Korea,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00139,QINGDAO TRADER,9915985,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00140,YANGTZE TRADER,9915997,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00141,NO.2 OCEAN PIONEER,9340439,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00142,OCEAN PIONEER,9347152,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00143,SAWASDEE CHITTAGONG,9940758,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00144,SAWASDEE SHANGHAI,9940760,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00145,SAWASDEE XIAMEN,9940772,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00146,SAWASDEE INCHEON,9940784,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00147,SAWASDEE SIRIUS,9943774,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00148,SAWASDEE VEGA,9943786,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00149,SAWASDEE CAPELLA,9943798,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00150,SAWASDEE RIGEL,9943803,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00151,SAWASDEE ALTAIR,9946635,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00152,SAWASDEE SPICA,9946647,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00153,SAWASDEE DENEB,9946659,,,,,,,IMO populated,2026-09-07,SRC_0102,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
