Connection ID,Source Asset ID,Source Asset,Target Entity / Asset ID,Target / Node,Target Type,Mode,Relationship,Corridor ID,Commodity / Traffic,Status,Source ID,Source URL,Notes
ICONN_0017,ASSET085,JAFZA,,Jebel Ali Port,Seaport,Road / Port,Adjacent integrated free-zone / port system,,Containers; manufacturing inputs; re-exports,Active,SRC_0273,https://www.jafza.ae/offerings/,Economic-zone real estate should be queried with the seaport rather than as standalone property.
ICONN_0018,ASSET087,KEZAD economic-zones ecosystem,,Khalifa Port,Seaport,Road / Port,Integrated economic-zone / port system,CORRIDOR_UAE_RAIL,Industrial cargo; containers,Active,SRC_0275,https://www.kezadgroup.com/,
ICONN_0019,ASSET087,KEZAD economic-zones ecosystem,COMP_ETIHAD_RAIL,Etihad Rail,Rail network,Rail,Economic-zone / national rail connectivity,CORRIDOR_UAE_RAIL,Industrial cargo,Active / expanding,SRC_0276,https://www.adportsgroup.com/-/media/sites/adports/investors/2025/downloads/adpg--2025-capital-market-day-consolidated.pdf?rev=-1,
ICONN_0020,ASSET088,KEZAD East Port Said Economic Zone,,East Port Said / Suez Canal system,Port / maritime corridor,Road / Port,Port-linked industrial and logistics zone,CORRIDOR_SUEZ,Industrial cargo; containers,Development,SRC_0281,https://www.adportsgroup.com/-/media/sites/adports/investors/2025/downloads/adpg-earnings-presentation-q3-2025.pdf?rev=-1,
ICONN_0021,ASSET078,Fort Worth rail-served logistics asset,,BNSF Alliance intermodal terminal,Rail terminal,Rail,Rail-served logistics adjacency,CORRIDOR_MIDCONTINENT,Intermodal cargo,Active,SRC_0285,https://stonepeak.com/news/stonepeak-acquires-rail-served-logistics-asset-in-fort-worth-texas,
ICONN_0022,ASSET078,Fort Worth rail-served logistics asset,,Fort Worth Alliance cargo airport,Cargo airport,Air Cargo / Road,Cargo-airport adjacency,CORRIDOR_MIDCONTINENT,Air cargo / logistics,Active,SRC_0285,https://stonepeak.com/news/stonepeak-acquires-rail-served-logistics-asset-in-fort-worth-texas,
ICONN_0023,ASSET078,Fort Worth rail-served logistics asset,,I-35 / NAFTA highway,Road corridor,Road,Direct corridor access,CORRIDOR_MIDCONTINENT,Truck freight,Active,SRC_0285,https://stonepeak.com/news/stonepeak-acquires-rail-served-logistics-asset-in-fort-worth-texas,Links Mexico-Canada trucking corridor.
ICONN_0024,ASSET090,DHL Express Leipzig Global Hub,,Leipzig/Halle Airport (LEJ),Airport,Air Cargo,Located at / operates through,,Express parcels; international air freight,Active,SRC_0294,https://group.dhl.com/en/media-relations/press-releases/2024/dhl-extends-partnership-with-mitteldeutsche-flughafen-ag-until-2053.html,Largest of DHL's three global hubs.
ICONN_0025,ASSET091,DHL Express Hong Kong Central Asia Hub,,Hong Kong International Airport (HKG),Airport,Air Cargo,Located at / operates through,,Express parcels; Asia-Europe / trans-Pacific air cargo,Active,SRC_0295,https://group.dhl.com/en/media-relations/press-releases/2023/dhl-express-opens-newly-expanded-global-hub-in-hong-kong.html,
ICONN_0026,ASSET092,DHL Supply Chain Halle Logistics Center,ASSET090,DHL Express Leipzig Global Hub,Air cargo hub,Road / Air Cargo / Logistics,Proximate logistics feeder / distribution connection,,Contract logistics; express / air cargo,Active,SRC_0316,https://group.dhl.com/en/media-relations/press-releases/2025/dhl-supply-chain-invests-in-climate-neutral-expansion-new-logistics-center-strengthens-leipzig-halle-as-europes-freight-hub.html,
ICONN_0027,ASSET093,DHL Supply Chain SILZ Regional Hub,,King Khalid International Airport (RUH),Airport,Air Cargo / Road,~8 km airport adjacency via bonded corridor,,Imports; exports; e-commerce; regional distribution,Development,SRC_0296,https://group.dhl.com/en/media-relations/press-releases/2025/dhl-supply-chain-to-invest-eur-130-million-in-new-warehouse-at-saudi-arabia.html,
ICONN_0028,ASSET093,DHL Supply Chain SILZ Regional Hub,,Special Integrated Logistics Zone (SILZ),Economic / logistics zone,Logistics / Customs,Anchor-tenant / 26-year land lease,,Bonded logistics; regional distribution,Development,SRC_0296,https://group.dhl.com/en/media-relations/press-releases/2025/dhl-supply-chain-to-invest-eur-130-million-in-new-warehouse-at-saudi-arabia.html,
ICONN_0029,ASSET094,FedEx Memphis World Hub,,Memphis International Airport (MEM),Airport,Air Cargo,Located at / primary world hub,,Express; international and domestic cargo,Active,SRC_0297,https://www.sec.gov/Archives/edgar/data/1048911/000104891126000105/fdx-20260531.htm,
ICONN_0030,ASSET095,FedEx Indianapolis National Hub,,Indianapolis International Airport (IND),Airport,Air Cargo,Located at / national hub,,Express; domestic cargo,Active,SRC_0297,https://www.sec.gov/Archives/edgar/data/1048911/000104891126000105/fdx-20260531.htm,
ICONN_0031,ASSET096,FedEx Delhi Integrated Air Cargo Hub,,Delhi Indira Gandhi International Airport (DEL),Airport,Air Cargo / Road,Located at GMR Cargo City / integrated gateway,,International express; North and East India cargo,Development,SRC_0300,https://newsroom.fedex.com/newsroom/global/fedex-announces-plans-to-develop-new-integrated-air-cargo-hub-at-gmr-cargo-city-delhi-airport,
ICONN_0032,ASSET097,Amazon Air CVG Hub,,Cincinnati/Northern Kentucky International Airport (CVG),Airport,Air Cargo / Road,Located at / flagship air hub,,Amazon parcels; fulfilment replenishment; external logistics traffic,Active,SRC_0305,https://press.aboutamazon.com/2026/8/amazon-celebrates-5-year-milestone-at-its-largest-field-operation,
ICONN_0033,ASSET098,Aramex Healthcare Warehouse - Dubai Logistics City,,Dubai Logistics City / DWC Free Zone,Free zone / logistics zone,Logistics / Customs,Located in / duty-free logistics zone,,Healthcare; pharmaceuticals; medical devices,Active,SRC_0315,https://www.aramex.com/ae/en/best-in-class-logistic-solutions-for-multi-faceted-industries/sciences-and-pharmaceutical-distribution,
ICONN_0034,ASSET098,Aramex Healthcare Warehouse - Dubai Logistics City,,Al Maktoum International Airport (DWC),Airport,Air Cargo / Road,Airport / cargo gateway adjacency,,Healthcare / express / freight,Active,SRC_0315,https://www.aramex.com/ae/en/best-in-class-logistic-solutions-for-multi-faceted-industries/sciences-and-pharmaceutical-distribution,
