ID,2026 Event Date,Original Contract / Decision Date,Customer Country,Customer / Service,Vessel / Program,Transaction / Event Type,New / Used,Quantity,Builder / Seller / Partner,Shipyard / Build Location,Build Country,Industrial Group / Parent,Original Value Low,Original Value High,Currency,USD per Local Unit,USD Value Low,USD Value High,2026 Status / Milestone,Expected Delivery / Completion,Industrial / Strategic Relevance,Source URL
11,2026-06-10,2025-05-01,Philippines,Philippine Coast Guard,40 x 35m fast patrol boats,New-build contract / 2026 delivery program,New,40,OCEA,France + 20 vessels localized in Philippines,France / Philippines,OCEA,438000000,438000000,USD,1,438000000,438000000,Initial deliveries expected in latter 2026; 20 of 40 planned for local constr...,2026 onward,Large coast-guard fleet expansion combines foreign design with local industri...,https://www.navalnews.com/naval-news/2026/02/ocea-to-deliver-first-batch-of-4...
12,2026-06-30,2022-01-01,Philippines,Philippine Navy,Landing Dock LD-603 / two-ship program,Launch / delivery milestone,New,2,PT PAL Indonesia,Surabaya,Indonesia,PT PAL,,,,,,,First of two new landing docks launched/handed over in 2026,Second vessel later in program,Indonesian naval export demonstrates regional amphibious-shipbuilding capabil...,https://www.pal.co.id/bangga-pt-pal-kembali-ekspor-kapal-perang-ke-filipina/
13,2026-06-01,2026-05-01,Malaysia,Malaysian Maritime Enforcement Agency,99m Multi-Purpose Mission Ship – vessel 2,Follow-on new-build order / keel milestone,New,1,DESAN Shipyard,Türkiye,Türkiye,DESAN,,,,,,,Second vessel formally ordered in May 2026; keel laid in June,TBD,Expands Malaysian coast-guard endurance and links Turkish shipbuilding to Sou...,https://www.navalnews.com/naval-news/2026/06/desan-lays-keel-for-second-mpms-...
14,2026-02-20,2026-02-20,Croatia,Ministry of the Interior / maritime border force,37.4m Coastal Patrol Vessel,Tender award / new-build contract,New,1,ISKRA Shipyard / Metal Shark Boats Croatia,Šibenik / Croatia,Croatia,ISKRA,17500000,17500000,EUR,1.1614,20324500,20324500,International tender awarded,Delivery within 28 months,Coast-guard/border-protection procurement with FRONTEX relevance.,https://www.iskra.eu/en/news/iskra-shipyard-coastal-patrol-vessel/
15,2026-05-22,2026-05-22,Italy,Guardia di Finanza,New coast-guard-type vessel class,Tender award / framework,New,17,Intermarine,Italy,Italy,IMMSI / Intermarine,28200000,288000000,EUR,1.1614,32751480,334483200,Two vessels awarded immediately; option for 15 more plus logistics support,TBD,Potential €288m maritime-policing fleet program; combines initial order and s...,https://www.intermarine.it/intermarine-immsi-group-european-tender-awarded-fo...
16,2026-07-02,2026-07-02,Canada,Royal Canadian Mounted Police,Coastal Patrol Vessels,New-build contract,New,3,Ocean Pacific Marine + Camarc Design JV,British Columbia,Canada,OPM / Camarc,74700000,74700000,CAD,0.722674,53983747.800000004,53983747.800000004,Contract awarded for three new coastal patrol vessels,TBD,Federal maritime-security procurement outside the traditional navy/coast-guar...,https://www.canada.ca/en/public-services-procurement/news/2026/06/government-...
17,2026-03-10,2023-02-01,Angola,Angolan Navy,BR71 MK II corvettes,Launch milestone / export shipbuilding program,New,3,ADSB / CMN,Cherbourg (1 & 3); Abu Dhabi (2),France / UAE,EDGE / ADSB / CMN,1000000000,1000000000,EUR,1.1614,1161400000,1161400000,First-of-class NRA Ekuikui II launched in Cherbourg,Program deliveries 2026-2027,Major UAE naval export and technology-transfer program with construction spli...,https://adsb.ae/news/edge-announces-launch-first-class-corvette-angolan-navy
18,2026-02-03,2024-01-01,Kuwait,Kuwait Naval Forces,Al-Dorra-class 62m missile boats,Launch milestone / naval export program,New,,ADSB / EDGE,Abu Dhabi,UAE,EDGE / ADSB,,,,,,,First Al-Dorra-class vessel AL NOUKHITHA launched,Program ongoing,Largest regional naval export program cited by ADSB; strengthens UAE position...,https://adsb.ae/news/adsb-celebrates-30-years-uae-shipbuilding-excellence
19,2026-05-20,2026-05-20,Kuwait,Kuwait Naval Forces / ADSB,Al-Dorra combat systems package,Subsystem contract,New,,Leonardo + ADSB,Abu Dhabi integration,UAE / Italy,Leonardo / EDGE,320000000,320000000,EUR,1.1614,371648000,371648000,Leonardo signed combat-system supply agreement with ADSB,Program ongoing,"Shows the supply-chain layer beneath hull contracts: sensors, combat systems,...",https://www.thenationalnews.com/business/economy/2026/05/20/abu-dhabi-ship-bu...
20,2026-04-24,2019-01-01,Brazil,Brazilian Navy,Tamandaré-class frigates,Commissioning milestone / domestic build,New,4,"Águas Azuis (TKMS, Embraer, Atech)","Itajaí, Santa Catarina",Brazil,TKMS / Embraer / Atech,,,,,,,First frigate Tamandaré (F200) commissioned; MoU opens path to four additiona...,Program ongoing,Brazilian naval industrial localization with potential follow-on expansion.,https://www.tkmsgroup.com/news/article/after-less-than-four-years-of-construc...
21,2026-01-23,2026-01-01,Indonesia,Indonesian Navy,Additional Arrowhead 140 / Red White frigates,Letter of Intent / prospective new-build,New,2,Babcock + PT PAL,Surabaya,Indonesia,Babcock / PT PAL,,,,,,,LoI signed for licences to build two further frigates,Contract expected / under development,Potential expansion of Indonesia's indigenous large-frigate production using ...,https://maritime-executive.com/index.php/article/indonesian-frigate-order-ref...
22,2026-08-13,2026-08-10,Vietnam,Vietnam People's Navy,Indigenous multipurpose frigate,Construction start,New,,Song Thu Corporation,Da Nang,Vietnam,Song Thu,,,,,,,Construction initiated on first indigenous multipurpose frigate,TBD,Signals transition from imported naval platforms toward indigenous major-comb...,https://www.navalnews.com/naval-news/2026/08/vietnam-begins-construction-indi...
