Fleet Research Universe — v1.8,,,,,,,,,,,,
Universe Companies,,Canonical Companies,,Canonical Vessels,,GFS Managed Seed,,,CMA CGM commercial snapshot,GFS commercial snapshot,AD Ports ownership of GFS,Verified
Tier 1,Maritime platform,Noatum Maritime,AD Ports Group,COMP_NOATUM_MARITIME,Canonical,Shipping / marine services fleet portfolio,"AD Ports maritime umbrella; connects feeder, RoRo, bulk and service assets",https://www.adportsgroup.com/en/integrated-clusters/maritime-and-shipping,In progress,,2026-09-07,
Tier 2,RoRo / PCTC,United Global Ro-Ro (UGR),Noatum Maritime / AD Ports,COMP_UGR,Canonical,RoRo fleet,AD Ports vehicle-logistics and corridor relevance,,In progress,14 vessels already seeded,2026-09-07,
Tier 2,RoRo / PCTC,Wallenius Wilhelmsen,,,Research universe,Owned/operated PCTC fleet,Global automotive trade benchmark,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,Höegh Autoliners,,,Research universe,PCTC fleet + newbuilds,Vehicle export / shipyard / alternative-fuel relevance,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,EUKOR,,,Research universe,PCTC fleet,Hyundai/Kia logistics and global vehicle corridors,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,NYK RoRo,NYK Line,,Research universe,PCTC / RoRo fleet,Japanese vehicle-carrier ecosystem,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,MOL RoRo,Mitsui O.S.K. Lines,,Research universe,PCTC / RoRo fleet,Japanese vehicle-carrier ecosystem,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,K Line RoRo,Kawasaki Kisen Kaisha,,Research universe,PCTC / RoRo fleet,Japanese vehicle-carrier ecosystem,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,Hyundai Glovis,,,Research universe,PCTC fleet,Automaker-linked logistics and export corridors,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,Grimaldi Group,,,Research universe,RoRo / RoPax / PCTC fleet,Europe-Med-Africa / Atlantic corridor exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,RoRo / PCTC,Bahri,,COMP_BAHRI,Canonical,RoCon / multipurpose + tanker / bulk portfolio,Saudi strategic shipping / defence-logistics relevance,https://www.bahri.sa/en/,In progress,104 total vessels; 50 VLCCs current corporate fact,2026-09-07,
Tier 2,RoRo / PCTC,Sallaum Lines,,,Research universe,PCTC fleet,Used/new vehicle logistics and Red Sea / Africa exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 2,Ferry / RoRo,P&O Ferries,DP World,COMP_PO_FERRIES,Canonical,RoPax/freight ferry fleet + routes,Direct DP World UK operating link; disruptions and cross-Channel exposure,https://www.poferries.com/en/routes,In progress,,2026-09-07,DP World group relationship now canonical
Tier 2,Ferry,Stena Line,Stena AB,,Research universe,RoPax / ferry fleet,North Sea / Baltic / Irish Sea network resilience,,Queued,,2026-09-07,
Tier 2,Ferry,DFDS,,COMP_DFDS,Canonical,European RoRo/RoPax fleet + routes,European freight and passenger corridor exposure,https://www.dfds.com/,In progress,,2026-09-07,Canonical ferry operator
Tier 2,Ferry,Brittany Ferries,,,Research universe,RoPax fleet,Western Europe / UK-France-Spain corridors,,Queued,,2026-09-07,
Tier 2,Ferry,Tallink Grupp,,,Research universe,RoPax fleet,Baltic Sea infrastructure and disruption relevance,,Queued,,2026-09-07,
Tier 2,Ferry,Viking Line,,,Research universe,RoPax fleet,Baltic ferry system exposure,,Queued,,2026-09-07,
Tier 2,Ferry,BC Ferries,Province-linked public operator,COMP_BC_FERRIES,Canonical,39-ferry coastal network + terminals + reliability,Large integrated coastal ferry system; operational resilience benchmark,https://www.bcferries.com/on-the-ferry/our-fleet,In progress,,2026-09-07,Canonical ferry system/company
Tier 2,Ferry,Washington State Ferries,Washington State DOT,COMP_WSF,Canonical,21-ferry state network + terminals + reliability,Major public ferry network and fleet-renewal benchmark,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,In progress,,2026-09-07,Canonical government ferry system
Tier 2,Ferry,Irish Ferries,Irish Continental Group,,Research universe,RoPax fleet,Irish Sea / UK-EU connectivity,,Queued,,2026-09-07,
Tier 2,Cruise,MSC Cruises,MSC Group,COMP_MSC_CRUISES,Canonical,Cruise fleet + homeports + terminals,Connects cruise shipping to port investment and terminal exposure,,Queued,,2026-09-07,
Tier 2,Cruise,Carnival Corporation & plc,,,Research universe,Multi-brand cruise fleet,Largest cruise ecosystem; global homeport / terminal exposure,,Queued,,2026-09-07,
Tier 2,Cruise,Royal Caribbean Group,,,Research universe,Multi-brand cruise fleet,Global cruise / terminal exposure,,Queued,,2026-09-07,
Tier 2,Cruise,Norwegian Cruise Line Holdings,,,Research universe,Multi-brand cruise fleet,Global cruise / itinerary disruption exposure,,Queued,,2026-09-07,
Tier 2,Cruise,Viking,,COMP_VIKING,Canonical,Ocean/expedition fleet incl. Great Lakes deployment,Cruise / Arctic / expedition relevance,https://www.vikingcruises.com/,In progress,,2026-09-07,Canonical cruise operator with Great Lakes seasonal exposure
Tier 2,Cruise,Disney Cruise Line,The Walt Disney Company,,Research universe,Cruise fleet + newbuilds,Rapid fleet expansion / shipyard / homeport relevance,,Queued,,2026-09-07,
Tier 2,Great Lakes / bulk,CSL Group,,COMP_CSL_GROUP,Canonical,Current Great Lakes + global regional fleet architecture,Great Lakes system; also operates internationally including Australia,https://cslships.com/global-fleet/,In progress,,2026-09-07,Parent group + Canada/Australia/Americas divisions now canonical
Tier 2,Great Lakes / bulk,Algoma Central Corporation,,COMP_ALGOMA,Canonical,Great Lakes lakers + tankers + international self-unloaders,Core Great Lakes cargo system,https://www.algonet.com/fleets/,In progress,,2026-09-07,Canonical company and cross-regional fleet program
Tier 2,Great Lakes / bulk,Interlake Steamship Company,,COMP_INTERLAKE,Canonical,11-vessel U.S. Great Lakes commercial fleet,Core US Great Lakes cargo system,https://interlake-steamship.com/,In progress,,2026-09-07,Great Lakes canonical fleet workstream
Tier 2,Great Lakes / bulk,American Steamship Company,,COMP_ASC,Canonical,Great Lakes self-unloading bulk fleet under Mainstay Maritime,Core US Great Lakes cargo system,https://mainstaymaritime.com/,In progress,,2026-09-07,Canonical company; group relationship to Mainstay retained
Tier 2,Great Lakes / bulk,Fednav,,COMP_FEDNAV,Canonical,Great Lakes/Seaway + global dry-bulk fleet,St Lawrence / Arctic / international bulk corridors,https://www.fednav.com/,In progress,,2026-09-07,Canonical company with global/ice-class exposure
Tier 2,Great Lakes / bulk,Lower Lakes Towing,,COMP_LOWER_LAKES,Canonical,Great Lakes bulk fleet,Canadian / US Great Lakes cargo exposure,https://www.randlog.com/,In progress,,2026-09-07,Canonical company; current ownership/control refresh remains queued
Tier 3,Dry bulk,Oldendorff Carriers,,,Research universe,Owned + chartered dry-bulk fleet,Global commodity corridor exposure,,Queued,,2026-09-07,
Tier 3,Dry bulk,Star Bulk Carriers,,,Research universe,Dry-bulk fleet,Listed bulk owner; commodity/charter-market relevance,,Queued,,2026-09-07,
Tier 3,Dry bulk,Berge Bulk,,,Research universe,Large dry-bulk fleet,Major ore / commodity corridor exposure,,Queued,,2026-09-07,
Tier 3,Dry bulk,Pacific Basin,,,Research universe,Handysize / Supramax fleet,Global minor-bulk and port exposure,,Queued,,2026-09-07,
Tier 3,Dry bulk,Golden Ocean,,,Research universe,Capesize / Panamax fleet,Major dry-bulk benchmark,,Queued,,2026-09-07,
Tier 3,Dry bulk,Genco Shipping & Trading,,,Research universe,Dry-bulk fleet,Listed owner / commodity-corridor exposure,,Queued,,2026-09-07,
Tier 2,Energy shipping,ADNOC Logistics & Services,ADNOC,COMP_ADNOC_LS,Canonical,Shipping + offshore + integrated logistics fleets,Direct UAE strategic shipping exposure,None,In progress,112 shipping vessels; broader fleet 900+ baseline,2026-09-07,
Tier 2,Energy shipping,Navig8,80% ADNOC L&S,COMP_NAVIG8,Canonical,Tanker fleet,ADNOC L&S acquisition and global tanker exposure,None,In progress,32-vessel integrated fleet baseline,2026-09-07,
Tier 2,Energy shipping,Nakilat,,COMP_NAKILAT,Canonical,LNG / LPG fleet + newbuild orderbook,Qatar LNG export system,None,In progress,,2026-09-07,
Tier 2,Energy shipping,Milaha,,COMP_MILAHA,Canonical,Gas / petrochem / offshore fleet,Qatar maritime ecosystem,None,In progress,,2026-09-07,
Tier 2,Energy shipping,bp Shipping,bp,COMP_BP_SHIPPING,Canonical,Oil / LNG / supply vessels; owned/chartered split,Energy-major shipping exposure,None,Queued,48-vessel 2024 baseline,2026-09-07,
Tier 2,Energy shipping,Chevron Shipping,Chevron,COMP_CHEVRON_SHIPPING,Canonical,Crude / LNG / products fleet,Energy-major shipping exposure,None,Queued,,2026-09-07,
Tier 3,Energy shipping,GasLog,,,Research universe,LNG carrier fleet,LNG ownership / charter structure benchmark,,Queued,,2026-09-07,
Tier 3,Energy shipping,Shell Shipping / STASCO,Shell,,Research universe,LNG / tanker / charter exposure,Energy-major shipping and charter-principal mapping,,Queued,,2026-09-07,
Tier 1,Tanker / VLCC,China Merchants Energy Shipping,China Merchants Group,COMP_CMES,Canonical,VLCC + broader tanker fleet; owned/operated/chartered split; newbuild orderbook,One of the largest Chinese crude fleets; Middle East-to-China corridor and STS exposure,https://www.reuters.com/business/energy/chinas-state-shippers-deploy-oil-tankers-outside-gulf-avoid-chokepoints-sources-2026-08-18/,In progress,51 VLCC benchmark; 10 new VLCC orders reported in 2026,2026-09-07,Keep tanker fleet separate from China Merchants port/logistics assets.
Tier 1,Tanker / VLCC,COSCO SHIPPING Energy,COSCO SHIPPING,COMP_COSCO_ENERGY,Canonical,VLCC + product tanker + LNG fleet; owned/operated/chartered split,Links Chinese crude-import security to COSCO corporate/port network,https://www.reuters.com/business/energy/chinas-state-shippers-deploy-oil-tankers-outside-gulf-avoid-chokepoints-sources-2026-08-18/,In progress,41 VLCC benchmark,2026-09-07,Separate from COSCO SHIPPING Lines and COSCO SHIPPING Ports.
Tier 1,Tanker / VLCC,Frontline plc,,COMP_FRONTLINE,Canonical,"VLCC, Suezmax and LR2 fleet including purchases, sales and newbuildings",Large listed tanker owner with rapidly changing fleet count,https://www.sec.gov/Archives/edgar/data/913290/000091957426005942/p15060813_ex-1.htm,In progress,40 VLCC pro-forma after announced transactions,2026-09-07,Ranking snapshots must preserve date because 37/40/41/42 can all be valid under different transaction dates.
Tier 1,Tanker / VLCC,Maran Tankers Management,Angelicoussis Group,COMP_MARAN_TANKERS,Canonical,VLCC fleet + management relationships + newbuilds,Major private Greek tanker fleet and second-hand/newbuild benchmark,https://directory.marinelink.com/ships/companies-maran_tankers_management_inc~2e,Queued,33 VLCC benchmark,2026-09-07,Resolve each IMO and legal owner under Angelicoussis structure.
Tier 1,Tanker / VLCC,Mitsui O.S.K. Lines,,COMP_MOL,Canonical,Operated/owned crude tanker fleet; gas and other energy shipping kept separate,Japanese energy-shipping benchmark and ONE shareholder,https://www.mol.co.jp/en/,Queued,30 operated VLCC benchmark,2026-09-07,Avoid conflating MOL group tanker operations with ONE container fleet.
Tier 1,Tanker / VLCC,DHT Holdings,,COMP_DHT,Canonical,Full VLCC fleet + charter employment + orderbook,Pure-play VLCC company makes ownership/charter analysis comparatively clean,https://www.dhtankers.com/,In progress,23 VLCC benchmark; four 2026 newbuilds delivered,2026-09-07,Populate full IMO register and charter status.
Tier 1,Tanker / VLCC,NYK Line,,COMP_NYK,Canonical,VLCC fleet + broader tanker/LNG/car-carrier portfolios,Japanese energy-shipping benchmark and ONE shareholder,https://www.nyk.com/english/ir/library/result/2025/__icsFiles/afieldfile/2026/05/11/260511_ppt_en.pdf,Queued,22 operated VLCC benchmark; 106 tankers overall Mar 2026,2026-09-07,Segment totals include owned/co-owned and chartered vessels.
Tier 1,Tanker / VLCC,Asyad Shipping,Asyad Group,COMP_ASYAD_SHIPPING,Canonical,"Crude/VLCC, products, LNG, dry bulk and liner fleet",Oman maritime corridor relevance and Hormuz-alternative geography,https://www.asyad.com/maritime/transport/our-fleet,In progress,14 VLCC ranking benchmark; 14 owned crude vessels at end-2025,2026-09-07,Classify crude vessels individually before treating all as VLCC.
Tier 1,Tanker / VLCC,National Iranian Tanker Company,,COMP_NITC,Canonical,Sanctioned/restricted VLCC and tanker fleet,Essential excluded-universe case for sanctions and tradeability analytics,https://www.gosships.com/,Queued,37 VLCC benchmark; excluded from tradeable ranking,2026-09-07,Never remove sanctioned vessels from canonical fleet; restrictions belong in separate table.
Tier 1,Great Lakes / bulk,Canada Steamship Lines,The CSL Group,COMP_CSL_CANADA,Canonical,Great Lakes/St. Lawrence self-unloader and bulk fleet,Core Canadian Great Lakes operator; parent links to global CSL regions,https://cslships.com/global-fleet/,In progress,18 Great Lakes/St. Lawrence vessel staging records in current app branch,2026-09-07,Separate regional operating company/division from CSL Australia and Americas.
Tier 2,Great Lakes / global bulk,CSL Australia,The CSL Group,COMP_CSL_AUSTRALIA,Canonical,Australia/Asia self-unloader and transhipment fleet,Cross-region comparison showing parent group exposure outside Great Lakes,https://cslships.com/global-fleet/,In progress,16 Australia/Asia vessel discovery records,2026-09-07,Keep in same group graph as CSL Canada.
Tier 2,Great Lakes / global bulk,CSL Americas,The CSL Group,COMP_CSL_AMERICAS,Canonical,Americas/Caribbean/Africa regional fleet,Cross-region CSL group fleet exposure,https://cslships.com/global-fleet/,Queued,,2026-09-07,Parent group footprint.
Tier 1,Great Lakes / bulk,Great Lakes Fleet,CN,COMP_GREAT_LAKES_FLEET,Canonical,U.S. Great Lakes self-unloading bulk fleet,Integrated rail-marine iron ore and bulk supply chain,https://www.cn.ca/,In progress,9 vessel identity seeds in current app branch,2026-09-07,CN ownership/system role retained separately from Key Lakes operating records.
Tier 1,Great Lakes / marine,Mainstay Maritime,,COMP_MAINSTAY,Canonical,Great Lakes marine logistics group,"Parent platform for American Steamship, Grand River Navigation and Andrie",https://mainstaymaritime.com/,In progress,,2026-09-07,Group layer is required for vessel/operator ownership graph.
Tier 1,Great Lakes / bulk,Grand River Navigation,Mainstay Maritime,COMP_GRN,Canonical,U.S. Jones Act Great Lakes bulk fleet,Core Mainstay operating company,https://mainstaymaritime.com/,In progress,7 vessel identity seeds,2026-09-07,
Tier 2,Great Lakes / liquid bulk,Andrie,Mainstay Maritime,COMP_ANDRIE,Canonical,Great Lakes tank-barge / liquid bulk operations,Adds liquid-bulk movement to Great Lakes system,https://mainstaymaritime.com/,Queued,,2026-09-07,
Tier 1,Great Lakes / marine,McKeil Marine,,COMP_MCKEIL,Canonical,"Bulk carriers, tankers, tugs, barges and project marine fleet",Great Lakes/St. Lawrence plus East Coast and Arctic footprint,https://www.mckeil.com/,In progress,19 fleet records / staging observations,2026-09-07,Cross-system Canadian marine operator.
Tier 2,Great Lakes / transport,Canadian National Railway / CN,,COMP_CN,Canonical,Rail + marine / Great Lakes Fleet system footprint,Connects ore and bulk marine transport to inland rail network,https://www.cn.ca/,In progress,,2026-09-07,Company-system dependency layer.
Tier 2,Great Lakes / tanker,Algoma Tankers Chartering Limited,Algoma Central Corporation,COMP_ALGOMA_TANKERS,Canonical,Product/chemical tanker operator program,Connects Algoma to Atlantic/East Coast tanker operations,https://www.algonet.com/,In progress,Algoma East Coast / Algoma Acadian current records,2026-09-07,Keep registered owner Fundy Tankers separate from operator/group exposure.
