Evidence ID,Vessel ID,Vessel Name,Evidence Type,Checked As Of,Source ID,Source URL,Claim Supported,Confidence,Freshness,Notes
EVID_00018,VESSEL_00291,Algoma Guardian,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00019,VESSEL_00292,Algoma Harvester,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00020,VESSEL_00293,Algoma Innovator,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00021,VESSEL_00294,Algoma Intrepid,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00022,VESSEL_00295,Algoma Mariner,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00023,VESSEL_00296,Algoma Niagara,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00024,VESSEL_00297,Algoma Sault,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00025,VESSEL_00298,Algoma Strongfield,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00026,VESSEL_00299,Algoma Transport,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00027,VESSEL_00300,Capt. Henry Jackman,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00028,VESSEL_00301,G3 Marquis,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00029,VESSEL_00302,John D Leitch,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00030,VESSEL_00303,Radcliffe R Latimer,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00031,VESSEL_00304,Tim S Dool,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00032,VESSEL_00305,Algonova,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00033,VESSEL_00306,Algoscotia,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00034,VESSEL_00307,Algosea,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00035,VESSEL_00308,Algoterra,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00036,VESSEL_00309,Algotitan,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Government identity evidence from 2023. Algoma's current segment structure is confirmed, but individual current operating status still requires reconciliation."
EVID_00037,VESSEL_00310,Algoma Bear,Fleet / identity evidence,2026-09-07,SRC_0174,https://www.algonet.com/ship/algoma-bear/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Algoma fleet/program evidence with owner/operator separation retained where available.
EVID_00038,VESSEL_00311,Algoma Endeavour,Fleet / identity evidence,2026-09-07,SRC_0175,https://www.algonet.com/ship/algoma-endeavour/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Algoma fleet/program evidence with owner/operator separation retained where available.
EVID_00039,VESSEL_00312,Algoma East Coast,Fleet / identity evidence,2026-09-07,SRC_0172,https://www.algonet.com/wp-content/uploads/2025/04/Algoma-East-Coast_Spec-Sheet.pdf,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Algoma fleet/program evidence with owner/operator separation retained where available.
EVID_00040,VESSEL_00313,Algoma Acadian,Fleet / identity evidence,2026-09-07,SRC_0173,https://www.algonet.com/fleets/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Algoma fleet/program evidence with owner/operator separation retained where available.
EVID_00041,VESSEL_00314,Mark W. Barker,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00042,VESSEL_00315,Paul R. Tregurtha,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00043,VESSEL_00316,James R. Barker,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00044,VESSEL_00317,Mesabi Miner,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00045,VESSEL_00318,Lee A. Tregurtha,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00046,VESSEL_00319,Honorable James L. Oberstar,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00047,VESSEL_00320,Kaye E. Barker,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00048,VESSEL_00321,Herbert C. Jackson,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00049,VESSEL_00322,Dorothy Ann,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00050,VESSEL_00323,Stewart J. Cort,Fleet / identity evidence,2026-09-07,SRC_0156,https://www.interlake-steamship.com/our-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current Interlake fleet membership verified; IMO cross-checked against regulator identity records.
EVID_00051,VESSEL_00324,American Century,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00052,VESSEL_00325,American Courage,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00053,VESSEL_00326,American Integrity,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00054,VESSEL_00327,American Mariner,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00055,VESSEL_00328,American Spirit,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00056,VESSEL_00329,Burns Harbor,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00057,VESSEL_00330,H. Lee White,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00058,VESSEL_00331,Indiana Harbor,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00059,VESSEL_00332,John J Boland,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00060,VESSEL_00333,Sam Laud,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00061,VESSEL_00334,Walter J. McCarthy Jr.,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Regulator identity seed; current individual operating status requires Mainstay/ASC refresh.
EVID_00062,VESSEL_00335,Calumet,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires refresh.
EVID_00063,VESSEL_00336,Defiance,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires refresh.
EVID_00064,VESSEL_00337,Manitowoc,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires refresh.
EVID_00065,VESSEL_00338,Menominee,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires refresh.
EVID_00066,VESSEL_00339,Victory,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires refresh.
EVID_00067,VESSEL_00340,Olive L Moore,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Michigan regulator report shows numeric identifier 2800309, but it fails the IMO checksum. Preserved in the national/official identifier field rather than treated as IMO."
EVID_00068,VESSEL_00341,Ashtabula,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,"Michigan regulator report shows numeric identifier 646730, which is not a valid seven-digit IMO. Preserved as a national/official identifier pending reconciliation."
EVID_00069,VESSEL_00342,Cuyahoga,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00070,VESSEL_00343,Kaministiqua,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00071,VESSEL_00344,Manitoulin,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00072,VESSEL_00345,Michipicoten,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00073,VESSEL_00346,Robert S. Pierson,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00074,VESSEL_00347,Saginaw,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Government identity seed; current operating status requires Lower Lakes refresh.
EVID_00075,VESSEL_00348,Arthur M. Anderson,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00076,VESSEL_00349,Cason J. Callaway,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00077,VESSEL_00350,Edgar B. Speer,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00078,VESSEL_00351,Edwin H. Gott,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00079,VESSEL_00352,Great Republic,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00080,VESSEL_00353,John G. Munson,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00081,VESSEL_00354,Philip R. Clarke,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00082,VESSEL_00355,Presque Isle,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00083,VESSEL_00356,Roger Blough,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Michigan regulator identifies Key Lakes as operator; CN confirms the current integrated Great Lakes Fleet role. Current individual vessel activity still requires refresh.
EVID_00084,VESSEL_00357,Badger,Fleet / identity evidence,2026-09-07,SRC_0167,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/WRD/Ballast-Water/2023-report.pdf,"Vessel identity, company/fleet association and principal particulars",High,Historical / verify current,Great Lakes passenger-vessel identity; bridges the ferry and regional-system layers.
EVID_00085,VESSEL_00358,Florence Spirit,Fleet / identity evidence,2026-09-07,SRC_0177,https://mckeil.com/our-fleet/florence-spirit/,"Vessel identity, company/fleet association and principal particulars",High,Current,McKeil official profile provides IMO 9314600 and Canadian Official Number 839979.
