Route ID,System ID,Route Name,Origin Terminal ID,Origin Terminal,Destination Terminal ID,Destination Terminal,Country 1,Country 2,Cross-Border,Service Type,Vehicle / Freight,Typical Duration,Frequency / Cadence,Seasonality,Reservation / Booking,Route Status,Intermediate Stops / Corridor Notes,Source URL
FERRY_ROUTE_0012,FERRY_SYS_0004,North Sydney - Port aux Basques,FERRY_TERM_0021,North Sydney,FERRY_TERM_0022,Port aux Basques,Canada,Canada,No,Ro-Pax / commercial ferry,Yes,Approx 7 hours,Daily,Year-round,Bookable,Active,,https://www.marineatlantic.ca/sailing-information/sailing-routes
FERRY_ROUTE_0013,FERRY_SYS_0004,North Sydney - Argentia,FERRY_TERM_0021,North Sydney,FERRY_TERM_0023,Argentia,Canada,Canada,No,Ro-Pax / commercial ferry,Yes,Approx 16.5 hours,Up to 3 times weekly,Seasonal,Bookable,Active,,https://www.marineatlantic.ca/sailing-information/sailing-routes
FERRY_ROUTE_0014,FERRY_SYS_0005,Dover - Calais,FERRY_TERM_0024,Dover,FERRY_TERM_0025,Calais,United Kingdom,France,Yes,Ro-Pax / freight ferry,Yes,,High frequency,Year-round,Bookable,Active,Critical UK-EU road-freight corridor.,https://www.poferries.com/en/routes
FERRY_ROUTE_0015,FERRY_SYS_0005,Hull - Rotterdam,FERRY_TERM_0026,Hull,FERRY_TERM_0027,Rotterdam,United Kingdom,Netherlands,Yes,Overnight Ro-Pax,Yes,,Daily / scheduled,Year-round,Bookable,Active,,https://www.poferries.com/en/routes
FERRY_ROUTE_0016,FERRY_SYS_0005,Cairnryan - Larne,FERRY_TERM_0028,Cairnryan,FERRY_TERM_0029,Larne,United Kingdom,United Kingdom,No,Ro-Pax / freight ferry,Yes,,Multiple daily,Year-round,Bookable,Active,,https://www.poferries.com/en/routes
FERRY_ROUTE_0017,FERRY_SYS_0006,Dunkirk - Dover,FERRY_TERM_0030,Dunkirk,FERRY_TERM_0031,Dover,France,United Kingdom,Yes,Ro-Pax / vehicle ferry,Yes,,High frequency,Year-round,Bookable,Active,,https://www.dfds.com/en/passenger-ferries/ferry-crossings
FERRY_ROUTE_0018,FERRY_SYS_0006,Amsterdam (IJmuiden) - Newcastle,FERRY_TERM_0032,IJmuiden,FERRY_TERM_0033,Newcastle,Netherlands,United Kingdom,Yes,Overnight cruise ferry / Ro-Pax,Yes,,Daily / scheduled,Year-round,Bookable,Active,,https://www.dfds.com/en/passenger-ferries/ferry-crossings
FERRY_ROUTE_0019,FERRY_SYS_0006,Rosslare - Dunkirk,FERRY_TERM_0034,Rosslare,FERRY_TERM_0030,Dunkirk,Ireland,France,Yes,Overnight Ro-Pax / freight ferry,Yes,,Scheduled,Year-round,Bookable,Active,,https://www.dfds.com/en/passenger-ferries/ferry-crossings
FERRY_ROUTE_0020,FERRY_SYS_0007,Osaka - Beppu,FERRY_TERM_0035,Osaka,FERRY_TERM_0036,Beppu,Japan,Japan,No,Overnight Ro-Pax,Yes,~11h50,Daily,Year-round,Bookable,Active,,https://www.ferry-sunflower.co.jp/en/route/osaka-beppu/time/
FERRY_ROUTE_0021,FERRY_SYS_0007,Osaka - Shibushi,FERRY_TERM_0035,Osaka,FERRY_TERM_0037,Shibushi,Japan,Japan,No,Overnight Ro-Pax,Yes,10-15h range,Daily,Year-round,Bookable,Active,,https://www.ferry-sunflower.co.jp/en/
FERRY_ROUTE_0022,FERRY_SYS_0007,Kobe - Oita,FERRY_TERM_0038,Kobe,FERRY_TERM_0039,Oita,Japan,Japan,No,Overnight Ro-Pax,Yes,10-15h range,Daily,Year-round,Bookable,Active,,https://www.ferry-sunflower.co.jp/en/
FERRY_ROUTE_0023,FERRY_SYS_0008,Manila - Cebu,FERRY_TERM_0040,Manila,FERRY_TERM_0041,Cebu,Philippines,Philippines,No,Inter-island passenger / cargo ferry,Yes,,Scheduled,Year-round,Bookable,Active,,https://2go.com.ph/travel/book/sailing-schedule/
FERRY_ROUTE_0024,FERRY_SYS_0008,Batangas - Cebu,FERRY_TERM_0042,Batangas,FERRY_TERM_0041,Cebu,Philippines,Philippines,No,Inter-island passenger / cargo ferry,Yes,,Weekly,Year-round,Bookable,Active,New direct route launched in 2026.,https://2go.com.ph/new-route-alert-2go-travel-launches-batangas-cebu-this-july/
FERRY_ROUTE_0025,FERRY_SYS_0011,Aqaba - Nuweiba,FERRY_TERM_0043,Aqaba,FERRY_TERM_0044,Nuweiba,Jordan,Egypt,Yes,Ro-Pax / freight ferry,Yes,~3 hours,Daily,Year-round,Bookable / documents required,Active,"Passenger, vehicle, trucks and refrigerated/general cargo.",https://cms.abmaritime.com.jo/node/34
FERRY_ROUTE_0026,FERRY_SYS_0011,Aqaba - Taba,FERRY_TERM_0043,Aqaba,FERRY_TERM_0045,Taba,Jordan,Egypt,Yes,Passenger / tourist ferry,Limited,~45-60 min,Weekly schedule,Year-round / schedule driven,Bookable,Active,,https://cms.abmaritime.com.jo/ar/node/58
FERRY_ROUTE_0027,FERRY_SYS_0012,Cape Jervis - Penneshaw,FERRY_TERM_0046,Cape Jervis,FERRY_TERM_0047,Penneshaw,Australia,Australia,No,Car/passenger Ro-Ro catamaran,Yes,~45 minutes,Up to 12 departures/day current; higher planned with new fleet,Year-round,Bookable,Active / transition,Freight/fuel sailings can restrict passenger capacity.,https://www.sealink.com.au/kangaroo-island/timetable/
FERRY_ROUTE_0028,FERRY_SYS_0013,Auckland - Waiheke,FERRY_TERM_0048,Downtown Auckland,FERRY_TERM_0049,Matiatia / Waiheke Island,New Zealand,New Zealand,No,High-speed passenger ferry,No,,High frequency,Year-round,Bookable / walk-up variants,Active,Commuter and tourism route.,https://www.fullers.co.nz/timetables-and-fares/
FERRY_ROUTE_0029,FERRY_SYS_0013,Auckland - Rangitoto,FERRY_TERM_0048,Downtown Auckland,FERRY_TERM_0050,Rangitoto Island,New Zealand,New Zealand,No,Passenger ferry,No,~25 minutes,Scheduled,Year-round except stated holidays,Bookings essential,Active,,https://www.fullers.co.nz/destinations-and-experiences/destinations/rangitoto-island/
FERRY_ROUTE_0030,FERRY_SYS_0001,Route 4: Swartz Bay – Fulford Harbour,FERRY_TERM_0002,Victoria (Swartz Bay),FERRY_TERM_0082,Salt Spring Island (Fulford Harbour),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0031,FERRY_SYS_0001,Route 5: Swartz Bay – Southern Gulf Islands,FERRY_TERM_0002,Victoria (Swartz Bay),FERRY_TERM_0070,Mayne Island (Village Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0032,FERRY_SYS_0001,Route 6: Crofton – Vesuvius Bay,FERRY_TERM_0061,Crofton,FERRY_TERM_0084,Salt Spring Island (Vesuvius Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0033,FERRY_SYS_0001,Route 7: Earls Cove – Saltery Bay,FERRY_TERM_0087,Sunshine Coast (Earls Cove),FERRY_TERM_0078,Powell River (Saltery Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0034,FERRY_SYS_0001,Route 8: Horseshoe Bay – Bowen Island,FERRY_TERM_0004,Vancouver (Horseshoe Bay),FERRY_TERM_0053,Bowen Island (Snug Cove),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0035,FERRY_SYS_0001,Route 9: Tsawwassen – Southern Gulf Islands,FERRY_TERM_0001,Vancouver (Tsawwassen),FERRY_TERM_0065,Galiano Island (Sturdies Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0036,FERRY_SYS_0001,Route 11: Prince Rupert – Skidegate,FERRY_TERM_0007,Prince Rupert,FERRY_TERM_0066,Graham Island (Skidegate),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0037,FERRY_SYS_0001,Route 12: Brentwood Bay – Mill Bay,FERRY_TERM_0054,Brentwood Bay,FERRY_TERM_0071,Mill Bay,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0038,FERRY_SYS_0001,Route 17: Comox – Powell River,FERRY_TERM_0058,Comox (Little River),FERRY_TERM_0079,Powell River (Westview),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0039,FERRY_SYS_0001,Route 18: Powell River – Texada,FERRY_TERM_0079,Powell River (Westview),FERRY_TERM_0089,Texada Island (Blubber Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0040,FERRY_SYS_0001,Route 19: Gabriola – Nanaimo Harbour,FERRY_TERM_0064,Gabriola Island (Descanso Bay),FERRY_TERM_0073,Nanaimo Harbour,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0041,FERRY_SYS_0001,Route 20: Chemainus – Penelakut – Thetis,FERRY_TERM_0057,Chemainus,FERRY_TERM_0076,Penelakut Island (Telegraph Harbour),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0042,FERRY_SYS_0001,Route 21: Buckley Bay – Denman West,FERRY_TERM_0055,Buckley Bay,FERRY_TERM_0063,Denman Island West,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0043,FERRY_SYS_0001,Route 22: Denman East – Hornby,FERRY_TERM_0062,Denman Island East (Gravelly Bay),FERRY_TERM_0067,Hornby Island (Shingle Spit),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0044,FERRY_SYS_0001,Route 23: Campbell River – Quadra,FERRY_TERM_0056,Campbell River,FERRY_TERM_0081,Quadra Island (Quathiaski Cove),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0045,FERRY_SYS_0001,Route 24: Quadra – Cortes,FERRY_TERM_0080,Quadra Island (Heriot Bay),FERRY_TERM_0060,Cortes Island (Whaletown),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0046,FERRY_SYS_0001,Route 25: Port McNeill – Alert Bay – Sointula,FERRY_TERM_0077,Port McNeill,FERRY_TERM_0059,Cormorant Island (Alert Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0047,FERRY_SYS_0001,Route 26: Skidegate – Alliford Bay,FERRY_TERM_0066,Graham Island (Skidegate),FERRY_TERM_0072,Moresby Island (Alliford Bay),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0048,FERRY_SYS_0001,Route 28: Port Hardy – Bella Coola,FERRY_TERM_0006,Port Hardy (Bear Cove),FERRY_TERM_0052,Bella Coola,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0049,FERRY_SYS_0001,Route 28A: Central Coast Connector,FERRY_TERM_0051,Bella Bella (McLoughlin Bay),FERRY_TERM_0052,Bella Coola,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0050,FERRY_SYS_0001,Route 30: Tsawwassen – Duke Point,FERRY_TERM_0001,Vancouver (Tsawwassen),FERRY_TERM_0003,Nanaimo (Duke Point),Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0051,FERRY_SYS_0002,Mukilteo – Clinton,FERRY_TERM_0094,Mukilteo,FERRY_TERM_0091,Clinton,United States,United States,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0052,FERRY_SYS_0002,Fauntleroy – Vashon – Southworth,FERRY_TERM_0092,Fauntleroy,FERRY_TERM_0100,Vashon,United States,United States,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0053,FERRY_SYS_0002,Point Defiance – Tahlequah,FERRY_TERM_0096,Point Defiance,FERRY_TERM_0099,Tahlequah,United States,United States,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0054,FERRY_SYS_0002,Anacortes – Lopez – Orcas – Friday Harbor,FERRY_TERM_0015,Anacortes,FERRY_TERM_0093,Lopez,United States,United States,No,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Year-round / timetable driven,Bookable / operator rules,Active,,
FERRY_ROUTE_0055,FERRY_SYS_0002,"Anacortes – Sidney, BC",FERRY_TERM_0015,Anacortes,FERRY_TERM_0101,"Sidney, BC",United States,Canada,Yes,Ro-Pax / vehicle ferry,Yes,,Scheduled / multiple daily where applicable,Suspended,Unavailable,Suspended,,
