Coverage ID,Company ID,Dataset,Known Total,Individual Records Captured,Capture %,Coverage Status,Definition / Caveat,Last Verified,Priority,Source ID
COV_0015,COMP_GFS_SHIP_MGMT,Published managed / in-house fleet,,16,,Partial / official page subset,"Official site says 30+ in-house vessels and >120,000 TEU under management; public container-fleet page currently exposes 16 named container vessels.",2026-09-07,High,SRC_0180
COV_0016,COMP_CMA_CGM,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0191
COV_0017,COMP_MSC,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0192
COV_0018,COMP_MAERSK,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0193
COV_0019,COMP_COSCO_LINES,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0194
COV_0020,COMP_EVERGREEN,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0195
COV_0021,COMP_HAPAG_LLOYD,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0196
COV_0022,COMP_ONE,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0197
COV_0023,COMP_YANG_MING,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0198
COV_0024,COMP_HMM,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0199
COV_0025,COMP_PIL,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0200
COV_0026,COMP_WAN_HAI,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0201
COV_0027,COMP_ZIM,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0202
COV_0028,COMP_UNIFEEDER,Current / recent carrier schedule seed,,4,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0203
COV_0029,COMP_SEALEAD,Current / recent carrier schedule seed,,4,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0204
COV_0030,COMP_ESL,Current / recent carrier schedule seed,,4,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0205
COV_0031,COMP_XPRESS,Current / recent carrier schedule seed,,4,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0206
COV_0032,COMP_GFS,Current / recent carrier schedule seed,,5,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0207
COV_0033,COMP_SAFEEN_FEEDERS,Current / recent carrier schedule seed,,4,,Deployment sample — not fleet total,Observed scheduled vessels only. Do not use this sample as the carrier's fleet-size denominator or infer ownership from schedule appearance.,2026-09-07,High,SRC_0208
COV_0034,COMP_CSL_CANADA,Great Lakes / St. Lawrence current regional fleet,17,17,1,Complete current regional fleet seed,All 17 current CSL Canada regional vessels captured with IMO. Ferbec belongs to the regional division but cannot transit the Great Lakes locks.,2026-09-07,High,SRC_0153
COV_0035,COMP_CSL_AUSTRALIA,Australia / Asia current regional fleet,15,0,0,Fully named in staging,All 15 current regional names captured in Global Vessel Staging; IMO/MMSI enrichment pending.,2026-09-07,High,SRC_0153
COV_0036,COMP_INTERLAKE,Current operating fleet,10,10,1,Complete current operating fleet seed,Ten current operating entries captured; SS John Sherwin is listed separately by Interlake and should be treated as a separate status/research question.,2026-09-07,High,SRC_0156
COV_0037,COMP_ALGOMA,Great Lakes / tanker identity seed,,23,,Partial / mixed freshness,Current corporate segment structure plus 2023 regulator identities and 2024-25 deliveries. Reconcile individual current status before declaring a complete active fleet.,2026-09-07,High,SRC_0155
COV_0038,COMP_MCKEIL,Current public fleet names,,1,,Staging-rich / identity-poor,Current fleet names staged; Florence Spirit promoted with IMO and Canadian Official Number.,2026-09-07,High,SRC_0176
COV_0039,COMP_ASC,Great Lakes vessel identity seed,,11,,Historical identity seed,2023 regulator identities captured; current Mainstay/ASC operating status requires refresh.,2026-09-07,Medium,SRC_0167
COV_0040,COMP_GRN,Great Lakes vessel identity seed,,7,,Historical identity seed,Five valid IMO records plus two regulator numeric identifiers retained outside the IMO field pending reconciliation.,2026-09-07,Medium,SRC_0167
COV_0041,COMP_LOWER_LAKES,Great Lakes vessel identity seed,,6,,Historical identity seed,2023 regulator identities captured; current operating status requires refresh.,2026-09-07,Medium,SRC_0167
COV_0042,COMP_GREAT_LAKES_FLEET,Great Lakes Fleet / Key Lakes identity seed,,9,,Historical identities + current system role,CN confirms current integrated Great Lakes Fleet iron-ore role; individual vessel activity is pending refresh.,2026-09-07,High,SRC_0178
COV_0043,COMP_DHL_EXPRESS,Air network portfolio,>275,0,,Aggregate network captured; tail-level fleet pending,"Dedicated-aircraft total and network structure are current, but aircraft identities/operators/registrations are not yet resolved.",2026-09-07,High,SRC_0290
COV_0044,COMP_FEDERAL_EXPRESS,Aircraft type portfolio,700,0,,Type-level complete / tail-level pending,All 700 aircraft captured by aircraft type; tail registrations and individual operator/ownership evidence are not yet modeled.,2026-09-07,High,SRC_0297
COV_0045,COMP_AMAZON_AIR,Air network portfolio,100+,22,,Operator relationship seed,"Amazon reports 100+ network aircraft; 22 B737-800 cargo aircraft operated by Sun Country are explicitly identified as a current operator block, not as complete fleet capture.",2026-09-07,High,SRC_0307
COV_0046,COMP_FEDEX_FREIGHT,LTL terminal / road network,~355 terminals,0,,Network-summary seed,Terminal and vehicle totals captured; individual terminal and tractor identities are out of scope for this first pass.,2026-09-07,Medium,SRC_0299
COV_0047,COMP_ARAMEX,Warehouse / logistics network,60+ facilities,1,,Network-summary + facility seed,Global warehouse scale is captured; one current Dubai healthcare facility is promoted as a canonical asset.,2026-09-07,High,SRC_0310
