Carrier Deployment Seeds — IMO-Level Service Evidence,,,,,,,,,,,,,,,,,,,,,
Deployment Observations,,Unique IMOs,,Carriers,,Canonical Vessel Links,,,,,,,,,,,,Carrier,Seed Vessels,Company ID,Source ID
DEP_00006,COMP_MSC,MSC,MSCU,MSC UTMOST VIII,9302621,Carrier schedule / service deployment,Sines,Caucedo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0192,https://www.fluentcargo.com/carriers/scac/MSCU,2026-09-07,VESSEL_00190,,Wan Hai,5,COMP_WAN_HAI,SRC_0201
DEP_00007,COMP_MSC,MSC,MSCU,MSC TARA III,9259381,Carrier schedule / service deployment,Shanghai,Ningbo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0192,https://www.fluentcargo.com/carriers/scac/MSCU,2026-09-07,VESSEL_00191,,ZIM,5,COMP_ZIM,SRC_0202
DEP_00008,COMP_MSC,MSC,MSCU,MSC KAYLA,9242637,Carrier schedule / service deployment,Antwerp,St Petersburg,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0192,https://www.fluentcargo.com/carriers/scac/MSCU,2026-09-07,VESSEL_00192,,Unifeeder,4,COMP_UNIFEEDER,SRC_0203
DEP_00009,COMP_MSC,MSC,MSCU,MSC JENNY II,9000742,Carrier schedule / service deployment,Gioia Tauro,Piraeus,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0192,https://www.fluentcargo.com/carriers/scac/MSCU,2026-09-07,VESSEL_00193,,SeaLead,4,COMP_SEALEAD,SRC_0204
DEP_00010,COMP_MSC,MSC,MSCU,MSC SHANGHAI V,9231822,Carrier schedule / service deployment,Tekirdag,Piraeus,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0192,https://www.fluentcargo.com/carriers/scac/MSCU,2026-09-07,VESSEL_00194,,Emirates Shipping Line,4,COMP_ESL,SRC_0205
DEP_00011,COMP_MAERSK,Maersk,MAEU,MAERSK SANA,9289922,Carrier schedule / service deployment,Busan,Lazaro Cardenas,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0193,https://www.fluentcargo.com/carriers/scac/MAEU,2026-09-07,VESSEL_00195,,X-Press Feeders,4,COMP_XPRESS,SRC_0206
DEP_00012,COMP_MAERSK,Maersk,MAEU,MAERSK STOCKHOLM,9352042,Carrier schedule / service deployment,Tanjung Pelepas,Hong Kong,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0193,https://www.fluentcargo.com/carriers/scac/MAEU,2026-09-07,VESSEL_00196,,Global Feeder Shipping,5,COMP_GFS,SRC_0207
DEP_00013,COMP_MAERSK,Maersk,MAEU,ADRIAN MAERSK,9948815,Carrier schedule / service deployment,Port Said,Suez Canal,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0193,https://www.fluentcargo.com/carriers/scac/MAEU,2026-09-07,VESSEL_00197,,SAFEEN Feeders,4,COMP_SAFEEN_FEEDERS,SRC_0208
DEP_00014,COMP_MAERSK,Maersk,MAEU,BSG BONAIRE,9303766,Carrier schedule / service deployment,Algeciras,Livorno,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0193,https://www.fluentcargo.com/carriers/scac/MAEU,2026-09-07,VESSEL_00198,,,,,
DEP_00015,COMP_MAERSK,Maersk,MAEU,AS SIMONE,9813814,Carrier schedule / service deployment,Busan,Moji,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0193,https://www.fluentcargo.com/carriers/scac/MAEU,2026-09-07,VESSEL_00199,,,,,
DEP_00016,COMP_COSCO_LINES,COSCO,COSU,XIN FEI ZHOU,9337937,Carrier schedule / service deployment,Xiamen,Hong Kong,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0194,https://www.fluentcargo.com/carriers/scac/COSU,2026-09-07,VESSEL_00200,,,,,
DEP_00017,COMP_COSCO_LINES,COSCO,COSU,XIN TAI CANG,9320465,Carrier schedule / service deployment,Singapore,Surabaya,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0194,https://www.fluentcargo.com/carriers/scac/COSU,2026-09-07,VESSEL_00201,,,,,
DEP_00018,COMP_COSCO_LINES,COSCO,COSU,SEASMILE,9632820,Carrier schedule / service deployment,Hong Kong,Yantian,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0194,https://www.fluentcargo.com/carriers/scac/COSU,2026-09-07,VESSEL_00202,,,,,
DEP_00019,COMP_COSCO_LINES,COSCO,COSU,HANSA BREITENBURG,9155391,Carrier schedule / service deployment,Nansha,Laem Chabang,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0194,https://www.fluentcargo.com/carriers/scac/COSU,2026-09-07,VESSEL_00203,,,,,
DEP_00020,COMP_COSCO_LINES,COSCO,COSU,SMC COLUMBUS,9961556,Carrier schedule / service deployment,Qingdao,Yokohama,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0194,https://www.fluentcargo.com/carriers/scac/COSU,2026-09-07,VESSEL_00204,,,,,
DEP_00021,COMP_EVERGREEN,Evergreen,EGLV,EVER FAR,9850862,Carrier schedule / service deployment,Ningbo,Yantian,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0195,https://www.fluentcargo.com/carriers/scac/EGLV,2026-09-07,VESSEL_00205,,,,,
DEP_00022,COMP_EVERGREEN,Evergreen,EGLV,EVER BEFIT,9784128,Carrier schedule / service deployment,Taipei,Tokyo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0195,https://www.fluentcargo.com/carriers/scac/EGLV,2026-09-07,VESSEL_00206,,,,,
DEP_00023,COMP_EVERGREEN,Evergreen,EGLV,EVER LINKING,9629043,Carrier schedule / service deployment,Ningbo,Los Angeles,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0195,https://www.fluentcargo.com/carriers/scac/EGLV,2026-09-07,VESSEL_00207,,,,,
DEP_00024,COMP_EVERGREEN,Evergreen,EGLV,EVER MEMO,9935272,Carrier schedule / service deployment,Laem Chabang,Vung Tau,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0195,https://www.fluentcargo.com/carriers/scac/EGLV,2026-09-07,VESSEL_00208,,,,,
DEP_00025,COMP_EVERGREEN,Evergreen,EGLV,NORTHERN PRACTISE,9450301,Carrier schedule / service deployment,Singapore,Port Klang,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0195,https://www.fluentcargo.com/carriers/scac/EGLV,2026-09-07,VESSEL_00209,,,,,
DEP_00026,COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,VALPARAISO EXPRESS,9777589,Carrier schedule / service deployment,Antwerp,Caucedo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0196,https://www.fluentcargo.com/carriers/scac/HLCU,2026-09-07,VESSEL_00210,,,,,
DEP_00027,COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,SALERNO EXPRESS,9439761,Carrier schedule / service deployment,Singapore,Mombasa,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0196,https://www.fluentcargo.com/carriers/scac/HLCU,2026-09-07,VESSEL_00211,,,,,
DEP_00028,COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,CARTAGENA EXPRESS,9777618,Carrier schedule / service deployment,Rotterdam,London Gateway,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0196,https://www.fluentcargo.com/carriers/scac/HLCU,2026-09-07,VESSEL_00212,,,,,
DEP_00029,COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,DAMIETTA EXPRESS,9543108,Carrier schedule / service deployment,Tanger Med,Singapore,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0196,https://www.fluentcargo.com/carriers/scac/HLCU,2026-09-07,VESSEL_00213,,,,,
DEP_00030,COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,AL NASRIYAH,9708849,Carrier schedule / service deployment,Ningbo,Shanghai,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0196,https://www.fluentcargo.com/carriers/scac/HLCU,2026-09-07,VESSEL_00214,,,,,
DEP_00031,COMP_ONE,ONE,ONEY,NYK FUJI,9482938,Carrier schedule / service deployment,Tokyo,Yokohama,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0197,https://www.fluentcargo.com/carriers/scac/ONEY,2026-09-07,VESSEL_00215,,,,,
DEP_00032,COMP_ONE,ONE,ONEY,ONE SPHERE,9975624,Carrier schedule / service deployment,Busan,Manzanillo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0197,https://www.fluentcargo.com/carriers/scac/ONEY,2026-09-07,VESSEL_00216,,,,,
DEP_00033,COMP_ONE,ONE,ONEY,NYK VENUS,9312793,Carrier schedule / service deployment,Singapore,Laem Chabang,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0197,https://www.fluentcargo.com/carriers/scac/ONEY,2026-09-07,VESSEL_00217,,,,,
DEP_00034,COMP_ONE,ONE,ONEY,ONE MODERN,9475636,Carrier schedule / service deployment,Busan,Vancouver,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0197,https://www.fluentcargo.com/carriers/scac/ONEY,2026-09-07,VESSEL_00218,,,,,
DEP_00035,COMP_ONE,ONE,ONEY,ONE MILLAU,9706736,Carrier schedule / service deployment,Busan,Kaohsiung,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0197,https://www.fluentcargo.com/carriers/scac/ONEY,2026-09-07,VESSEL_00219,,,,,
DEP_00036,COMP_YANG_MING,Yang Ming,YMLU,IBN AL ABBAR,9194490,Carrier schedule / service deployment,Keelung,Taichung,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0198,https://www.fluentcargo.com/carriers/scac/YMLU,2026-09-07,VESSEL_00220,,,,,
DEP_00037,COMP_YANG_MING,Yang Ming,YMLU,YM CAPACITY,9864540,Carrier schedule / service deployment,Shanghai,Ningbo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0198,https://www.fluentcargo.com/carriers/scac/YMLU,2026-09-07,VESSEL_00221,,,,,
DEP_00038,COMP_YANG_MING,Yang Ming,YMLU,YM INCEPTION,9319155,Carrier schedule / service deployment,Kaohsiung,Taichung,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0198,https://www.fluentcargo.com/carriers/scac/YMLU,2026-09-07,VESSEL_00222,,,,,
DEP_00039,COMP_YANG_MING,Yang Ming,YMLU,YM EXCELLENCE,9496616,Carrier schedule / service deployment,Shekou,Singapore,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0198,https://www.fluentcargo.com/carriers/scac/YMLU,2026-09-07,VESSEL_00223,,,,,
DEP_00040,COMP_YANG_MING,Yang Ming,YMLU,YM IMMENSE,9319131,Carrier schedule / service deployment,Laem Chabang,Ho Chi Minh City,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0198,https://www.fluentcargo.com/carriers/scac/YMLU,2026-09-07,VESSEL_00224,,,,,
DEP_00041,COMP_HMM,HMM,HDMU,HMM VANCOUVER,9463085,Carrier schedule / service deployment,Ningbo,Shanghai,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0199,https://www.fluentcargo.com/carriers/scac/HDMU,2026-09-07,VESSEL_00225,,,,,
DEP_00042,COMP_HMM,HMM,HDMU,HMM EMERALD,9944493,Carrier schedule / service deployment,Shanghai,Ningbo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0199,https://www.fluentcargo.com/carriers/scac/HDMU,2026-09-07,VESSEL_00226,,,,,
DEP_00043,COMP_HMM,HMM,HDMU,HMM HARMONY,9981142,Carrier schedule / service deployment,Ningbo,Ho Chi Minh City,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0199,https://www.fluentcargo.com/carriers/scac/HDMU,2026-09-07,VESSEL_00227,,,,,
DEP_00044,COMP_HMM,HMM,HDMU,SKY RAINBOW,9925722,Carrier schedule / service deployment,Ho Chi Minh City,Incheon,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0199,https://www.fluentcargo.com/carriers/scac/HDMU,2026-09-07,VESSEL_00228,,,,,
DEP_00045,COMP_HMM,HMM,HDMU,HMM SKY,9976599,Carrier schedule / service deployment,Busan,Shanghai,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0199,https://www.fluentcargo.com/carriers/scac/HDMU,2026-09-07,VESSEL_00229,,,,,
DEP_00046,COMP_PIL,PIL,PCIU,KOTA SANTOS,9293765,Carrier schedule / service deployment,Nansha,Shekou,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0200,https://www.fluentcargo.com/carriers/scac/PCIU,2026-09-07,VESSEL_00230,,,,,
DEP_00047,COMP_PIL,PIL,PCIU,KOTA SABAS,9645451,Carrier schedule / service deployment,Ningbo,Nansha,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0200,https://www.fluentcargo.com/carriers/scac/PCIU,2026-09-07,VESSEL_00231,,,,,
DEP_00048,COMP_PIL,PIL,PCIU,KOTA GAYA,9616802,Carrier schedule / service deployment,Shanghai,Singapore,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0200,https://www.fluentcargo.com/carriers/scac/PCIU,2026-09-07,VESSEL_00232,,,,,
DEP_00049,COMP_PIL,PIL,PCIU,SINAR PANGANDARAN,1033779,Carrier schedule / service deployment,Singapore,Kuantan,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0200,https://www.fluentcargo.com/carriers/scac/PCIU,2026-09-07,VESSEL_00233,,,,,
DEP_00050,COMP_PIL,PIL,PCIU,KOTA SEMPENA,9681273,Carrier schedule / service deployment,Shanghai,Ningbo,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0200,https://www.fluentcargo.com/carriers/scac/PCIU,2026-09-07,VESSEL_00234,,,,,
DEP_00051,COMP_WAN_HAI,Wan Hai,22AA,WAN HAI 283,9871311,Carrier schedule / service deployment,Kaohsiung,Taichung,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0201,https://www.fluentcargo.com/carriers/scac/22AA,2026-09-07,VESSEL_00235,,,,,
DEP_00052,COMP_WAN_HAI,Wan Hai,22AA,WAN HAI 358,9554080,Carrier schedule / service deployment,Hong Kong,Singapore,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0201,https://www.fluentcargo.com/carriers/scac/22AA,2026-09-07,VESSEL_00236,,,,,
DEP_00053,COMP_WAN_HAI,Wan Hai,22AA,WAN HAI 177,9555137,Carrier schedule / service deployment,Laem Chabang,Bangkok,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0201,https://www.fluentcargo.com/carriers/scac/22AA,2026-09-07,VESSEL_00237,,,,,
DEP_00054,COMP_WAN_HAI,Wan Hai,22AA,WAN HAI 333,9951379,Carrier schedule / service deployment,Laem Chabang,Shekou,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0201,https://www.fluentcargo.com/carriers/scac/22AA,2026-09-07,VESSEL_00238,,,,,
DEP_00055,COMP_WAN_HAI,Wan Hai,22AA,WAN HAI 101,9493298,Carrier schedule / service deployment,Port Klang,Penang,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0201,https://www.fluentcargo.com/carriers/scac/22AA,2026-09-07,VESSEL_00239,,,,,
DEP_00056,COMP_ZIM,ZIM,ZIMU,ZIM EMERALD,9967976,Carrier schedule / service deployment,Haifa,Da Chan Bay,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0202,https://www.fluentcargo.com/carriers/scac/ZIMU,2026-09-07,VESSEL_00240,,,,,
DEP_00057,COMP_ZIM,ZIM,ZIMU,CARMEL I,9395927,Carrier schedule / service deployment,New York,Norfolk,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0202,https://www.fluentcargo.com/carriers/scac/ZIMU,2026-09-07,VESSEL_00241,,,,,
DEP_00058,COMP_ZIM,ZIM,ZIMU,MARLA BULL,9932945,Carrier schedule / service deployment,Haifa,Koper,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0202,https://www.fluentcargo.com/carriers/scac/ZIMU,2026-09-07,VESSEL_00242,,,,,
DEP_00059,COMP_ZIM,ZIM,ZIMU,ZIM CHINA,9389382,Carrier schedule / service deployment,Haifa,Piraeus,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0202,https://www.fluentcargo.com/carriers/scac/ZIMU,2026-09-07,VESSEL_00243,,,,,
DEP_00060,COMP_ZIM,ZIM,ZIMU,MTT SANDAKAN,9872248,Carrier schedule / service deployment,Port Klang,Semarang,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0202,https://www.fluentcargo.com/carriers/scac/ZIMU,2026-09-07,VESSEL_00244,,,,,
DEP_00061,COMP_UNIFEEDER,Unifeeder,UFEE,MARBURG,9387592,Carrier schedule / service deployment,Bremerhaven,Kiel Canal,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0203,https://www.fluentcargo.com/carriers/scac/UFEE,2026-09-07,VESSEL_00245,,,,,
DEP_00062,COMP_UNIFEEDER,Unifeeder,UFEE,ELBSKY,9412531,Carrier schedule / service deployment,Kiel Canal,Tallinn,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0203,https://www.fluentcargo.com/carriers/scac/UFEE,2026-09-07,VESSEL_00246,,,,,
DEP_00063,COMP_UNIFEEDER,Unifeeder,UFEE,JUDITH,9359260,Carrier schedule / service deployment,Hamburg,Kiel Canal,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0203,https://www.fluentcargo.com/carriers/scac/UFEE,2026-09-07,VESSEL_00247,,,,,
DEP_00064,COMP_UNIFEEDER,Unifeeder,UFEE,ELBSUMMER,9386718,Carrier schedule / service deployment,Kiel Canal,Klaipeda,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0203,https://www.fluentcargo.com/carriers/scac/UFEE,2026-09-07,VESSEL_00248,,,,,
DEP_00065,COMP_SEALEAD,SeaLead,SLS,SAN PEDRO,9625281,Carrier schedule / service deployment,Port Klang,Jakarta,2026-09-05,2026-09-07,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0204,https://www.fluentcargo.com/carriers/sealead-shipping,2026-09-07,VESSEL_00249,,,,,
DEP_00066,COMP_SEALEAD,SeaLead,SLS,REN JIAN 8,9326756,Carrier schedule / service deployment,Shanghai,Yokohama,2026-09-07,2026-09-15,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0204,https://www.fluentcargo.com/carriers/sealead-shipping,2026-09-07,VESSEL_00250,,,,,
DEP_00067,COMP_SEALEAD,SeaLead,SLS,ZHONG GU YIN CHUAN,9938913,Carrier schedule / service deployment,Ningbo,Nansha,2026-09-07,2026-09-10,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0204,https://www.fluentcargo.com/carriers/sealead-shipping,2026-09-07,VESSEL_00251,,,,,
DEP_00068,COMP_SEALEAD,SeaLead,SLS,MARINA VOYAGER,9400813,Carrier schedule / service deployment,Visakhapatnam,Tanjung Pelepas,2026-09-07,2026-09-12,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0204,https://www.fluentcargo.com/carriers/sealead-shipping,2026-09-07,VESSEL_00252,,,,,
DEP_00069,COMP_ESL,Emirates Shipping Line,ESPU,ESL SHEKOU,9290945,Carrier schedule / service deployment,Shanghai,Busan,2026-09-03,2026-09-07,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0205,https://www.fluentcargo.com/carriers/scac/ESPU,2026-09-07,VESSEL_00253,,,,,
DEP_00070,COMP_ESL,Emirates Shipping Line,ESPU,ESL WASL,9400071,Carrier schedule / service deployment,Nhava Sheva,Hazira,2026-09-05,2026-09-05,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0205,https://www.fluentcargo.com/carriers/scac/ESPU,2026-09-07,VESSEL_00254,,,,,
DEP_00071,COMP_ESL,Emirates Shipping Line,ESPU,ZHONG GU KUN MING,9933858,Carrier schedule / service deployment,Nhava Sheva,Salalah,2026-09-05,2026-09-10,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0205,https://www.fluentcargo.com/carriers/scac/ESPU,2026-09-07,VESSEL_00255,,,,,
DEP_00072,COMP_ESL,Emirates Shipping Line,ESPU,BRIGHT,9778399,Carrier schedule / service deployment,Dar es Salaam,Mombasa,2026-09-06,2026-09-09,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0205,https://www.fluentcargo.com/carriers/scac/ESPU,2026-09-07,VESSEL_00256,,,,,
DEP_00073,COMP_XPRESS,X-Press Feeders,XPRESS,TROUPER,9326952,Carrier schedule / service deployment,Las Palmas,Santa Cruz de Tenerife,2026-08-27,2026-08-27,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0206,https://www.fluentcargo.com/carriers/x-press-feeders,2026-09-07,VESSEL_00257,,,,,
DEP_00074,COMP_XPRESS,X-Press Feeders,XPRESS,X PRESS ANGLESEY,9623843,Carrier schedule / service deployment,Singapore,Laem Chabang,2026-08-27,2026-08-30,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0206,https://www.fluentcargo.com/carriers/x-press-feeders,2026-09-07,VESSEL_00258,,,,,
DEP_00075,COMP_XPRESS,X-Press Feeders,XPRESS,SKY LIGHT,9118513,Carrier schedule / service deployment,La Guaira,Cartagena,2026-08-27,2026-08-29,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0206,https://www.fluentcargo.com/carriers/x-press-feeders,2026-09-07,VESSEL_00259,,,,,
DEP_00076,COMP_XPRESS,X-Press Feeders,XPRESS,GOLDEN STAR 1,8952857,Carrier schedule / service deployment,Johor Port,Singapore,2026-08-27,2026-08-28,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0206,https://www.fluentcargo.com/carriers/x-press-feeders,2026-09-07,VESSEL_00260,,,,,
DEP_00077,COMP_GFS,Global Feeder Shipping,GFS,SSF VALENCE,9304693,Carrier schedule / service deployment,Port Said,Aqaba,2026-09-05,2026-09-11,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0207,https://www.fluentcargo.com/carriers/global-feeder-shipping,2026-09-07,VESSEL_00261,,,,,
