News ID,Terminal ID,Date,Event Type,Headline,Summary,Source,URL,Source Asset ID
PNEWS00015,TERM0034,2026-03-16,Throughput / performance,DP World Mundra handles 1.5 million TEUs in CY25,MICT throughput rose to nearly 1.5m TEU in 2025; vessel calls and rail volumes also grew.,DP World,https://www.dpworld.com/en/news/india/dp-world-mundra,DPW-IND-MUN
PNEWS00016,TERM0040,2026-03-12,Investment / capacity,DP World reports record 2025 results and confirms modernized Jeddah South Container Terminal capacity,DP World says the $800m Jeddah modernization more than doubled capacity to 4m TEU.,DP World,https://www.dpworld.com/en/news/releases/uae/dp-world-reports-record-244-bn-revenue-and-64bn-ebitda-for-2025,DPW-SAU-JED
PNEWS00017,TERM0026,2026-01-19,Throughput / expansion,London Gateway container volumes up more than 50% to set new annual record,London Gateway surpassed 3m TEU in 2025; two additional all-electric berths remain under construction.,DP World,https://www.dpworld.com/en/news/london-gateway-container-volumes-up-more-than-50-to-set-new-annual-record,DPW-GBR-LGW
PNEWS00018,TERM0034,2025-09-16,Equipment / capacity,DP World Mundra boosts capacity and sustainability with new quay crane and electric RTG cranes,New quay crane and three e-RTGs added; capacity planned to rise to ~1.56m TEU by 2027.,DP World,https://www.dpworld.com/en/news/india/dp-world-mundra-boosts-capacity-sustainability,DPW-IND-MUN
PNEWS00019,TERM0012,2025-05-02,Infrastructure expansion,DP World and Asian Terminals invest US$100 million to boost capacity at Manila South Harbour,"Pier 3 berth extension, two new STS cranes and yard expansion raise annual capacity toward 2m TEU.",DP World,https://www.dpworld.com/en/news/dp-world-and-asian-terminals-inc-invest-us100-million-to-boost-capacity-at-manila-south-harbour,DPW-PHL-MSH
PNEWS00020,TERM0026,2025-03-21,Construction / expansion,DP World to begin construction of £1bn London Gateway expansion,Two additional 400 m all-electric berths and a second rail terminal will take London Gateway to six berths.,DP World,https://www.dpworld.com/en/news/united-kingdom/dp-world-to-begin-construction-of-london-gateway-expansion,DPW-GBR-LGW
PNEWS00021,TERM0042,2024-12-18,Construction / greenfield,DP World kicks off maritime construction at new $1.2 billion port in Senegal,"Maritime construction begins on Ndayane; Phase 1 includes 840 m quay, 5 km channel and 1.2m TEU capacity.",DP World,https://www.dpworld.com/en/news/dp-world-kicks-off-maritime-construction-at-new-12-billion-port-in-senegal,DPW-SEN-NDY
PNEWS00022,TERM0079,2026-06-18,Infrastructure / digital,Al Faya Dry Port receives UN/LOCODE AEALF,"UN code integrates the inland terminal more directly into global customs, shipping and trade systems.",AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/06/18/ad-ports-group-enhances-al-faya-dry-ports-integration-with-the-global-trade-and-logistics-ecosystem,ADP-UAE-ALFAYA
PNEWS00023,TERM0102,2026-06-18,Digitalisation,Noatum Ports – Maqta Ayla Digital Solutions launched in Jordan,Port Community System JV adds digital layer to Aqaba port ecosystem.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/06/18/ad-ports-group-launches-maqta-ayla-digital-solutions-in-jordan,ADP-JOR-AQABA-MP
PNEWS00024,TERM0092,2026-06-08,Operations,Trial operations launched at Noatum Ports Safaga Terminal,Terminal systems and operational readiness testing underway ahead of commercial opening.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/06/08/ad-ports-group-launches-trial-operations-at-noatum-ports-safaga-terminal-in-egypt,ADP-EGY-SAFAGA
PNEWS00025,TERM0075,2026-05-22,Inland connectivity,AD Ports Group establishes consolidated multimodal inland logistics network,Links Khalifa Port and Fujairah Terminals with rail-linked dry ports and cargo depots.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/05/22/ad-ports-group-establishes-consolidated-multimodal-inland-logistics-network,ADP-UAE-FUJAIRAH
PNEWS00026,TERM0090,2026-05-19,Passenger operations,Cruise and ferry terminal services launched across Egypt Red Sea terminals,"Hurghada, Safaga and Sharm El Sheikh passenger services launched; Safaga-NEOM ferries also operated.",AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/05/19/ad-ports-group-launches-cruise-and-ferry-terminal-services-in-egypt,ADP-EGY-HURGHADA-CRUISE
PNEWS00027,TERM0097,2026-05-18,Construction / equipment,Three major Pointe-Noire terminal contracts awarded,Marine/landside works plus three STS and nine RTG cranes move project into construction.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/05/18/ad-ports-group-awards-three-contracts-for-noatum-ports-pointe-noire-terminal,ADP-COG-POINTE
PNEWS00028,TERM0082,2026-05-05,Inland connectivity,CMA Terminals Khalifa Port and CMA CGM sign inland reach MoU,Targets cargo flows across AD Ports Group rail-linked inland container depots and dry ports.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/05/05/ad-ports-group-cma-terminals-khalifa-port-and-cma-cgm-group-sign-mou,ADP-UAE-CMA
PNEWS00029,TERM0092,2026-04-06,Equipment,Safaga receives three STS and six RTG cranes,ZPMC Super Post-Panamax STS and RTG equipment delivered before opening.,AD Ports Group,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2026/04/06/noatum-ports-safaga-terminal-egypt/,ADP-EGY-SAFAGA
PNEWS00030,TERM0069,2026-03-04,Security / operations,Group confirms business continuity amid regional Gulf crisis,Ports remained operational though lower Strait of Hormuz traffic was expected to reduce Khalifa calls.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/03/04/ad-ports-group-confirms-business-continuity-across-all-operations-amid-regional-developments,ADP-UAE-KHALIFA
PNEWS00031,TERM0101,2026-02-12,Concession / investment,AD Ports Group joins 30-year Douala dry bulk terminal concession,Effective economic interest of 51% in new terminal development.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/02/12/ad-ports-group-enters-into-30-year-concession-agreement-with-africa-ports-development,ADP-CMR-DOUALA
PNEWS00032,TERM0102,2026-02-05,Concession,30-year Aqaba Multipurpose Port concession signed,JV 70% AD Ports Group / 30% Aqaba Development Corporation.,AD Ports Group,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2026/02/05/ad-ports-group-signs-30-year-agreement-with-aqaba-development-corporation/,ADP-JOR-AQABA-MP
PNEWS00033,TERM0082,2025-11-18,Expansion,CMA Terminals Khalifa Port expansion agreed,Capacity planned from 1.8m to 2.7m TEU by early 2028.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/11/18/ad-ports-group-signs-agreement-with-cma-cgm-group-to-expand-terminal-at-khalifa-port,ADP-UAE-CMA
PNEWS00034,TERM0096,2025-09-19,Construction,Luanda terminal modernisation breaks ground,Project targets 350k TEU and >40k vehicles after completion in Q1 2027.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/09/19/ad-ports-group-breaks-ground-on-noatum-ports-luanda-terminal,ADP-AGO-LUANDA
PNEWS00035,TERM0094,2025-09-02,Dredging / expansion,Karachi terminals sign dredging agreement,KGTL draft to rise from 13 m to 15.5 m and capacity from 750k to 1m TEU.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/09/02/ad-ports-groups-karachi-terminals-in-pakistan-sign-major-dredging-agreement,ADP-PAK-KGTL
PNEWS00036,TERM0099,2025-06-03,Opening,Tbilisi Intermodal Hub phase 1 inaugurated,96k TEU initial capacity with rail-linked container yard; 200k TEU phase expansion planned.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/06/03/ad-ports-group-inaugurates-tbilisi-intermodal-hub-in-georgia,ADP-GEO-TBILISI
PNEWS00037,TERM0082,2025-03-14,Vessel call,CMA CGM Iron makes methanol-fuelled vessel call,"Demonstrates terminal capability for 13,000 TEU vessel and confirms equipment specification.",AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/03/14/the-cma-cgm-iron-the-first-dual-fuel-methanol-vessel-to-visit-abu-dhabi-at-khalifa-port,ADP-UAE-CMA
PNEWS00038,TERM0079,2025-02-24,Opening,Al Faya Dry Port inaugurated,Custom-bound ICD opened with CMA CGM as anchor client.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/02/24/ad-ports-group-opens-its-first-inland-dry-port-facility-in-abu-dhabi-anchored-by-cma-cgm,ADP-UAE-ALFAYA
PNEWS00039,TERM0096,2025-01-30,Operations,AD Ports Group begins operations at Luanda terminal,Long-term management and logistics operations commenced.,AD Ports Group,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2025/01/30/ad-ports-group-starts-port-and-logistics-operations-in-luanda-angola/,ADP-AGO-LUANDA
PNEWS00040,TERM0100,2025-01-14,Investment / development,Sarzha Grain Terminal JV announced,"Phase 1 planned at 570k tonnes/year, expanding to 1.5m.",AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/01/14/ad-ports-group-to-invest-in-greenfield-sarzha-grain-terminal-in-kuryk-port-kazakhstan,ADP-KAZ-SARZHA
PNEWS00041,TERM0130,2026-08-25,Investment / JV,RSGT and CMA CGM sign definitive Terminal 4 agreements,US$434m initial investment; up to 2.6m TEU capacity and ten new STS cranes.,RSGT,https://rsgt.com.sa/news/rsgt-and-cma-cgm-announce-usd-434-million-initial-investment-sar-1-6-billion-to-develop-terminal-4-and-add-up-to-2-6-million-teus-of-capacity-at-jeddah-islamic-port/,CMA-SA-JED4
PNEWS00042,TERM0115,2026-07-28,Corporate / portfolio,United Ports LLC formation completed,Nine CMA CGM-operated terminal assets moved into the 75/25 CMA CGM-Stonepeak JV.,CMA CGM,https://www.cmacgm-group.com/en/news-media/cma-cgm-and-stonepeak-complete-formation-united-ports-llc,CMA-US-FENIX
PNEWS00043,TERM0126,2026-07-28,Corporate / portfolio,Nhava Sheva remains a pending United Ports addition,Asset was not in the nine-terminal closing portfolio; addition remains subject to approvals.,CMA CGM,https://www.cmacgm-group.com/en/news-media/cma-cgm-and-stonepeak-complete-formation-united-ports-llc,CMA-IN-NSFT
PNEWS00044,TERM0120,2026-07-20,Digitalisation,Santos Brasil deploys OPUS TOS at Tecon Imbituba,Part of a R$34m+ technology modernization program across terminal operations.,Santos Brasil,https://www.santosbrasil.com.br/v2021/noticia/santos-brasil-implanta-novo-sistema-operacional-no-tecon-imbituba,CMA-BR-IMB
PNEWS00045,TERM0132,2026-06-29,Ownership / negotiation,CMA Terminals 20% Hamburg talks remain ongoing,EUROKAI states final legally binding agreements are still being negotiated.,EUROKAI / EQS,https://www.eqs-news.com/news/ad-hoc/eurokai-gmbh-co-kgaa-gesprache-uber-mogliche-verauserung-einer-minderheitsbeteiligung-an-eurogate-container-terminal-hamburg-gmbh/7493bbee-38a3-4d68-81f2-564f67cadc7c_de,CMA-DE-HAM
PNEWS00046,TERM0097,2026-05-18,Construction / equipment,Pointe-Noire contracts awarded,Marine/landside works plus 3 STS and 9 RTGs move project into construction.,AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2026/05/18/ad-ports-group-awards-three-contracts-for-noatum-ports-pointe-noire-terminal,CMA-CG-PNR
PNEWS00047,TERM0133,2026-05-10,Strategic investment,CMA CGM signs Kenya transport/logistics infrastructure framework,"Framework centers on expansion of Kenyan port/logistics capacity, with Mombasa terminal development subsequently described.",CMA CGM,https://cmacgm-group.com/en/news-media/africa-forward-summit-rodolphe-saade-signs-government-republic-of-kenya-strategic-partnership-agreement,CMA-KE-MBA
PNEWS00048,TERM0125,2026,Expansion,Gemalink Phase 2 works launched,"Capacity target rises to about 3m TEU by Q4 2027, with quay and crane expansion.",CMA CGM,https://www.cmacgm-group.com/en/news-media/cma-cgm-launches-phase-2-expansion-works-gemalink-container-terminal,CMA-VN-GEMA
PNEWS00049,TERM0134,2026-03-06,Investment,CMA CGM confirms 35% October Dry Port stake,Adds a rail-linked inland node to its Egyptian terminal/logistics footprint.,CMA CGM,https://www.cmacgm-group.com/en/news-media/annual-financial-results-2025,CMA-EG-ODP
PNEWS00050,TERM0082,2025-11-18,Expansion,Khalifa terminal expansion agreed,"Capacity planned from 1.8m to 2.7m TEU and quay from 800m to 1,200m by early 2028.",AD Ports Group,https://www.adportsgroup.com/en/news-and-media/2025/11/18/ad-ports-group-signs-agreement-with-cma-cgm-group-to-expand-terminal-at-khalifa-port,CMA-AE-KHAL
PNEWS00051,TERM0129,2025-10-24,JV / development,Nador West Med operating agreement finalized,51/49 Marsa Maroc-CMA Terminals JV targets 1.8m TEU and 2027 operation.,CMA CGM,https://www.cma-cgm.com/news/5223/marsa-maroc-and-cma-cgm-finalize-the-agreement-for-the-operation-of-a-container-terminal-at-the-port-of-nador-west-med,CMA-MA-NADOR
PNEWS00052,TERM0162,2026-08,Infrastructure / capacity,Portonave expands operational quay length,Project enables simultaneous berthing of two vessels as reinforcement program advances.,Portonave,https://www.portonave.com.br/en/todas-as-noticias/portonave-expands-operational-quay-length-and-enables-simultaneous-berthing-of-two-vessels,TIL-BR-PORTO
PNEWS00053,TERM0177,2026-06-30,Ownership / investment,TiL agrees to acquire 49% of Vizhinjam concessionaire,US$1.397bn investment; port capacity expansion target rises from 1.6m to 5.7m TEU.,Adani Ports,https://www.adani.com/newsroom/media-releases/apsez-and-msc-group-deepen-long-term-partnership,TIL-IN-VIZ
PNEWS00054,TERM0178,2026-05-12,Regulatory / investment,COMESA approves TiL-Misurata Free Zone transaction,Regulatory approval advances TiL's role in the Misurata container-terminal development.,COMESA Competition Commission,https://comesacompetition.org/decided-cases/,TIL-LY-MIS
PNEWS00055,TERM0174,2026-05-01,Construction,Sparrows Point Container Terminal breaks ground,330-acre Baltimore-area container/intermodal development moves into construction.,SPCT,https://www.spctmd.com/,TIL-US-SPCT
PNEWS00056,TERM0178,2026-01-18,PPP / expansion,Misurata Free Zone signs long-term TiL/Maha Capital partnership,US$2.7bn program targets modernization and capacity of up to 4m TEU.,Misurata Free Zone,https://www.mfzly.com/en/post.php?id=90,TIL-LY-MIS
PNEWS00057,TERM0164,2026,Modernization,Le Havre modernization continues toward 2028,"Project targets 20 STS cranes, tripled storage capacity and shore power.",TiL,https://tilgroup.com/our-terminals/havre.html,TIL-FR-TN
PNEWS00058,TERM0163,2026,Expansion,TiL continues planning 4.8m TEU automated Valencia expansion,"Concept calls for 22 STS, 50 ASCs and 160 AGVs.",TiL,https://www.tilgroup.com/our-terminals/valencia.html,TIL-ES-VAL
PNEWS00059,TERM0242,2026-08-31,Construction,APM Terminals breaks ground in Laldia,US$550m PPP moves into construction; >800k TEU capacity planned.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260831-APMTerminals-breaks-ground-in-Laldia,APM-BD-LALDIA
PNEWS00060,TERM0224,2026-08-19,Ownership / expansion,Hapag-Lloyd agrees to acquire 25% of Maasvlakte II,"Expansion targets 2,000m deep-sea berth and 5.4m TEU annual capacity.",APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260819-APMTerminals-and-Hapag-Lloyd-partner-at-Maasvlakte-II,APM-ROTTERDAM-MAASVLAKTE-II
PNEWS00061,TERM0192,2026-06-12,Opening / commissioning,APM Terminals delivers Suape terminal,New fully electric Northeast Brazil gateway reaches final readiness stage with 400k TEU initial capacity.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260612-APMTerminals-delivers-Suape-Brazil,APM-SUAPE-TERMINAL
PNEWS00062,TERM0243,2026-04-25,Development,APM Terminals and Hateco partner on Da Nang deep-water terminal,Project targets >5.7m TEU and up to eight berths.,APM Terminals,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang,APM-VN-DANANG
PNEWS00063,TERM0228,2026-04-22,Concession / investment,Valencia partnership extended with electric upgrade,Concession extended to 2049 with quay and electrification investment.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260422-APM-Terminals-invests-in-upgrade-and-extends-partnership,APM-VALENCIA
PNEWS00064,TERM0191,2026-03-20,Expansion,Lázaro Cárdenas Phase II opens; Phase III begins,Capacity reaches up to 2m TEU; >US$350m next-stage investment launched.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260320-APMTerminals-lazaro-cardenas-announces-investment-PhaseII,APM-LÁZARO-CÁRDENAS-TERMINAL
PNEWS00065,TERM0244,2026-02-24,Temporary operation,APM Terminals begins temporary Balboa operations,Up to 18-month stabilization mandate includes TOS migration and asset diagnostics.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260224-APM-Terminals-begins-temporary-operations-Port-of-Balboa,APM-PA-BALBOA
PNEWS00066,TERM0040,2026-02-18,Ownership / investment,APM Terminals and DP World announce Jeddah partnership,APM to acquire 37.5% minority stake; DP World retains 62.5% and operation.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260218-APM-Terminals-DPWorld-strategic-partnership-Jeddah-Islamic-Port,APM-SA-JEDDAH-SCT
