Table,Primary Key,Purpose,Minimum relationship
vessel_evidence,evidence_id,"Row-wise provenance for vessel identity, fleet association, freshness and confidence",vessel_id + source_id
fleet_research_universe,company / brand,"Prioritized master universe for fleet harvesting across liner, feeder, ferry, cruise, Great Lakes, bulk, tanker and energy shipping",links to companies + fleet_coverage + research_queue
carrier_deployment_seeds,seed_id,Time-stamped carrier schedule/service evidence without conflating deployment with ownership,company_id + vessel_id + source_id
fleet_ranking_snapshots,ranking_id,Time-stamped methodology-aware fleet rankings preserving scope and exclusions,company_id + source_id + as_of
tanker_fleet_universe,universe_id,Tanker/VLCC company totals with owned/operated/controlled/chartered/orderbook distinctions,company_id + metric_scope + as_of
vessel_restrictions,restriction_id,"Time-bounded sanctions, blacklists, port bans, detention, class, flag and insurance restrictions at IMO level",vessel_id/IMO + authority + effective_date
tradeability_assessments,assessment_id,Analytical assessment of vessel tradeability using restriction evidence,vessel_id/IMO + as_of + restriction evidence
vessel_transactions,transaction_id,"Purchases, sales, sale-leasebacks and fleet acquisitions preserving historical ownership",vessel_id/IMO + buyer/seller + transaction_date
tanker_corridor_exposure,exposure_id,"Links tanker fleets to commodity systems, chokepoints, STS zones and route dependencies",company_id/vessel segment + corridor + source
runtime_table_crosswalk,runtime_file,Maps GitHub/Streamlit runtime CSVs to canonical workbook sheets or ingestion layers,runtime file + workbook sheet/layer
weather_labour_events,external_event_id,"Focused operational-disruption view for weather, natural hazard, labour, protest and civil-unrest events that affect trade or transport",external_event_id + source_id + event_observation
disruption_watch,watch_id,Forward watch for threatened/planned disruption that has not yet become a confirmed event,watch_id + trigger/threshold + source_id
infrastructure_investors,investor_id,"Global capital universe covering port investors, infrastructure managers, logistics real estate and sovereign/pension capital",company_id + source_id
infrastructure_holdings,holding_id,"Time-bounded ownership/economic interests in port, logistics, inland and zone assets",investor_company_id + target_entity/asset + effective date
infrastructure_deals,deal_id,"Completed, proposed, partial-disposition and JV transactions affecting ports, logistics real estate, dry ports and economic zones",investor/buyer + target + date + status
economic_zones,zone_id,"Free zones, economic cities and port-linked industrial/logistics zones",asset_id + operator_company_id + parent/owner
logistics_real_estate,lre_id,"Warehouses, logistics parks, industrial portfolios and transport-linked logistics property",asset_id + owner/investor + deal/source
dry_ports_inland_hubs,hub_id,"Dry ports, inland ports, intermodal hubs and inland cargo terminals",asset_id + operator + seaport/rail/road connections
infrastructure_connections,connection_id,"Graph edges linking ports, dry ports, economic zones, logistics real estate, rail, roads, airports and corridors",source_asset_id + target node + mode/corridor
integrated_logistics_networks,network_id,"Cross-modal operating-network layer for integrators, commerce platforms and logistics groups",parent_company_id + platform/division + modes + physical/network scale + source
port_terminals,terminal_id,"Canonical physical terminal/facility layer with capacity, area, quay, depth, berth, rail, reefer and source summaries",terminal_id + port_id + primary_operator_company_id
port_berths,berth_record_id,"Berth/interface-level quay length, depth, use and status",terminal_id + source_asset_id
port_equipment,equipment_record_id,"Row-wise cargo-handling equipment including STS, RTG, RMG, ASC, straddles and support equipment",terminal_id + equipment_type
port_ownership,ownership_id,"Equity, concession, minority investment, operator-control and JV relationships for physical terminals",terminal_id + company_id + relationship
port_news,news_id,"Terminal-linked current developments with live URLs, separate from static infrastructure",terminal_id + date + source_asset_id
news_registry,news_id,"Generic news/article registry separate from canonical events, projects and assets",news_id + source_id + canonical_event_id when resolved
news_entity_links,news_link_id,"Many-to-many links from news records to companies, ports, vessels, terminals and assets",news_id + entity_id + relationship
monitoring,monitoring_id,Ongoing analytical watch objects that aggregate developing events and indicators,monitoring_id + linked events/entities + review fields
monitoring_event_links,monitoring_link_id,Links canonical events into ongoing monitoring objects,monitoring_id + canonical_event_id
source_feeds,feed_id,Standing media/official source feeds used for continuous intake,feed_url + coverage + deduplication rule
asset_control_history,control_record_id,Time-stamped nominal/de-facto control history for conflict-exposed ports/assets,asset_id + controller + effective dates
asset_constraints,constraint_id,"Physical or operational constraints such as draft, turning basin, bridge, berth and fender limits",asset_id + constraint_type + related work
transaction_asset_links,transaction_link_id,"Links M&A/deal records to the specific companies, yards, terminals, ports and other assets affected",deal_id + entity_or_asset_id
port_operator_coverage,operator_company_id,Operator-network QA and coverage summary for canonical port-terminal expansion,operator_company_id -> companies.company_id; counts derive from port_terminals
rail_operators,rail_operator_id,Rail operator/company layer,company_id -> companies
rail_networks,rail_network_id,Named rail network/corridor with start/end,lead_operator_company_id -> companies
rail_nodes,rail_node_id,Physical rail nodes,linked_port_id -> ports where applicable
rail_links,rail_link_id,Rail origin-destination edges,rail_network_id + rail node IDs
rail_relationships,rail_relationship_id,Rail ownership/operator/JV edges,company_id + rail_network_id
rail_fleet,rail_fleet_record_id,Rolling-stock aggregates,company_id + rail_network_id
rail_connections,rail_connection_id,Cross-domain rail-to-port/asset links,connected_entity_id -> canonical P&C entity
rail_news,rail_news_id,Rail news/development layer,company/network -> rail graph
