Build Record ID,Vessel ID,Vessel Name,Shipyard ID,Shipyard,Build Country,Hull No.,Order Date,Delivery Date / Year,Build Status,Capacity,Fuel / Propulsion,Source ID,Notes
BUILD_000012,VESSEL_00020,Al Rahba,YARD_0003,Jiangnan Shipyard,China,,2022,2025-2026,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
BUILD_000013,VESSEL_00021,Al Reef,YARD_0003,Jiangnan Shipyard,China,,2022,2025-2026,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
BUILD_000014,VESSEL_00022,Al Shelila,YARD_0003,Jiangnan Shipyard,China,,2022,2025-2026,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
BUILD_000015,VESSEL_00028,Ruwais LNG H2711,YARD_0004,Samsung Heavy Industries,South Korea,H2711,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000016,VESSEL_00029,Ruwais LNG H2712,YARD_0004,Samsung Heavy Industries,South Korea,H2712,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000017,VESSEL_00030,Ruwais LNG H2713,YARD_0004,Samsung Heavy Industries,South Korea,H2713,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000018,VESSEL_00031,Ruwais LNG H2714,YARD_0004,Samsung Heavy Industries,South Korea,H2714,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000019,VESSEL_00032,Ruwais LNG H2598,YARD_0005,Hanwha Ocean,South Korea,H2598,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000020,VESSEL_00033,Ruwais LNG H2599,YARD_0005,Hanwha Ocean,South Korea,H2599,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000021,VESSEL_00034,Ruwais LNG H2600,YARD_0005,Hanwha Ocean,South Korea,H2600,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000022,VESSEL_00035,Ruwais LNG H2601,YARD_0005,Hanwha Ocean,South Korea,H2601,2024,2028 onward,On order,"174,000 m3",,SRC_0072,Firm ADNOC L&S newbuild.
BUILD_000023,VESSEL_00038,AWS-Al Ain,YARD_0003,Jiangnan Shipyard,China,,,2023,Delivered,"86,000 m3",LPG dual-fuel,SRC_0071,AW Shipping VLGC newbuild.
BUILD_000024,VESSEL_00039,AWS-Zakher,YARD_0003,Jiangnan Shipyard,China,,,2023,Delivered,"86,000 m3",LPG dual-fuel,SRC_0071,AW Shipping VLGC newbuild.
BUILD_000025,VESSEL_00040,AWS-Rabdan,YARD_0003,Jiangnan Shipyard,China,,,2023,Delivered,"86,000 m3",LPG dual-fuel,SRC_0071,AW Shipping VLGC newbuild.
BUILD_000026,VESSEL_00041,AWS-Al Salam,YARD_0003,Jiangnan Shipyard,China,,,2023,Delivered,"86,000 m3",LPG dual-fuel,SRC_0071,AW Shipping VLGC newbuild.
BUILD_000027,VESSEL_00042,AWS-Baynounah,YARD_0003,Jiangnan Shipyard,China,,,2023,Delivered,"86,000 m3",LPG dual-fuel,SRC_0071,AW Shipping VLGC newbuild.
BUILD_000028,VESSEL_00073,ADNOC L&S molten sulphur newbuild,YARD_0017,Jiangsu Zhenjiang Shipyard,China,,,,On order,"11,000",,SRC_0066,Unnamed molten-sulphur carrier shown on official fleet sheet.
BUILD_000029,VESSEL_00117,SINOKOR NIIGATA,YARD_0022,Murakami Hide Shipyard,Japan,,,1999,Delivered,550 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000030,VESSEL_00118,MEREDITH VICTORY,YARD_0006,Hyundai Heavy Industries,South Korea,,,2009,Delivered,,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000031,VESSEL_00120,GENEVA QUEEN,YARD_0023,Sungdong Shipbuilding & Marine Engineering,South Korea,,,2012,Delivered,,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000032,VESSEL_00121,Hakata Voyager,YARD_0019,Fujian Mawei Shipbuilding,China,,,2005,Delivered,698 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000033,VESSEL_00122,Vostochny Voyager,YARD_0019,Fujian Mawei Shipbuilding,China,,,2005,Delivered,698 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000034,VESSEL_00123,HongKong Voyager,,Hakata (shipyard as listed by SINOKOR),Japan,,,2006,Delivered,"1,060 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000035,VESSEL_00124,Osaka Voyager,YARD_0019,Fujian Mawei Shipbuilding,China,,,2005,Delivered,698 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000036,VESSEL_00125,NAGOYA TRADER,YARD_0024,Kyokuyo Shipyard,Japan,,,2009,Delivered,907 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000037,VESSEL_00126,SAWASDEE PACIFIC,YARD_0016,Hyundai Mipo Dockyard,South Korea,,,2020,Delivered,"1,809 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000038,VESSEL_00127,SAWASDEE ATLANTIC,YARD_0016,Hyundai Mipo Dockyard,South Korea,,,2020,Delivered,"1,809 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000039,VESSEL_00128,SAWASDEE BALTIC,YARD_0016,Hyundai Mipo Dockyard,South Korea,,,2020,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000040,VESSEL_00129,SAWASDEE SUNRISE,YARD_0016,Hyundai Mipo Dockyard,South Korea,,,2020,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000041,VESSEL_00136,KOBE TRADER,YARD_0018,Wenchong Shipyard,China,,,2021,Delivered,"1,080 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000042,VESSEL_00137,CHENNAI VOYAGER,YARD_0021,Volkswerft Stralsund,Germany,,,1999,Delivered,"2,546 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000043,VESSEL_00138,SENDAI TRADER,YARD_0020,Taizhou Kouan Shipbuilding,China,,,2008,Delivered,"1,118 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000044,VESSEL_00139,QINGDAO TRADER,YARD_0018,Wenchong Shipyard,China,,,2021,Delivered,"1,080 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000045,VESSEL_00140,YANGTZE TRADER,YARD_0018,Wenchong Shipyard,China,,,2022,Delivered,"1,084 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000046,VESSEL_00141,NO.2 OCEAN PIONEER,YARD_0026,Usuki Shipyard,Japan,,,2006,Delivered,,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000047,VESSEL_00142,OCEAN PIONEER,YARD_0025,Fukuoka Shipbuilding,Japan,,,2007,Delivered,,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000048,VESSEL_00143,SAWASDEE CHITTAGONG,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2022,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000049,VESSEL_00144,SAWASDEE SHANGHAI,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2022,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000050,VESSEL_00145,SAWASDEE XIAMEN,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2022,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000051,VESSEL_00146,SAWASDEE INCHEON,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2022,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000052,VESSEL_00152,SAWASDEE SPICA,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000053,VESSEL_00153,SAWASDEE DENEB,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000054,VESSEL_00154,YEOSU VOYAGER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"2,500 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000055,VESSEL_00155,INCHEON VOYAGER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"2,500 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000056,VESSEL_00156,ULSAN VOYAGER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"2,500 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000057,VESSEL_00157,SAWASDEE MIMOSA,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"1,800 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000058,VESSEL_00158,TOYAMA TRADER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2023,Delivered,"1,000 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000059,VESSEL_00159,KWANGYANG VOYAGER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2024,Delivered,"2,500 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000060,VESSEL_00160,AKITA TRADER,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2024,Delivered,"1,000 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000061,VESSEL_00161,MELBOURNE BRIDGE,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2024,Delivered,"8,000 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000062,VESSEL_00162,SYDNEY BRIDGE,,Hyundai (exact yard not specified on captured SINOKOR record),South Korea,,,2024,Delivered,"8,000 TEU",,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
BUILD_000063,VESSEL_00163,MOJI EXPRESS,YARD_0017,Jiangsu Zhenjiang Shipyard,China,,,2025,Delivered,430 TEU,,SRC_0102,Historical builder copied from SINOKOR public vessel page; exact yard entity normalized only where unambiguous.
