Impact ID,External Event ID,Mode,Impact Type,Asset / Geography,Status,Severity,Time Horizon,Operational Effect,Trade / Commercial Effect
IMPACT_0012,EXT_0011,Inland Waterway / Cruise / Passenger,Draft / navigation restriction,Danube / Budapest / Gonyu / Komarom / Mohacs,Occurred / low-water constrained,Moderate / High,Days / weeks,Vessels stranded or held in ports; sightseeing services suspended north of Budapest,Passenger-shipping and tourism disruption; reduced operational flexibility on the Danube corridor
IMPACT_0013,EXT_0012,Multimodal,Weather closure / restriction,Zhejiang / Taizhou / Taiwan / Sakishima Islands,Occurred,High,Immediate / days,Large-scale flight cancellations; reduced rail service; evacuations and weather restrictions across coastal transport systems,Air-cargo and passenger disruption; potential manufacturing and port-hinterland delays in eastern China and Taiwan
IMPACT_0014,EXT_0013,Aviation / Road / Urban Logistics,Weather closure / restriction,Brisbane / southeast Queensland / northern New South Wales,Occurred / recovery,High,Days,Airport operations suspended; Qantas flights curtailed; public transport shut; power outages and flood risk,Air-cargo and passenger capacity loss; urban distribution delays and supply-chain disruption around Brisbane
IMPACT_0015,EXT_0014,Multimodal,Weather closure / restriction,Northern Vietnam / Haiphong / Hong Kong / northern Philippines,Occurred,High,Days,Port and transport services suspended in Vietnam; flight cancellations; flooding and government closures in the Philippines,Regional cargo delay and distribution disruption across South China Sea supply chains
IMPACT_0016,EXT_0015,Multimodal,Weather closure / restriction,Hong Kong / Guangdong / Shenzhen / Pearl River Delta / Taiwan,Occurred,High,Days,"Flight disruption, transport shutdowns, storm-surge warnings and widespread closures","Short-term disruption across one of the world's densest manufacturing, logistics and port regions"
IMPACT_0017,EXT_0016,Maritime / Port,Weather closure / restriction,Port of Rotterdam,Occurred / residual backlog,Moderate / High,Days,Ship queue roughly doubled from normal levels before strike effects became dominant,Container delays and reduced ability to absorb further disruption at Europe's largest port
IMPACT_0018,EXT_0017,Maritime / Port / Agricultural Exports,Labour stoppage / capacity loss,Rosario / Parana-Paraguay export corridor,Occurred,High,48 hours / backlog recovery,Agro-export activity brought close to a standstill and vessel dispatch constrained,"Disruption to a major global grain, soybean-oil and soybean-meal export system"
IMPACT_0019,EXT_0018,Ferry / Maritime,Labour stoppage / capacity loss,Piraeus / Greek domestic ferry network,Occurred,High,24 hours,Ferry sailings halted for the duration of the strike,"Passenger, vehicle and island-supply movements delayed; labour action tied directly to maritime security risk"
IMPACT_0020,EXT_0019,Road / Industrial Construction,Labour stoppage / capacity loss,Seoul metropolitan area / Pyeongtaek / Yongin,Occurred / prolonged dispute,Moderate / High,Days / potentially longer,Concrete deliveries blocked and pouring halted at strategic chip-factory construction sites,Potential schedule slippage for semiconductor capacity expansion if stoppage persisted
IMPACT_0021,EXT_0020,Maritime / Container Port,Labour stoppage / capacity loss,Port of Rotterdam,Occurred / temporarily suspended,High,Days,Container loading/unloading effectively halted; vessel queue expanded,Backlogs at Europe's largest port with limited diversion capacity because Antwerp was also disrupted
IMPACT_0022,EXT_0021,Maritime / Port,Labour stoppage / capacity loss,Port of Antwerp-Bruges / Zeebrugge,Occurred,High,Several days,Antwerp handled only 31 ships on a day when 60-80 was typical; delays spread to Zeebrugge,Reduced gateway capacity and weaker diversion options for congestion at nearby Rotterdam
IMPACT_0023,EXT_0022,Port / Road / Rail,Labour stoppage / capacity loss,Genoa / Livorno,Occurred,Moderate / High,Hours / one day,Port access impeded and some transport services disrupted,Localized cargo and hinterland disruption; demonstration of politically driven port-labour action
IMPACT_0024,EXT_0023,Multimodal,Labour stoppage / capacity loss,Milan / Bologna / Rome / Turin / Genoa / Venice / Naples,Occurred,High,One day / short recovery,"Flight cancellations, train disruption and urban transport delays",Air-cargo and business-travel disruption plus inland logistics friction across multiple Italian hubs
IMPACT_0025,EXT_0024,Port / Road / Border Trade,Access / movement disruption,Volos / national motorways / Promachonas border,Occurred / continuing at source date,Moderate / High,Days,Port-area disruption; road queues and intermittent border restrictions,"Agricultural, trucking and cross-border cargo delays with potential spillover to regional logistics"
IMPACT_0026,EXT_0025,Land / Border Trade,Access / movement disruption,Czech-Slovak border crossing / regional border points,Occurred,Moderate,Hours / one day,Border-crossing operations disrupted and road traffic constrained,Short-duration cross-border trucking friction and agricultural trade disruption
IMPACT_0027,EXT_0026,Port / Road / Ferry,Access / movement disruption,Port of Dover / Portsmouth,Occurred / contained,Moderate,Hours,Road access disrupted; ferry passengers delayed; access later restored,Localized friction at the UK's main cross-Channel ferry gateway; no confirmed prolonged port shutdown
