id,date,region,country,port_location,port_side_or_near_port,incident_category,incident_sub_type,conflict_related,vessel_asset,operator_authority,event_summary,fatalities,injuries,containers_lost_damaged,pollution_environmental_impact,port_operational_impact,damage_loss_estimate,cause_attribution,investigation_status,severity,confidence,primary_source,secondary_source,notes_intelligence_relevance
11,2026-08-30,Asia-Pacific,India,Mumbai Port / Indira Dock,Port-side,Cargo Handling Accident,Crane overturn / fire,No,M/V Vienna; shore mobile cranes,Mumbai Port Authority,"During a heavy-lift operation, a mobile crane overturned toward the vessel and a fire broke out.",0,2,,No major pollution reported,Berth area secured; investigation and crane recovery required,,Load shift / lifting imbalance reported; formal cause under investigation,Safety investigation opened,High,High,https://indianexpress.com/article/cities/mumbai/mumbai-port-orders-safety-probe-after-crane-overturns-at-indira-dock-10860975/,https://www.dolphin-maritime.com/casualty-news/vienna/,"Useful port-safety case for heavy-lift procedures, crane stability and berth exclusion zones."
12,2026-07-10,North America,United States,"Charleston / Cooper River, Pier G",Port-side,Infrastructure Accident,Crane collapse into channel,No,Port crane,US Coast Guard / port stakeholders,"A crane fell into the Cooper River near Pier G, creating a submerged navigation hazard.",0,,,Potential fuel pollution controlled with boom,100-yard safety zone; shipping later resumed around hazard,,Cause not stated publicly in Coast Guard release,Salvage completed 30 Jul; safety zone rescinded,Medium-High,High,https://www.news.uscg.mil/Press-Releases/Article/4540800/coast-guard-responds-to-crane-collapse-in-cooper-river/,https://www.news.uscg.mil/Press-Releases/Article/4563504/coast-guard-announces-completion-of-crane-salvage-operations-in-cooper-river/,Demonstrates how shoreside equipment failure can become a channel/navigation incident.
13,2026-07-12,Africa,Cameroon,Port of Douala-Bonabéri channel,Port-side,Collision / Grounding,Vessel collision and controlled grounding,No,SEA HONOR; BLACK RHINO,Port Authority of Douala,Outbound SEA HONOR collided with inbound BLACK RHINO near buoy 20; BLACK RHINO was intentionally grounded after damage.,0,0,,No major pollution reported,Navigation channel temporarily obstructed then reopened,,Preliminary indication of steering-control loss aboard BLACK RHINO,Technical investigation ongoing,High,High,https://www.mintransports.cm/espace-presse/actualit%C3%A9s-du-mint/collision-entre-les-navires-mv-sea-honor-et-le-mv-black-rhino-le-mint-en-visite-de-travail-%C3%A0-douala.html,https://www.dolphin-maritime.com/casualty-news/sea-honor-black-rhino/,Direct example of channel blockage risk and emergency grounding to restore access.
14,2026-05-20,Africa,Nigeria,Bonny Channel / approach to Onne,Near-port / access channel,Collision / Grounding,Ship contact / dual grounding,No,MAERSK VALPARAISO; LADY MARTINA,Nigerian maritime authorities,Containership MAERSK VALPARAISO contacted tanker LADY MARTINA during manoeuvring; both vessels subsequently grounded.,0,5,,Associated oil spill response reported,Channel/berthing disruption and emergency response,,Under investigation,Reported casualty / authorities responded,High,Medium-High,https://www.dolphin-maritime.com/casualty-news/maersk-valparaiso-lady-martina/,,"Combines container-port access, collision, injury, grounding and pollution exposure."
15,2026-08-12,Asia-Pacific,India,Hooghly River approach to Kolkata,Near-port / access channel,Grounding,Loss of control / riverbank allision,No,NAWATA BHUM,Syama Prasad Mookerjee Port / vessel interests,"Container vessel lost control while navigating the Hooghly, struck the riverbank and grounded.",0,0,,No major pollution reported,Temporary vessel immobilization; refloated at high tide with tug assistance,,Possible steering gear problem plus strong tidal conditions,Cause not yet officially determined,Medium-High,Medium-High,https://www.dolphin-maritime.com/casualty-news/nawata-bhum/,,"Good access-channel case for pilotage, steering reliability and tidal constraints."
16,2026-06-28,North America,United States,"Woods Hole, Massachusetts",Near-port / entrance channel,Grounding,Research vessel grounding,No,ATLANTIS,USCG / NTSB / Woods Hole Oceanographic Institution,Research vessel Atlantis grounded in Great Harbor Channel at the entrance to Woods Hole and freed itself after about 12 minutes.,0,0,,No pollution,Short-lived channel casualty; vessel moored after refloating,3500000,Cause under investigation,USCG lead; NTSB major marine casualty investigation ongoing,Medium,High,https://www.ntsb.gov/investigations/Pages/DCA26FM018.aspx,,Includes quantified damage estimate and formal U.S. major marine casualty status.
17,2026-06-05,Asia-Pacific,Indonesia,Off Batam / Singapore approaches,Near-port / regional approaches,Sinking / Container Hazard,Container vessel sank,No,GOLDEN STAR 1,Indonesian authorities / MPA Singapore / Samudera Shipping,Container vessel took on water and sank about 6 km off Batam; all nine crew were rescued.,0,0,,No oil pollution reported; potential drifting-container hazard,Straits traffic unaffected; navigational warnings issued,,Water ingress; detailed cause not public,Monitoring / cargo recovery,High,High,https://www.mpa.gov.sg/media-centre/details/container-vessel-sinks-off-batam,https://links.sgx.com/FileOpen/SSL%20-%20SGX%20Announcement%20_Golden%20Star%201%207%20June%202026.ashx?App=Announcement&FileID=891611,Relevant to Singapore/Batam approaches and secondary hazards from floating containers.
18,2026-03-03,North America,United States,South of Aleutian Islands / Long Beach-bound,"Offshore, port-bound",Container Loss,Containers overboard,No,OOCL SUNFLOWER,USCG / NOAA / vessel interests,OOCL Sunflower lost dozens of containers overboard while en route to Long Beach; USCG prepared for vessel arrival and cargo assessment.,0,0,32,Potential floating-container hazard; no discharge observed,Long Beach authorities prepared for arrival inspection; no port closure,,Heavy-weather/cargo-loss circumstances under review,NOAA/USCG response,Medium,High,https://incidentnews.noaa.gov/incident/11131,,"Although offshore, this is directly relevant to container-loss tracking and destination-port response."
19,2026-08-22,Asia-Pacific,India,Eastern India / Paradip-Dalian route,Offshore / port-linked voyage,Sinking,Cargo ship sinking,No,OCEAN WINNER,Indian Coast Guard,Panama-flagged cargo ship Ocean Winner sank off eastern India while carrying iron ore; search and rescue operations followed.,,,,,No direct port closure reported; casualty affected regional voyage,,Cause unknown at initial reporting,Search and rescue / investigation,High,High,https://www.reuters.com/world/americas/panamaflagged-cargo-ship-sinks-off-eastern-india-coast-guard-says-2026-08-22/,,Port-linked bulk-shipping casualty; useful for route-level risk even though not inside harbour limits.
20,2026-08-23,Asia-Pacific,Malaysia,Strait of Malacca / off Penang,Near-port / strategic approach,Fire,Cargo hold fire / salvage,No,CMA CGM PETRA,CMA CGM / salvors,CMA CGM PETRA suffered a cargo-hold fire in the Strait of Malacca; salvors were engaged and the ship remained off Penang.,0,0,,No pollution reported,Missed scheduled port call; salvage operations ongoing,,Cause not public,Fire contained; salvage continuing,Medium-High,Medium-High,https://www.dolphin-maritime.com/casualty-news/cma-cgm-petra/,,Relevant to Malacca/port-call disruption and salvage capacity.
21,2026-01-07,Europe,United Kingdom,"Holyhead Port, Wales",Port-side,Allision / Flooding,Ferry contact with jetty,No,STENA ESTRID,Stena Line / Holyhead Port,"Ro-ro passenger ferry contacted a jetty at Holyhead, puncturing the hull and causing engine-room flooding.",,,,,Port-side vessel casualty; detailed disruption assessed by MAIB,,Under MAIB assessment,Completed preliminary assessment,Medium-High,High,https://www.gov.uk/maib-reports,,Early-2026 port allision; useful benchmark for berth-contact and flooding risk.
22,2026-07-29,Asia-Pacific,Australia,"Port of Mackay, Queensland",Port-side,Industrial / Occupational,Fatal cargo-handling incident,No,M/V BRUCE,AMSA / North Queensland Bulk Ports,A worker aboard M/V Bruce died after being struck by a large metal beam while the vessel was in Mackay Harbour.,1,0,,No pollution reported,Localized investigation; no broad port shutdown reported,,Industrial accident under investigation,AMSA / coroner process,High,High,https://www.abc.net.au/news/2026-07-30/man-dies-in-ship-incident-mackay-harbour/106974776,,Captures occupational safety as a distinct port-incident category.
