Research ID,Dataset,Subject,Priority,Task,Status
RQ_0051,Vessels,CMA CGM Group,High,"Harvest current commercially scheduled fleet (844 snapshot) with IMO, GT/DWT, TEU, flag, MMSI, year, legal owner, technical manager and commercial operator; explicitly separate 400-owned-vessel milestone from chartered/operated fleet.",In progress
RQ_0052,Vessels,Tier-1 container / feeder operators,High,"Populate Hapag-Lloyd, ONE, Yang Ming, HMM, PIL, Wan Hai, SeaLead, X-Press Feeders, Unifeeder and Emirates Shipping Line before expanding to lower-priority carriers.",In progress
RQ_0053,Ferries / RoRo,Global ferry systems,High,"Build fleets for P&O Ferries, Stena, DFDS, Brittany Ferries, Tallink, Viking Line, BC Ferries, Washington State Ferries and Irish Ferries with IMO and route exposure.",Not started
RQ_0054,Cruise,Global cruise groups,Medium,"Build Carnival, Royal Caribbean, NCLH, MSC Cruises, Viking and Disney fleets; link ships to homeports, terminals, itineraries and port investments.",Not started
RQ_0055,Great Lakes,Great Lakes fleets,High,"Build CSL, Algoma, Interlake, American Steamship, Fednav and Lower Lakes fleets with IMO, lake class, cargo role, ports and incident exposure.",Not started
RQ_0056,Dry bulk,Major global bulk operators,Medium,"Build Oldendorff, Star Bulk, Berge Bulk, Pacific Basin, Golden Ocean and Genco fleets with ownership, charter and commodity-corridor exposure.",Not started
RQ_0057,Ownership enrichment,Tier-1 deployment seed vessels,High,"Resolve registered owner, beneficial owner, ship manager, ISM manager, charterer and actual operator for each schedule-seeded IMO.",In progress
RQ_0058,Technical enrichment,Tier-1 deployment seed vessels,High,"Populate GT, NT, DWT, TEU, LOA, beam, flag, MMSI, call sign, build year and shipyard for every canonical IMO.",In progress
RQ_0059,Service intelligence,Carrier deployment seeds,High,"Expand from one observed leg to service name, alliance/VSA, rotation, ports, chokepoints and corridor exposure.",Not started
RQ_0060,GFS / AD Ports,GFS vessel universe,High,"Reconcile commercial GFS fleet, GFS Ship Management fleet and GFS-named registry vessels; identify which vessels are beneficially exposed to AD Ports versus third-party managed or chartered capacity.",In progress
RQ_0061,Tanker / VLCC,Global VLCC universe,High,"Build complete global VLCC register by IMO and reconcile world fleet denominator, ownership/control methodology, sanctions/restrictions and tradeable status.",In progress
RQ_0062,Tanker / VLCC,SINOKOR,High,"Resolve the 93-VLCC benchmark vessel by vessel: registered owner, beneficial owner, commercial operator, manager, acquisition date, prior owner, flag and current tradeability.",In progress
RQ_0063,Tanker / VLCC,China Merchants Energy + COSCO Shipping Energy,High,"Build both Chinese VLCC fleets by IMO and map Middle East loading, STS transfer patterns, shipyards, orderbooks and state-group relationships.",In progress
RQ_0064,Tanker / VLCC,Bahri / Frontline / DHT / Maran,High,Build complete IMO-level VLCC registers and capture fleet transactions so ranking changes can be reconstructed by date.,In progress
RQ_0065,Tanker / VLCC,MOL / NYK / Asyad Shipping,High,"Separate owned, operated and chartered VLCC fleets from broader tanker and diversified shipping portfolios.",Not started
RQ_0066,Sanctions / restrictions,Global tanker fleet,High,"Attach OFAC, EU, UK, UN, PGSA and other restriction records at IMO level; preserve effective dates and delisting dates.",In progress
RQ_0067,Tradeability,Global VLCC fleet,High,"Compute time-bounded tradeability assessments from sanctions, blacklist, flag, class and P&I/insurance evidence; do not equate 'not sanctioned' with 'free to trade'.",Not started
RQ_0068,Vessel transactions,Global tanker fleet,High,"Capture 2025-26 second-hand purchases, sales, fleet acquisitions and sale-leasebacks by IMO, buyer, seller, price and delivery date.",Not started
RQ_0069,Corridor exposure,VLCC fleets,High,"Map company and vessel exposure to Hormuz, Gulf of Oman STS, Bab al-Mandeb, Suez, Cape routes, Chinese crude imports, Saudi CIF sales and Oman alternatives.",In progress
RQ_0070,Fleet rankings,All vessel segments,Medium,"Maintain methodology-aware ranking snapshots for VLCC, LNG, PCTC, container, dry bulk, ferry and cruise fleets rather than overwriting old rankings.",Not started
RQ_0071,Weather disruptions,Global 2025-26 transport system,High,"Expand first-pass weather dataset across typhoons/hurricanes, floods, drought/low water, storm surge, ice, fog, heat and severe wind where ports, shipping, aviation, rail or inland waterways were operationally affected.",In progress
RQ_0072,Labour / strikes,Global transport and industrial systems,High,"Expand port, pilotage, rail, trucking, aviation, ferry and industrial-action events; capture start/end dates, affected capacity, backlog duration and settlement/resumption.",In progress
RQ_0073,Protest / access disruption,"Ports, borders and logistics corridors",Medium,"Capture demonstrations and blockades only when they materially affect port access, ferry traffic, border crossings, trucking, industrial sites or corridor movement; separate political context from operational impact.",In progress
RQ_0074,Infrastructure investors,Brookfield / GIP / Stonepeak / Macquarie / IFM,High,"Resolve asset-level port holdings, investment vehicles, consortium stakes, governance rights and historical entry/exit dates globally.",In progress
RQ_0075,Infrastructure investors,KKR / Blackstone / logistics real estate,High,"Build global logistics real-estate holdings around ports, free zones, rail terminals, inland hubs and strategic corridors; distinguish fund ownership from operating platform.",In progress
RQ_0076,Dry ports / inland hubs,Global universe,High,"Expand Tbilisi, Al Faya, Al Ghail, CentrePort and Al Dhaid into a global dry-port/inland-port register including Canada, Gulf, Central Asia, Europe, Africa, India and Southeast Asia.",In progress
RQ_0077,Economic zones / free zones,Global port-linked zones,High,"Populate JAFZA, KEZAD and comparable port/free-zone ecosystems with land, warehouse stock, operators, tenants, rail/road/port links and investment vehicles.",In progress
RQ_0078,Infrastructure deals,Global ports and logistics,High,"Track completed, pending, failed and restructured port/logistics transactions including regulatory/national-security review and consortium changes.",In progress
RQ_0079,Infrastructure ownership,PD Ports / Peel Ports / Port of Melbourne / Macquarie terminals,High,"Resolve exact current shareholder percentages, fund/vehicle names, governance and operating-control rights rather than relying on parent-manager descriptions.",Not started
RQ_0080,Logistics real estate,Port-adjacent and intermodal portfolios,High,"Populate individual logistics parks/warehouses in strategic gateway clusters; add area, tenants, rail/port adjacency, acquisition price and current investor.",Not started
RQ_0081,AD Ports inland / zone system,Tbilisi / Al Faya / KEZAD / Middle Corridor,High,"Link AD Ports dry ports and economic zones to ports, rail, vessel/services, warehousing, customs and corridor exposure; update Tbilisi phase status from current operating data.",In progress
RQ_0082,Integrated logistics,DHL Aviation / airline entities,High,"Resolve all DHL-controlled/partner airline entities, aircraft registrations, ownership/lease status, route/hub assignment and legal operator relationships.",Not started
RQ_0083,Integrated logistics,FedEx aircraft / hubs,High,Promote tail-level aircraft and airport facilities from type/network totals; resolve owned vs leased aircraft and regional hub dependencies.,Not started
RQ_0084,Integrated logistics,Amazon Air / contracted airlines,High,"Map Amazon Air contracted operators, aircraft ownership/sublease relationships, hub network and aircraft registrations without treating Amazon as operator where it is cargo principal.",Not started
RQ_0085,Integrated logistics,Amazon Global Logistics ocean exposure,High,"Resolve ocean carriers, origin ports, U.S. gateways and customs/fulfilment dependencies used by Amazon Global Logistics.",Not started
RQ_0086,Integrated logistics,Aramex global network,High,"Populate major hubs, warehouses, air/ocean freight gateways, free-zone facilities and current country/region operating structure.",Not started
RQ_0087,Ownership / capital,ADQ transport & logistics platform,High,"Connect Aramex, AD Ports, Q Logistics and other ADQ transport/logistics holdings to physical assets, capital strategy and corridor exposure.",In progress
