External Event ID,Date,Event Family,Event Type,Mode,Country / Countries,Location,Title,Description,Assets / Modes Affected,Operational / Trade Impact,Status,Confidence,Primary Source,Secondary Source
EXT_0011,2026-07-16,Weather,Drought / extreme low water,Inland Waterway / Cruise / Passenger,Hungary,Danube / Budapest / Gonyu / Komarom / Mohacs,Danube near-record low-water disruption,Near-record low Danube water levels stranded or delayed river-cruise vessels and suspended some sightseeing operations in Hungary.,Danube navigation / river cruise vessels / passenger terminals,Vessels stranded or held in ports; sightseeing services suspended north of Budapest; Passenger-shipping and tourism disruption; reduced operational flexibility on the Danube corridor,Occurred / low-water constrained,Moderate / High,https://www.reuters.com/world/near-record-low-water-levels-disrupt-tourism-danube-2026-07-16/,
EXT_0012,2026-07-11,Weather,Typhoon,Multimodal,China / Taiwan / Japan / Philippines,Zhejiang / Taizhou / Taiwan / Sakishima Islands,Typhoon Bavi regional transport disruption,Typhoon Bavi crossed the western Pacific and made landfall in eastern China after forcing mass evacuations and widespread transport restrictions in Taiwan and the region.,Airports / rail / roads / coastal shipping / urban logistics,Large-scale flight cancellations; reduced rail service; evacuations and weather restrictions across coastal transport systems; Air-cargo and passenger disruption; potential manufacturing and port-hinterland delays in eastern China and Taiwan,Occurred,High,https://www.reuters.com/business/environment/thousands-evacuated-taiwan-shuts-down-typhoon-bavi-2026-07-11/,
EXT_0013,2025-03-06,Weather,Tropical cyclone,Aviation / Road / Urban Logistics,Australia,Brisbane / southeast Queensland / northern New South Wales,Cyclone Alfred disrupts Brisbane transport system,"Cyclone Alfred prompted closure of Brisbane Airport, suspension of public transport and broad emergency preparations across southeast Queensland and northern New South Wales.",Brisbane Airport / airlines / public transport / roads / utilities,Airport operations suspended; Qantas flights curtailed; public transport shut; power outages and flood risk; Air-cargo and passenger capacity loss; urban distribution delays and supply-chain disruption around Brisbane,Occurred / recovery,High,https://www.reuters.com/business/environment/cyclone-alfred-stalls-off-australias-east-residents-sandbag-homes-transport-2025-03-06/,
EXT_0014,2025-07-22,Weather,Typhoon / tropical storm,Multimodal,Vietnam / China / Hong Kong / Philippines,Northern Vietnam / Haiphong / Hong Kong / northern Philippines,"Wipha disrupts regional port, airport and rail services","Wipha moved through Hong Kong and southern China before making landfall in northern Vietnam, with port, airport and rail suspensions and severe monsoon flooding in the Philippines.",Ports / airports / rail / coastal shipping / urban transport,Port and transport services suspended in Vietnam; flight cancellations; flooding and government closures in the Philippines; Regional cargo delay and distribution disruption across South China Sea supply chains,Occurred,High,https://www.reuters.com/business/environment/tropical-storm-wipha-makes-landfall-vietnam-heavy-rains-persist-philippines-2025-07-22/,
EXT_0015,2025-09-24,Weather,Super typhoon,Multimodal,China / Hong Kong / Taiwan,Hong Kong / Guangdong / Shenzhen / Pearl River Delta / Taiwan,Super Typhoon Ragasa disrupts Pearl River Delta,Ragasa brought Hong Kong to a standstill and drove large-scale evacuations and transport restrictions across southern China and Taiwan.,Airports / roads / coastal infrastructure / urban logistics / marine approaches,"Flight disruption, transport shutdowns, storm-surge warnings and widespread closures; Short-term disruption across one of the world's densest manufacturing, logistics and port regions",Occurred,High,https://www.reuters.com/business/environment/super-typhoon-lashes-hong-kong-with-hurricane-force-winds-heavy-rain-2025-09-23/,
EXT_0016,2025-10-09,Weather,Severe storm / high wind,Maritime / Port,Netherlands,Port of Rotterdam,Storm Amy contributes to Rotterdam vessel backlog,"A post-storm vessel queue at Rotterdam remained elevated after Storm Amy, with later labour action adding to the congestion.",Container terminals / vessel queues / port approaches,Ship queue roughly doubled from normal levels before strike effects became dominant; Container delays and reduced ability to absorb further disruption at Europe's largest port,Occurred / residual backlog,Moderate / High,https://www.reuters.com/business/world-at-work/lashers-strike-causes-growing-ship-backlog-rotterdam-port-2025-10-09/,
EXT_0017,2026-02-18,Labour / Industrial Action,Maritime workers strike,Maritime / Port / Agricultural Exports,Argentina,Rosario / Parana-Paraguay export corridor,Argentine maritime strike halts grain-export activity,"FESIMAF maritime workers launched a 48-hour strike against labour reform, disrupting loading, unloading, pilot transfers and commercial-vessel services around Rosario.",Grain terminals / commercial vessels / pilots / port services,"Agro-export activity brought close to a standstill and vessel dispatch constrained; Disruption to a major global grain, soybean-oil and soybean-meal export system",Occurred,High,https://www.reuters.com/business/world-at-work/argentine-maritime-workers-begin-48-hour-strike-against-labor-reform-2026-02-18/,
EXT_0018,2026-03-05,Labour / Industrial Action,Seafarers strike,Ferry / Maritime,Greece,Piraeus / Greek domestic ferry network,Greek seafarers strike halts ferry services,"Greek seafarers held a 24-hour strike over crews stranded in the Gulf conflict, halting local ferry services and demanding evacuation protections.",Domestic ferry services / passenger and vehicle movements,"Ferry sailings halted for the duration of the strike; Passenger, vehicle and island-supply movements delayed; labour action tied directly to maritime security risk",Occurred,High,https://www.reuters.com/world/europe/greek-seafarers-strike-over-crews-stranded-gulf-by-iran-war-2026-03-05/,
EXT_0019,2026-06-12,Labour / Industrial Action,Transport workers stoppage,Road / Industrial Construction,South Korea,Seoul metropolitan area / Pyeongtaek / Yongin,Concrete transport strike disrupts semiconductor construction,"Around 8,000 ready-mixed concrete transport workers suspended deliveries, halting concrete work at major Samsung and SK Hynix semiconductor expansion sites.",Concrete plants / truck delivery / semiconductor construction,Concrete deliveries blocked and pouring halted at strategic chip-factory construction sites; Potential schedule slippage for semiconductor capacity expansion if stoppage persisted,Occurred / prolonged dispute,Moderate / High,https://www.reuters.com/business/world-at-work/south-korea-concrete-delivery-halt-threatens-samsung-sk-hynix-chip-plant-work-2026-06-12/,
EXT_0020,2025-10-09,Labour / Industrial Action,Port strike,Maritime / Container Port,Netherlands,Port of Rotterdam,Rotterdam lashers strike blocks container handling,"All approximately 700 lashers at Rotterdam joined a wage strike, preventing container ships from loading or unloading and expanding a vessel backlog.",Container terminals / ship loading and unloading,Container loading/unloading effectively halted; vessel queue expanded; Backlogs at Europe's largest port with limited diversion capacity because Antwerp was also disrupted,Occurred / temporarily suspended,High,https://www.reuters.com/business/world-at-work/lashers-strike-causes-growing-ship-backlog-rotterdam-port-2025-10-09/,https://www.reuters.com/business/world-at-work/rotterdam-port-lashers-suspend-strike-monday-2025-10-12/
EXT_0021,2025-10-08,Labour / Industrial Action,Work-to-rule,Maritime / Port,Belgium,Port of Antwerp-Bruges / Zeebrugge,Antwerp-Bruges harbour pilots disrupt marine traffic,"Flemish harbour pilots worked to rule over pension reforms, sharply reducing vessel movements at Antwerp and causing delays, strandings and diversions.",Pilotage / port approaches / vessel traffic,Antwerp handled only 31 ships on a day when 60-80 was typical; delays spread to Zeebrugge; Reduced gateway capacity and weaker diversion options for congestion at nearby Rotterdam,Occurred,High,https://www.reuters.com/business/industrial-action-by-harbour-pilots-disrupts-shipping-antwerp-bruges-2025-10-08/,
EXT_0022,2025-09-22,Protest / Labour,Dockworker strike / port blockade,Port / Road / Rail,Italy,Genoa / Livorno,Genoa and Livorno dockworkers block port access,"Dockworkers joined nationwide Gaza-related strikes and protests, blocking roads into Genoa and access at Livorno while broader transport services were disrupted.",Port access roads / dock labour / regional rail,Port access impeded and some transport services disrupted; Localized cargo and hinterland disruption; demonstration of politically driven port-labour action,Occurred,Moderate / High,https://www.reuters.com/world/europe/genoa-dockers-walk-out-italian-unions-protest-against-israel-2025-09-22/,
EXT_0023,2025-11-28,Labour / Industrial Action,National transport strike,Multimodal,Italy,Milan / Bologna / Rome / Turin / Genoa / Venice / Naples,Italian national strikes disrupt aviation and rail,A one-day labour action against government budget policy caused dozens of flight cancellations and disrupted train and urban transport services across Italy.,Airports / airlines / rail / urban public transport,"Flight cancellations, train disruption and urban transport delays; Air-cargo and business-travel disruption plus inland logistics friction across multiple Italian hubs",Occurred,High,https://www.reuters.com/business/aerospace-defense/transport-italy-disrupted-by-strikes-against-pm-meloni-2025-11-28/,
EXT_0024,2025-12-10,Protest / Labour,Farmers protest / blockade,Port / Road / Border Trade,Greece,Volos / national motorways / Promachonas border,Greek farmer blockades disrupt port and border traffic,"Farmers used tractors and trucks in nationwide protests, disrupting operations around Volos port and intermittently restricting border and motorway traffic.",Volos port / highways / Bulgaria border crossing,"Port-area disruption; road queues and intermittent border restrictions; Agricultural, trucking and cross-border cargo delays with potential spillover to regional logistics",Occurred / continuing at source date,Moderate / High,https://www.reuters.com/business/environment/protesting-greek-farmers-disrupt-port-operations-nationwide-blockades-persist-2025-12-10/,
EXT_0025,2025-02-27,Protest / Labour,Farmers protest / border blockade,Land / Border Trade,Czech Republic / Slovakia,Czech-Slovak border crossing / regional border points,Czech and Slovak farmers disrupt border crossing,Farmers from several Central European countries used tractors to disrupt a border crossing while protesting non-EU imports and agricultural policy.,Road freight / border crossing,Border-crossing operations disrupted and road traffic constrained; Short-duration cross-border trucking friction and agricultural trade disruption,Occurred,Moderate,https://www.reuters.com/world/europe/czech-slovak-farmers-clog-border-crossing-protest-non-eu-imports-2025-02-27/,
EXT_0026,2026-09-05,Protest / Labour,Road blockade / protest,Port / Road / Ferry,United Kingdom,Port of Dover / Portsmouth,Dover and Portsmouth anti-migrant protests disrupt access,"Masked anti-migrant protesters blocked roads around the Port of Dover and later streets in Portsmouth, causing traffic disruption around important Channel ferry access points.",Port access roads / ferry passengers and cargo traffic,Road access disrupted; ferry passengers delayed; access later restored; Localized friction at the UK's main cross-Channel ferry gateway; no confirmed prolonged port shutdown,Occurred / contained,Moderate,https://www.reuters.com/world/uk/uk-minister-condemns-anti-migrant-protests-portsmouth-2026-09-07/,https://apnews.com/article/8e263817b1ad5abd49beec7a6a8f88a4
