GL Port ID,System ID,Port Name,Country,State / Province,Waterway,Port Model,Authority / Operator,Cargo Focus,Rail / Inland Connectivity,Cruise Role,Industrial / Infrastructure Notes,System Role,Research Status,Source ID,Source URL
GL_PORT_0011,SYS_GLSS,Lorain,United States,Ohio,Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0012,SYS_GLSS,Milwaukee,United States,Wisconsin,Lake Michigan,Public / private port complex,To populate,Grain; steel; bulk; general cargo,Two Class I railroads; interstate; Inland River System connection,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/aglpa-members/port-milwaukee/
GL_PORT_0013,SYS_GLSS,Monroe,United States,Michigan,River Raisin / Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0014,SYS_GLSS,Muskegon,United States,Michigan,Lake Michigan,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0015,SYS_GLSS,Oswego,United States,New York,Lake Ontario,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0016,SYS_GLSS,Saginaw River,United States,Michigan,Saginaw River / Lake Huron,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0017,SYS_GLSS,Superior,United States,Wisconsin,Lake Superior,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0018,SYS_GLSS,Toledo,United States,Ohio,Maumee River / Lake Erie,Public / private port complex,To populate,Grain; petroleum; cement; coal; iron ore; steel; project cargo,CSX; NS; CN; interstate highway access,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/aglpa-members/port-of-toldedo/
GL_PORT_0019,SYS_GLSS,Two Harbors,United States,Minnesota,Lake Superior,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0020,SYS_GLSS,Baie-Comeau,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0021,SYS_GLSS,Bécancour,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0022,SYS_GLSS,Goderich,Canada,Ontario,Lake Huron,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0023,SYS_GLSS,Hamilton,Canada,Ontario,Lake Ontario,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0024,SYS_GLSS,Havre-Saint-Pierre,Canada,Quebec,Gulf of St. Lawrence,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0025,SYS_GLSS,Johnstown,Canada,Ontario,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0026,SYS_GLSS,Meldrum Bay,Canada,Ontario,Lake Huron,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0027,SYS_GLSS,Montreal,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0028,SYS_GLSS,Nanticoke,Canada,Ontario,Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0029,SYS_GLSS,Oshawa,Canada,Ontario,Lake Ontario,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0030,SYS_GLSS,Port Alfred,Canada,Quebec,Saguenay River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0031,SYS_GLSS,Port-Cartier,Canada,Quebec,Gulf of St. Lawrence,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0032,SYS_GLSS,Quebec,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0033,SYS_GLSS,Saguenay,Canada,Quebec,Saguenay River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0034,SYS_GLSS,Sarnia,Canada,Ontario,St. Clair River / Lake Huron,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0035,SYS_GLSS,Sept-Îles,Canada,Quebec,Gulf of St. Lawrence,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0036,SYS_GLSS,Sorel,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0037,SYS_GLSS,Thunder Bay,Canada,Ontario,Lake Superior,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0038,SYS_GLSS,Toronto,Canada,Ontario,Lake Ontario,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0039,SYS_GLSS,Trois-Rivières,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0040,SYS_GLSS,Valleyfield,Canada,Quebec,St. Lawrence River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0041,SYS_GLSS,Windsor,Canada,Ontario,Detroit River,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core Great Lakes-St. Lawrence economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
